nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
René,Canada,1,2019-06-29,Exceptionnel,"Bien situé, rapport qualité prix, propreté, respect de l'offre.",None,10,Appartements,Bordeaux," 8,1 "
Cino971,Guadeloupe,0,2019-09-04,"Séjour agréable, logement bien situé proches toutes commodités, hôte très serviable et réactive!",Escalier très pentu à l'intérieur du logement pour accéder aux chambres (non précisé sur Booking),Escalier très pentu à l'intérieur du logement pour accéder aux chambres (non précisé sur Booking),"8,3",Appartements,Bordeaux," 8,1 "
Marc,France,0,2019-07-04,TOUT OK,RIEN,RIEN,"9,2",Appartements,Bordeaux," 8,1 "
Pascal,France,0,2019-06-21,Bien ,La praticité,Ras,"7,9",Appartements,Bordeaux," 8,1 "
Anne,France,0,2019-06-16,Bien,La tranquillité,Un peu cher j aurai pu économiser 40 euros pour le menage,"7,9",Appartements,Bordeaux," 8,1 "
Waad,France,0,2019-05-23,Agréable,L'appartement est bien équipé et ben décoré,Les lits n'est pas confortable,"7,9",Appartements,Bordeaux," 8,1 "
Famille,France,0,2019-05-06,Fabuleux ,"Un petit message de la part des propriétaires nous indiquant où trouver les clés et nous souhaitant un bon séjour.
Literie très agréable.. Odeur de frais très appréciable.",None,"9,2",Appartements,Bordeaux," 8,1 "
Nicolas,France,0,2019-04-30,Bien ,"Appartement au rdc agréable et fonctionnel, très bien placé.","Immeuble mal insonorisé.
Certains équipements à revoir : rideau de douche trop petit et poêle à frire en très mauvais état.","7,9",Appartements,Bordeaux," 8,1 "
Suzanne,France,0,2019-04-28,Très bon rapport qualité prix,"La proximité du centre et de la gare
Appartement vaste",Absence parking pratique,"8,8",Appartements,Bordeaux," 8,1 "
Xavier,France,0,2019-04-04,Très bien,"Intérieur sympa, rue calme et garable a 50m de la gare","Rien ou presque: manque un support savon dans douche, rideau trop petit voire a changer pour porte.","8,3",Appartements,Bordeaux," 8,1 "
Angélique,France,0,2019-03-11,Très bien,Très bon accueil pour une réservation tardive.,"Manque de produits de 1ère nécessité comme sacs poubelle, sopalin...
Escalier qui mène aux deux chambres assez raide!","8,3",Appartements,Bordeaux," 8,1 "
Nadezhda,Russie,0,2019-01-29,près de la gare Saint Jean. l'appartement est chaud et propre,près de la gare Saint Jean,None,"7,9",Appartements,Bordeaux," 8,1 "
Emmanuel,France,0,2019-01-23,Exceptionnel,"La situation géographique à proximité de la gare est idéale (gare, bus, tram à 50m) et la rue est particulièrement calme. Appartement parfait pour visiter Bordeaux. 
Nous avons apprécié la décoration de cet appartement très bien rénové dans un petit immeuble ancien. 
Le système de boîte à clé (découvert à cette occasion) est très astucieux et pratique. 
Il nous a été très utile pour éviter des déplacements ; chacun pouvant laisser ou récupérer la clé devant la porte
Nos hôtes se sont montrés très attentionnés.","Une notice pour le tri sélectif serait utile. 
Dans l'une des chambres, il serait judicieux d'avoir deux lits jumeaux plutôt qu'un lit double. 
Enfin une petite serviette éponge en plus des grands draps de bain serait appréciable. 
Mais ce sont des petits détails ...","9,6",Appartements,Bordeaux," 8,1 "
Jean-jacques,Nouvelle-Calédonie,0,2019-01-05,Très bien,"Le calme et la proximité de la gare.
Lit confortable.",None,"8,3",Appartements,Bordeaux," 8,1 "
Albane,France,0,2018-12-09,Bonne nuit reposante,"Lit très confortable, appartement très joli avec du cachet","Manque de chauffage à l’arrivée , un petit plaid sur les lits serait une bonne idée pour un aspect plus cosy !","7,9",Appartements,Bordeaux," 8,1 "
Tarik,France,0,2018-10-26,Séjour en famille confortable à Bordeaux,Emplacement juste à côté de la gare. Logement calme et spacieux. De plus j'ai trouvé une place dans la rue du logement tous les soirs.,Légère odeur qui remonte des canalisations sans doute par manque d'usage quotidien mais rien de bien méchant. Un aspirateur serait également le bienvenu pour nettoyer les tapis après les repas 😃,"7,5",Appartements,Bordeaux," 8,1 "
Pierre,Luxembourg,0,2018-09-03,Idéal pour une famille de 4 personnes pour un séjour prolongé à Bordeaux.,"Très spacieux, 2 vrais chambres, grande cuisine bien équipée. Grande salle de bain. Très proche du tramway. Très propre et organisation parfaite au niveau de la communication et des clefs.",Lit convertible pas très confortable et pas de fauteuil ou canapé dans le salon quand déplié. Wi-Fi peu puissant. Quartier assez sale et mal fréquenté (gare). Une chambre avec 2 lits individuels serait préférable.,"7,9",Appartements,Bordeaux," 8,1 "
Naoual,France,0,2018-06-02,très agréable appartement agencé avec beaucoup de goût,la déco très épurée et la situation géographique,Les pas lourds des voisins du dessus,"9,5",Appartements,Bordeaux," 8,1 "
Ma,Allemagne,0,2019-10-30,Exceptionnel,C'était très confortable et bien équipé.,None,10,Appartements,Bordeaux," 8,1 "
Eléonorej,France,0,2019-06-18,Exceptionnel,"Très bonne surprise avec cet appartement.
Nous étions très satisfait. Super rapport qualité prix !
Rien à redire pour 1 nuit avec des amis. Parfait pour se faire le petit déjeuner tranquillement le matin,
Localisation parfaite (gare, tram, bus à 1 minute).",None,10,Appartements,Bordeaux," 8,1 "
Yasmine,France,0,2019-03-28,Merci pour votre professionnalisme Céline !,"J'ai particulièrement apprécié la réactivité et la flexibilité de la personne qui s'est occupée de mon séjour (Céline). Elle a accepté d'anticiper l'heure de check-in. L'appartement est très spacieux, bien aménagé, bien équipé, la déco est super :) 
Emplacement idéal, à 1 minute à pieds de la gare, proche de plusieurs commerces qui sont ouverts jusqu'à tard la nuit. Tout est à proximité et la rue est calme. 
J'ai adoré!",None,10,Appartements,Bordeaux," 8,1 "
Ma,France,0,2019-01-03,Surfacturé par rapport à la prestation,"L'appartement est joliment décoré et simple 
sa localité à côté de la gare et un point fort","Il est inconcevable que au mois de janvier aucune couverture ne soit mise à disposition.un simple drap poser sur le lit . Nous avons eu tous froid et avons du augmenter le chauffage.
La rue est bruyante
La porte de la chambre ne se ferme pas completement
Les pas des voisins du dessus nous ont fortement dérangés
Et summum, concernant le parking nous avons été facturé de 30 € par la mairie de Bordeaux car nous n'avions pas remarqué que le stationnement était payant devant l'appartement !! 30 euros !!! 
Le prix de l'appartement est surfacturé","5,0",Appartements,Bordeaux," 8,1 "
Agencement,France,0,2018-12-03,PARFAIT,communication - accès,RAS,10,Appartements,Bordeaux," 8,1 "
Pierre,France,0,2018-11-01,Une halte agréable,"La clarté des instructions pour récupérer les clés
La propreté de l'appartement
Le confort des équipements 
La situation près de la gare St Jean et du noeud routier",None,10,Appartements,Bordeaux," 8,1 "
Me,Bénin,0,2018-08-31,Passable,Proximité de la gare,Sommaire et trop impersonnel,"5,4",Appartements,Bordeaux," 8,1 "
Philippe,France,0,2018-07-02,Bien placé mais évitez les jours de chaleur,"Très près de la Gare. Cuisine correctement équipée.
Box Free","Le manque de clim. Une chaleur étouffante en cette période.
Soit ouvrir le VELUX pour avoir un peu de fraîcheur et se faire piquer par les moustiques
Soit avoir un ventilateur très fonctionnel toute la nuit.
Isolation phonique absente avec le voisin du dessous bien bruyant.","6,2",Appartements,Bordeaux," 8,1 "
Anonyme,France,0,2019-09-30,Bien ,"Emplacement pratique avec le tram à côté, même si zone pas parmi les plus belles de la ville. Appartement bien aménagé et de qualité, des commerces à proximité. Contact de l'établissement soucieux de notre arrivée et à disposition si besoin.","Bruit des voisins du 1er étage. Malgré l'intervention de notre contact, le bruit est resté important en soirée, et même à 6h du matin. Le niveau d'insonorisation est très faible.
Lit OK mais canapé-lit juste correct.","7,0",Appartements,Bordeaux," 8,1 "
Anonyme,France,0,2019-04-19,Exceptionnel,"La pierre apparente, le confort et le silence malgré la gare à proximité.",Le rideau de douche,"9,6",Appartements,Bordeaux," 8,1 "
Anonyme,France,0,2018-11-23,"Bien, mais quelques défauts a corriger d’urgence","proximité gare, facilité d’accès
Mise à part quelques soucis,très bel appartement, pensez à apporter des capsules Nespresso","- pas de gel douche, savon etc. A ce prix, un minimum de nécessaire de toilette est nécessaire
- le volet sur la rue ne se verrouille pas. Surprenant en RDC, qui plus est quartier gare..
- gros problème de bruit venant de la salle de bain. le placard semble renfermer une machine à laver qui tourne toute la nuit...","7,9",Appartements,Bordeaux," 8,1 "
Anonyme,France,0,2018-11-19,Bien ,propre et fonctionnel,décor un peu trop épuré,"7,1",Appartements,Bordeaux," 8,1 "
Anonyme,France,0,2018-08-24,Bien ,Comme il faisait très chaud un ventilo supplémentaire aurait été bien comme nous étions 6,Comme il faisait très chaud un ventilo supplémentaire aurait été bien comme nous étions 6,"7,5",Appartements,Bordeaux," 8,1 "
Anonyme,France,0,2018-08-07,Superbe,"Appartement propre et confortable. Vaisselle et ustensiles largement suffisant pour 5/6 personnes. Literie confortable, communication avec le propriétaire parfaite. Rue calme. Gare et transports à proximité et places de parking payantes dans la rue.",Ne pas trop se promener seul le soir autour de la gare.,"8,8",Appartements,Bordeaux," 8,1 "
Pascale,France,0,2020-01-01,Très bien,Ce client n'a pas laissé de commentaire.,None,"8,0",Appartements,Bordeaux," 8,1 "
Nicolas,France,0,2019-11-20,Très bien,Ce client n'a pas laissé de commentaire.,None,"8,0",Appartements,Bordeaux," 8,1 "
Caroline,France,0,2019-10-28,Bien ,Ce client n'a pas laissé de commentaire.,None,"7,9",Appartements,Bordeaux," 8,1 "
Mathieu,France,0,2019-10-17,Très bien,Ce client n'a pas laissé de commentaire.,None,"8,0",Appartements,Bordeaux," 8,1 "
Clotilde,France,0,2019-09-23,Bien ,Ce client n'a pas laissé de commentaire.,None,"7,9",Appartements,Bordeaux," 8,1 "
Josephine,France,0,2019-08-17,Bien ,Ce client n'a pas laissé de commentaire.,None,"7,5",Appartements,Bordeaux," 8,1 "
Robin,France,0,2019-08-14,Très bien,Ce client n'a pas laissé de commentaire.,None,"8,3",Appartements,Bordeaux," 8,1 "
Therese,France,0,2019-07-24,Superbe,Ce client n'a pas laissé de commentaire.,None,"8,8",Appartements,Bordeaux," 8,1 "
