nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Alan,Afrique du Sud,1,2020-01-06,Fantastic.,"The apartment was perfectly located to move around in Toulouse.
It had all the amenities in the apartment. I will definitely use this apartment again.",None,"8,0",Appartement,Toulouse," 8,6 "
Catalina,Espagne,0,2019-12-08,Exceptionnel,Ce client n'a pas laissé de commentaire.,None,10,Appartement,Toulouse," 8,6 "
Anthony,France,1,2018-07-31,"J'ai passé un très bon séjour , hébergement propre très bonne connexion internet. RAS",La tranquillité et aussi le lit j'adore,None,10,Appartement,Toulouse," 8,6 "
Armele,France,0,2019-03-25,"Pratique, facile d accès, bien équipé, propre et confortable !","Studio très propre, suffisamment spacieux et très facile d accès. Un lit au top, super confortable. Excellente connexion internet...je recommande vraiment ce logement !",None,10,Appartement,Toulouse," 8,6 "
Abderrahmane,France,0,2019-01-29,Fabuleux ,J'ai trouvé dans l'appartement tout l'équipement nécessaire,RAS,"9,2",Appartement,Toulouse," 8,6 "
Gaëtan,France,0,2018-10-01,Propre fonctionnel chaleureux,L'appartement est chaleureux et mal grès un oubli de nettoyage de ma part le propriétaire m'a facturé de 20€ au lieu de 40€ pour le forfait nettoyage. Autant dire très correct pour le prix . Petite précision la caution de 200€ et rendu une semaine plus tard étant donné le traitement bancaire.,None,"9,6",Appartement,Toulouse," 8,6 "
Nikita,Belgique,0,2018-07-16,Parfait,C sympa pas de bruit très calm très bien situer équipement extra,Ce qui m'a embêter était du fait que c'était au rez de chaussée et j'étais pas à l'ais car j ème disais que tt le monde voyais ce qui se passais si j'ouvrais les rideau hors que nn,"7,9",Appartement,Toulouse," 8,6 "
Stéphanie,France,0,2019-10-23,Passable,Equipements de la kitchenette correctes.,"Propreté et aération de l'appartement à améliorer. Une serviette supplémentaire pour s'essuyer les mains aurait été appréciable. 
On comprend les barreaux à la porte fenêtre, car en poussant fort depuis l'extérieur, il y a de grandes chances de pouvoir l'ouvrir.
Mauvaise insonorisation par rapport au couloir.","5,0",Appartement,Toulouse," 8,6 "
Philppe,France,0,2018-07-22,Bien ,Ce client n'a pas laissé de commentaire.,None,"7,5",Appartement,Toulouse," 8,6 "
Elodie,France,0,2018-07-04,Séjour agréable,Ce client n'a pas laissé de commentaire.,None,"7,5",Appartement,Toulouse," 8,6 "
