nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Katell,Allemagne,1,2019-08-17,Sejour et service parfaits,"Personnel exceptionnellement prevoyant et sympathique, hotel renové en plein centre. Parfait.",Rien,10,Hôtel,Brest," 8,0 "
Jardin,France,0,2020-05-27,Bien ,L'accueil et la disponibilité du personnel,"L'isolation. 
J'entendais les travaux, les personnes criaient dans les couloirs. Et j'ai même eu droit à une personne qui jouait du synthé.","7,0",Hôtel,Brest," 8,0 "
Mathilde,France,0,2020-05-23,Hôtel bien situé je recommande,"Le Personnels est vraiment aimable, souriant et d’une gentillesse! 
L’hôtel est très bien situé, et les chambre d’hôtel sont d’une grande propreté.",None,"9,0",Hôtel,Brest," 8,0 "
Margot,France,0,2020-03-09,Bien ,None,La douche était cassée et le ménage mal fait.,"7,0",Hôtel,Brest," 8,0 "
Arezki,Algérie,0,2020-03-05,Très bien,"Hôtel bien situé devant un arrêt du tramway et pas loin d'une station du bus pour la gare.
Personnel accueillant et souriant. 
Chambre propre.",None,"8,0",Hôtel,Brest," 8,0 "
Isa,France,0,2020-03-02,Fabuleux ,"La gentillesse du personnel , le petit déjeuner simple mais copieux , l’emplacement",Un peu simple et vieillot,"9,2",Hôtel,Brest," 8,0 "
Thibault,France,0,2020-03-02,Bien ,Hôtel bien situé et au calme.,Matelas creusé au milieu peu confortable.,"7,0",Hôtel,Brest," 8,0 "
Bertrand,France,0,2020-02-27,"Séjour agréable, si j'ai un hôtel à reprendre un jour, ce sera celui.","Bonne situation, proche téléphérique, château, tramway, restos. C'est propre, le personnel est agréable. Chambre faite au retour.","Pas de prise électrique au Niveau du lit, ou alors je ne l'ai pas vu.
Si quelque chose mais c'est partout pareil, paiement 2 jours avant par CB, et toujours au moment de rendre les clés, la fameuse taxe de séjour, pourquoi ne pas tout payer d'un coup, pour 1,90€.","8,0",Hôtel,Brest," 8,0 "
Thibault,France,0,2020-02-26,Très bien,"La chambre, la salle de bain, le lit, le placard",Des dispute et bruit dans le couloir des vacan pas beaucoup de prise électrique.,"8,0",Hôtel,Brest," 8,0 "
Patrick,France,0,2020-02-26,Fabuleux ,"l'emplacement
l'accueil",None,"9,0",Hôtel,Brest," 8,0 "
Romain,France,0,2020-02-26,Très bon rapport qualité/prix.,"La chambre était spacieuse et propre, la literie très confortable. La salle de bain était propre également. On entend pas le bruit de la ville...","... En revanche, on entend très bien ce qu'il se passe dans les chambres d'à côté entre 5 et 7.
Le petit déjeuner est tout juste passable.
Il n'y a pas de gel douche dans la salle de bain, et la pomme de douche n'a pas d'accroche, ce qui oblige à la tenir.","7,0",Hôtel,Brest," 8,0 "
Roger,France,0,2020-02-25,agreable,"La proximité du centre ville,, des restaurants et du musé",Le manque de chaises ou de porte manteaux pour mettre les vêtements lorsque l'on se d'habille,"7,0",Hôtel,Brest," 8,0 "
Loguy,France,0,2020-02-19,Bien ,"Accueil, très bon",Tramway qui passe,"7,0",Hôtel,Brest," 8,0 "
Anne-marie,France,0,2020-02-19,A conseiller,"Personnel accueillant, excellente situation",rien,"9,0",Hôtel,Brest," 8,0 "
Guimbretiere,France,0,2020-02-19,Bien ,"Lit confortable, calme, bonne situation","Le petit-déjeuner reste très limité en choix mais acceptable. Aucun plat chaud salé : œuf brouillé, tranche de poitrine fumé.. pas de choix en yaourt.. peu de choix en confiture également..","7,0",Hôtel,Brest," 8,0 "
Jean-claude,France,0,2020-02-17,Fabuleux ,Accueil très agréable ;très grand disponibilité du personnel ; le petit-déjeuner avec vue surla rade,Douche sans porte qui éclabousse la salle de bain,"9,0",Hôtel,Brest," 8,0 "
Nicolas,Pérou,0,2020-02-13,Très bien,emplacement,None,"8,0",Hôtel,Brest," 8,0 "
Yann,France,0,2020-02-11,Bien ,Accueil et compréhension du personnel très bien,"Les voisins des chambres à côté avec leur vacarme (menaces, engueulades, qui tapent sur les murs...)","7,0",Hôtel,Brest," 8,0 "
Emilie,France,0,2020-02-11,Bien ,"Accueil très gentil, chambre confortable.",None,"7,0",Hôtel,Brest," 8,0 "
Sandrine,France,0,2020-02-09,Fabuleux ,Le professionnalisme du personnel sa gentillesse et une chambre impeccable,L'odeur dans les couloirs,"9,0",Hôtel,Brest," 8,0 "
Alain,France,0,2020-02-09,Bon hôtel bien placé,L'accueil très bien,None,"9,0",Hôtel,Brest," 8,0 "
Valerie,France,0,2020-02-09,Bien,None,Odeurs nauséabondes dans les couloirs,"8,0",Hôtel,Brest," 8,0 "
Barbs96,France,0,2020-02-09,Bien ,None,Peu insonorisé,"7,0",Hôtel,Brest," 8,0 "
Johann,France,0,2020-02-09,Très bien,Le personnel gentil et très serviable,Il manquait une lampe de chevet,"8,0",Hôtel,Brest," 8,0 "
Sophie,France,0,2020-02-05,Très bon séjour. Idéal déplacement professionnel.,"Emplacement idéal, coeur de Brest quartier animé. Chambres simples, mais au goût du jour. Très bon rapport qualité/prix.",Manque de lampes et de prises au niveau du lit.,"7,0",Hôtel,Brest," 8,0 "
Roberto,France,0,2020-02-05,Agréable,None,Personnels quelques-peu intrusif...,"6,7",Hôtel,Brest," 8,0 "
Theo,France,0,2020-02-02,Bien ,"Confort de la chambre 
pas de bruit dans le couloir","Un peu cher pour une nuit ( 45 euros ) 
je devais partir tôt ( 6H ) donc pas de petit déjeuner","7,0",Hôtel,Brest," 8,0 "
Christophe,France,0,2020-01-26,Très bien,Accueil ( juste passé une soirée ),"Absence de support de pomme de douche, balai wc et signalisation des chambres (402 par exemple, passage d une zone ambigue)","8,0",Hôtel,Brest," 8,0 "
Michelle,France,0,2020-01-23,Bien ,"Situation de la chambre donnant sur le téléphérique et la vallée 
Belle vue
Calme",La chambre était froide,"7,0",Hôtel,Brest," 8,0 "
Marciano,France,0,2020-01-23,Très bien,Tout,Rien,"8,0",Hôtel,Brest," 8,0 "
Vincent,France,0,2020-01-21,bon rapport qualité/prix,"emplacement : au coeur de la rue de SIAM et a deux pas de l'entrée de l'arsenal, idéalement situé juste devant un arrêt du TRAM","Isolation phonique des portes palières : lorsqu'un voisin entre ou quitte sa chambre, vous ne pouvez pas le manquer ! Il y a un espace sous la porte qui laisse passer le bruit et la lumière (CH 301)","8,0",Hôtel,Brest," 8,0 "
Jean-bernard,France,0,2020-01-18,"correct quand même , mais il faut ABSOLUMENT régler le problème de bruit et vibration intempestifs",l'emplacement.,"Il restait juste une place de parking (municipal) payant quand je suis arrivé.
Le soir à partir de 22h00 apparition d'un bruit sourd et grave faible mais audible du genre machine rotative à vitesse constante émettant dans les graves , et provocant des vibrations ressenties jusque dans le lit !","7,0",Hôtel,Brest," 8,0 "
Amsallem,France,0,2020-01-16,Fabuleux ,endroit propre hotel charmant personnel parfait,None,"9,0",Hôtel,Brest," 8,0 "
Elodie,France,0,2020-01-14,Agréable,"Le chambre était propre est spacieuse.
La salle de bain est très fonctionnel.","Une seul prise électrique a l'autre bout de la pièce, pour brancher le portable ce n'est pas pratique.
Le matelas était très inconfortable.
La chambre était très mal isolé il y faisait très froid malgré le chauffage.","6,7",Hôtel,Brest," 8,0 "
Murielle,France,0,2020-01-12,Bien ,L emplacement . La propreté,L odeur de friture en ouvrant la fenêtre mais bien sur l hotel n y peut rien,"7,0",Hôtel,Brest," 8,0 "
Genevieve,France,0,2020-01-12,Très bon séjour. Je recommande cet hôtel,"Le calme la propreté la situation geographique.
Le personnel aimable",La douche,"8,0",Hôtel,Brest," 8,0 "
Carlo,France,0,2020-01-12,"Hotel correcte, avec un bon accueil !","La situation géographique, l'accueil !",La télécommande de la TV ne marche pas.,"7,0",Hôtel,Brest," 8,0 "
Stéphan,France,0,2020-01-09,"Excellent rapport qualité/prix, un accueil parfait.","Un rapport qualité-prix imbattable, un personnel très serviable et sympathique.
Hôtel placé à quelques mètres d'un arrêt de tram en centre ville.",Il manquait un éclairage de chevet dans la chambre... Dommage.,"9,0",Hôtel,Brest," 8,0 "
Christelle,France,0,2020-01-09,Magnifique hôtel,"Les disponibilités du personnel à l'accueil... Professionnalisme et facilité de déplacement, restauration et magasins... Je recommande cet hôtel",Une légère odeur dans les couloirs du bâtiment.,"8,3",Hôtel,Brest," 8,0 "
Jean-pierre,Australie,0,2020-01-06,Un bon établissement pour visiter Brest.,"Excellent accueil à mon arrivée. Il m'a été proposé un plan de la ville et des conseils ""touristiques"" avisés que j'ai décliné car je connais très bien Brest mais l'intention est agréable. L'hôtel est bien tenu et la vue sur une partie de la Rade est appréciable. Le tram est juste à côté de l'hôtel, la gare TGV est à 10 minutes à pied environ.",RAS,"9,0",Hôtel,Brest," 8,0 "
Dwaine,France,0,2020-01-05,Agréable,La vue (chambres 408),Les prises à l'opposé du lit,"6,7",Hôtel,Brest," 8,0 "
Eric,France,0,2020-01-04,Satisfait. Reviendrons sans doute.,"Très bon accueil. J'ai apprécié qu'il n'y ait pas de moquette mais du parquet, plus hygiénique ! Petit déjeuner correct. Bon rapport qualité prix.",None,"8,0",Hôtel,Brest," 8,0 "
Florence,France,0,2020-01-03,Très bon séjour avec un excellent rapport qualité/,"Personnels charmants et très accueillants 
Petite chambre avec balcon très bien",Douche peu pratique car on arrose partout,"9,0",Hôtel,Brest," 8,0 "
Annick,France,0,2019-12-29,Fabuleux ,La gentillesse des personnels rencontrés. Leurs bons conseils pour les visites et restaurants du quartier. L'emplacement de l'hotel. Le confort de la chambre.,Un petit problème avec le mélangeur de la douche.,"9,2",Hôtel,Brest," 8,0 "
Stevenmg,France,0,2019-12-22,Hôtel de qualité,"Accueil excellent, personnel très agréable et courtois. Chambre propre avec une très belle vue. Petit-déjeuner complet","Tempête de vent très audible dans la chambre, ce qui compliquait le sommeil... (vent ressenti). Tête de lit un peu dangereuse, on s’y cogne facilement. Manquerait une prise électrique près du lit","8,0",Hôtel,Brest," 8,0 "
Florence,France,0,2019-12-09,Parfait,Petit déjeuner très correct avec personnel très cordial,Rien,"8,0",Hôtel,Brest," 8,0 "
Jean,France,0,2019-12-06,"simple , reposant","bon emplacement , rue de Siam calme, car sans circulation puisque uniquement les Tram, 
chambres refaites avec SdB neuve, et aussi, chose de plus en plus rare, on bénéficie d'un vrai store donc une chambre parfaitement obscure , lobbie traditionnel qui change un peu des hotels de grande chaine
WIFI puissant","Wifi puissant , mais malheureusement des décrochages 
le petit -dejeuner dans le Hall manque d'intimité","9,0",Hôtel,Brest," 8,0 "
Emmanuel,France,0,2019-12-06,Excellent séjour et service,"Vue de la chambre sympa
Accueil chaleureux et très flexible (Ok pour entrée dans chambre avant consultation carte identité)","Parking (payant juste à côté Ok, mais parking gratuit dans les environs un peu difficile)","8,0",Hôtel,Brest," 8,0 "
Philippe,France,0,2019-12-04,Très bien,"La tranquillité de l'hôtel, chambre propre et moderne, petit-déjeuner complet (sucré-salé)...et un veilleur de nuit...","Le stationnement des voitures (l'hôtel ne disposant pas de garage ou parking) J'ai passé la nuitée du vendredi, et le samedi matin, les stationnements de la ville sont gratuits, la chance!!! et une place a 30 mètres de l'hôtel, double chance!!!","8,0",Hôtel,Brest," 8,0 "
Souad,Maroc,0,2019-12-04,"Séjour agréable, personnel aimable et prêt à vous aider","Le pain, le fromage
Le lit","Les œufs, le jus d’orange","7,0",Hôtel,Brest," 8,0 "
Y,France,0,2019-12-02,Bien ,La proximité du centre ville,Ras,"7,9",Hôtel,Brest," 8,0 "
