nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Laurie,France,1,2019-08-12,Parfait pour petit séjour,"Parfaitement placé, propre et confortable . Rien à redire",None,10,Appartements,Cannes," 7,9 "
Bettyste,France,0,2020-01-02,Excellent séjour!!,"Tout y est! Les équipements, la propreté, l emplacement....",None,"9,0",Appartements,Cannes," 7,9 "
Annick,France,0,2019-08-29,Superbe,La situation de l'appartement et la climatisation qui est indispensable.,"La tv avait du son seulement les 10 premières minutes. Pas top....
Le hall d'accueil, lorsque l'on vient de faire 1000 kms on se demande où l'on a mit les pieds. Une fois passé la 2ème porte à code, impeccable...","8,8",Appartements,Cannes," 7,9 "
Sébastien,France,0,2019-04-29,Excellent pied à terre !,"L'emplacement est idéal.
Ce petit 2 pièces est très bien équipé.","Le manque d'ouverture sur l'extérieur pour aérer les pièces. 
La non possibilité de se garer.","9,2",Appartements,Cannes," 7,9 "
Philippe,France,0,2019-02-14,"Très bien situé pour activités en centre Croisette, bien équipé propre et prix attractif","Emplacement idéal pour moi qui participait à un tournoi au casino du Palais des festivals 
L’appartement est à deux minutes à pied du Palais","Le seul bémol c’est l’absence de lumière et de vue : l’appartement 511 donne sur une minuscule courette sans même qu’on puisse apercevoir le ciel. De plus il y a des installations de ventilation dans cette cour qui font un bruit de fond permanent, donc prévoir des bouchons d’ore Pour dormir. 
Donc appartement pratique pour activité en centre ville mais pas pour un séjour où vous passeriez du temps à l’intérieur du logement.","9,2",Appartements,Cannes," 7,9 "
Irène,France,0,2018-12-26,Pour passer une seule nuit c'était impeccable.,None,"Il s'agit malheureusement d'un appartement très peu éclairé par la lumière naturelle, aucune fenêtre, juste un fenetron et une porte vitrée qui donnent sur la colonne d'air intérieure du bâtiment.","8,8",Appartements,Cannes," 7,9 "
Nancy,France,0,2018-11-12,Très bien,L'emplacement était top,Le sèche cheveux ne marchait pas,"8,3",Appartements,Cannes," 7,9 "
Tdekerdrel,France,0,2018-09-27,Agréable,Assez confortable,Dommage qu'il y ait des petites fenêtres et le plafond est trop petit.,"6,7",Appartements,Cannes," 7,9 "
Freulax,France,0,2018-09-05,Bien pour un court séjour,La petite marque d'attention à mon arrivée,La vue sur la chaufferie extérieur,"7,5",Appartements,Cannes," 7,9 "
Velpab,France,0,2018-08-27,Amazing,"La position géographique est top, l’appartement aussi",La télé ne fonctionnait pas,"7,5",Appartements,Cannes," 7,9 "
Dan,France,0,2018-08-22,Agréable séjour,L’emplacement est top. Appartement très propre.,L’appartement est vraiment petit et sombre.,"8,3",Appartements,Cannes," 7,9 "
Veronique,France,0,2018-08-21,Séjour agréable.,La plage à deux pas commerce gare magasins.,L'eau qui ne cesse de couler sûre les escaliers chaque fois surtout le soir.,"7,5",Appartements,Cannes," 7,9 "
Carolina,France,0,2018-08-02,Superbe,"Appartement en plein centre de Cannes, très confortable et propre, système de remise de clef très pratique qui n’oblige pas à respecter un horaire",L’entrée du bâtiment est vieilli et en très mauvaise état mais semble que les travaux pour l’améliorer ont commencé,"8,8",Appartements,Cannes," 7,9 "
Jennifer,France,0,2018-07-26,Appartement très bien situé à 1min de la croisette,Situation géographique,"La chambre doit être libérée à 10h, à 9h45 une femme de ménage ouvre la porte avec sa clé sans sonner ni toquer pour nous demander de partir!","7,5",Appartements,Cannes," 7,9 "
Henri,France,0,2018-07-13,Très belle ville,None,"Fuite dans la douche 
Manque de propreté facturer 29€ pour 1 journée et 1 nuit","6,7",Appartements,Cannes," 7,9 "
