nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Aurore,Pays-Bas,1,2019-04-11,Exceptionnel,Attention et professionnalisme du personnel,None,10,Appart'hôtel,Marseille," 8,1 "
Chauran,France,0,2020-03-29,Très bien,....,...,"8,0",Appart'hôtel,Marseille," 8,1 "
Saly,France,0,2020-03-10,Très bien,"L'Hôtel est bien situé. Les chambres sont grandes et propres. Le personnel est vraiment très aimable, à écoute et disponible. Je les remercie infiniment de leur gentillesse naturelle et sincère, petit clin d'oeil à IBRAHIMA 😉😉.
La salle de sport est petite mais il y a l'essentiel pour s'entraîner.
Je recommande cet établissement",Dommage que les lits ne soient pas de vrais lits double mais 2 lits côte à côte. Pas très agréable pour un couple ou bien deux personnes dormant ensemble.,"8,0",Appart'hôtel,Marseille," 8,1 "
Carmen,France,0,2020-03-09,Hôtel pratique,"Hôtel qui fait bon impression une fois à l'intérieur. Bon accueil. Belle chambre et belle salle de bains propres et assez spacieuses. La cuisine équipée est un plus. Le wifi gratuit et de très bonne qualité. La bagagerie mise à disposition. Proximité du métro, bus et tram très appréciable.",Quartier moyen. Beaucoup trop de vis à vis (côté cour). Départ à 11h trop tôt. Le lit double était constitué de deux matelas peu épais qui glissaient. Oreillers et couette peu confortables. Présence d'un lave vaisselle mais pas de machine à café dans la cuisine. Manque d'isolement phonique/acoustique dans les chambres.,"9,0",Appart'hôtel,Marseille," 8,1 "
Fidjy,France,0,2020-03-08,Fabuleux ,"Cuisine très pratique bien équipée
Super salle de bain
Très spacieux et surtout propre !",None,"9,2",Appart'hôtel,Marseille," 8,1 "
Gregory,France,0,2020-03-08,Hotel confortable calme,"L'emplacement, l'accueil, et le petit déjeuner",La vue rapprochée avec vis à vis sur l'hôpital de la Timone et le manque d'étanchéité du joint de la douche.,"8,0",Appart'hôtel,Marseille," 8,1 "
Ghislain,France,0,2020-03-05,"Bien, mais sans plus.",Les chambres sont bien conçus.,"La propreté, en particulier de la salle de bain, avec de la moisissure très facile à enlever au niveau de la douche.","7,0",Appart'hôtel,Marseille," 8,1 "
Khalid,France,0,2020-03-05,Superbe,Un bel établissement à côté de la Timone,Établissement agréable mais le petit déjeuner est un peu cher,"8,8",Appart'hôtel,Marseille," 8,1 "
Laurie,France,0,2020-02-28,séjour agréable,"personnel accueillant 
chambre équipée de nombreux appareils électro-ménagers et vaisselle
proche du métro et bus","rideaux épais mais pas de voilage aux fenêtres
emplacement pratique par rapport au réseau de transports mais ce n'est pas un quartier où on peut se balader","7,0",Appart'hôtel,Marseille," 8,1 "
Cgvoyages,France,0,2020-02-26,Très bien,"Équipements 
Propreté des lieux
Fonctionnel",Pas de problème,"8,0",Appart'hôtel,Marseille," 8,1 "
Amandine,France,0,2020-02-24,Fabuleux ,"La propreté, la gentillesse des personnes de l’hôtel, la superficie de la chambre","Le petit déjeuner est peu varié, 15€ mériterait un peu plus de choix et du pain frais","9,2",Appart'hôtel,Marseille," 8,1 "
Yohan,France,0,2020-02-23,Bien ,"Le calme du quartier, la literie du lit et une belle petite salle de bain",La texture du canapé (un détail 😜),"7,5",Appart'hôtel,Marseille," 8,1 "
Sebastien,France,0,2020-02-21,Fabuleux ,La chambre était très propre la cuisine bien équipée,Une chaise et un tabouret pour 2 personnes sa serait mieux 2 chaise.,"9,0",Appart'hôtel,Marseille," 8,1 "
Carolyn,France,0,2020-02-21,Très bien,"Comfortable lits 
bien insonorisé
Près de métro",Salle de sport manqué un fontaine d'eau et dispenser de serviette en papier,"8,0",Appart'hôtel,Marseille," 8,1 "
Tebboune,France,0,2020-02-16,bien rien à dire de plus,personnel au soin parfait,"Petit déjeuner exorbitant 15€ sur les hôtels avoisinants il est à 6,50€!","8,0",Appart'hôtel,Marseille," 8,1 "
Serge,France,0,2020-02-09,Très bien,"Proximité, accueil du personnel, rapport qualité prix",None,"8,0",Appart'hôtel,Marseille," 8,1 "
Monique,France,0,2020-02-07,bien,None,Des lampes de chevet seraient appréciées,"7,0",Appart'hôtel,Marseille," 8,1 "
