nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Arnaud,États-Unis,1,2018-08-03,Très bel hôtel,"Très bel hôtel, staff agréable et efficace. Super localisation","Pas de piscine, pas de spa",10,Hôtel,Nice," 8,8 "
Nicole,France,0,2020-03-30,séjour conforme à mes attentes dans un très joli cadre,"à l'occasion de mon 60 e anniversaire on m'a surclassée
chambre vue jardin et mer
lever de soleil le matin 
l'espace dans la chambre
la mise à disposition d'un petit coussin et d'une gamelle pour mon chien
le roomservice
la tranquillité",None,"8,0",Hôtel,Nice," 8,8 "
Guillaume,Royaume-Uni,0,2020-03-14,Excellent sejour a Nice,"Meilleur hotel sur la Promenade des Anglais. Suite magnifique avec vue sur mer, tres spacieuse avec balcon et chaises longues. Magnifique petit-dejeuner servi en chambre.",None,10,Hôtel,Nice," 8,8 "
Pascal,France,0,2020-03-06,Très beau hôtel,"Le personnel très à l’écoute du client, cadre magnifique.",None,"8,3",Hôtel,Nice," 8,8 "
Serge,France,0,2020-02-27,Séjour inoubliable dans un palace unique au monde riche de six mille toiles et tableaux,Petit déjeuner exceptionnel.Un service attentionné et de qualité avec notamment un buffet excellent de viennoiseries et de pâtisseries,Tout était parfait de l'accueil personnalisé au départ de l'hotel.Il n'a pas de critiques à formuler,"9,0",Hôtel,Nice," 8,8 "
Alain,France,0,2020-02-25,Très bien,L'emplacement sur la promenade des Anglais et la décoration a l'ancienne charmante qui vous transpose au début du siècle.,L'homme de la sécurité qui fais son job mais manque de savoir vivre,"8,0",Hôtel,Nice," 8,8 "
Francois,France,0,2020-02-25,Le vrai Plaisir Hôtelier,"Nous avons passé deux nuits dans cet établissement et ce fut un véritable plaisir d'y séjourner. De la qualité à tous les niveaux réception, confort, restauration, ambiance, bar .....",Ce que nous n'avons pas apprécié c'est que nos voisins italiens étaient trop bruyants mais cela a été assez rapidement réglé. pour le reste tout était parfait nous reviendrons.,"9,0",Hôtel,Nice," 8,8 "
Patrick,France,0,2020-02-24,"Hotel mythique et magnifique, idéalement placé. Excellent service.","emplacement, service et chambre",None,"9,0",Hôtel,Nice," 8,8 "
Didierdg,Belgique,0,2020-02-22,La légende !,"Comment mettre des mots sur la magie à l'état pur ?
La grande tradition des palaces français ne se laisse pas enfermer dans quelques phrases. Le Negresco n'est pas un hôtel, c'est un musée d'art, une relique, une institution où il faut avoir logé une fois dans sa vie.","Rien, tout était absolument parfait.",10,Hôtel,Nice," 8,8 "
Sylviane,Suisse,0,2020-02-20,Un séjour de rêve,Tout,Rien,10,Hôtel,Nice," 8,8 "
Tristan,France,0,2020-02-16,Tout était parcait,Tout est Niquel rien à redire .,Le seul petit bemol est le regard des gens lorsque nous ne sommes pas habillé « comme eux » c’est à dire en chemise smoking . Mais Appart ce petit point tout était top,10,Hôtel,Nice," 8,8 "
Valérie,France,0,2020-02-15,Exceptionnel,"Tout était parfait
Les employés 
Le confort de la chambre l'accuueil",None,10,Hôtel,Nice," 8,8 "
Jerome,France,0,2020-02-13,Exceptionnel,La qualité du service qui reste l’un des deniers au monde avec cet esprit palace. Ce charme désuet est très agréable. Et quelle vue.,None,10,Hôtel,Nice," 8,8 "
William,France,0,2020-02-11,Exceptionnel,Tout,Impeccable,10,Hôtel,Nice," 8,8 "
Rodolphe,France,0,2020-02-11,Très bien,le cadre en général et l'accueil,le service d'étage pas de journal avec le petit déjeuner les services de télévision ex pas de canal+,"8,0",Hôtel,Nice," 8,8 "
Frantz,France,0,2020-02-09,Exceptionnel,"Chambre spacieuse. Lit confortable. Aucune nuisance sonore. Vue magnifique sur mer.
Petit déjeuner varié et copieux. Espaces communs, circulations agréables et décorés comme dans un musée avec des centaines d'œuvres d'art. Très agréable de déambuler dans les parties communes. Personnel à l'écoute, aimable, souriant et compétent.",None,10,Hôtel,Nice," 8,8 "
Thierry,France,0,2020-02-08,Meilleur hôtel de nice,Excellent depuis l arrivée,Rien,10,Hôtel,Nice," 8,8 "
Docteur,Italie,0,2020-02-04,Exceptionnel,"J'étais toute seule pour Affaires 
La tranquillité 
Le service 
Amabilité et courtoisie du staff
Surtout les voituriers
Le maître restaurant les serveurs etc...","Seulement les serviettes étaient insuffisantes et de qualité médiocre 
Le petit-déjeuner était servi jusqu'à 10.30
Mais à Nice en vacance c'est pas possible prendre le petit déjeuner très tôt. Il faut dormir un peu plus tard. Je pense que ils doivent préparer le restaurant pour le déjeuner dans La rotonde 
Alors il faut utiliser autres espaces pour le petit déjeuner. L'hôtel est très grand il y a beaucoup d'espace !!!",10,Hôtel,Nice," 8,8 "
Henri,France,0,2020-02-02,Exceptionnel,L'âme du lieu.,Rien,10,Hôtel,Nice," 8,8 "
François,France,0,2020-02-02,Exceptionnel,le bar,None,10,Hôtel,Nice," 8,8 "
Joelle,France,0,2020-01-31,GENIAL!,Accueil exceptionnel. Lieu mythique et merveilleux. Vue splendide. Emplacement idéal.,None,"9,6",Hôtel,Nice," 8,8 "
Philippe,France,0,2020-01-28,"A faire, et refaire, chaque chambre est unique",Hôtel exceptionnel et unique,Petit pb de lumière dans la chambre,10,Hôtel,Nice," 8,8 "
Frédéric,France,0,2020-01-26,Fabuleux ,"Architecture superbe tant extérieure qu’intérieure. Le Negresco est une œuvre d’art (tour, rotonde, etc), emplie d’œuvres d’art (peintures, sculptures, lithographies, ...) provenant de multiples époques. C’est un musée - hôtel.
Service remarquable.
Emplacement fantastique, sur la promenade à 15 minutes à pieds du centre historique.",Isolation phonique entre chambre et couloir,"9,2",Hôtel,Nice," 8,8 "
