nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Caroline,Belgique,1,2018-07-30 00:00:00,Exceptionnel,"Établissement recent, propre, soigne, chouette design. Belle chambre bien agencée
Il est situe dans un quartier très... Parisien. Dans le sens positif du terme. Immersion garantie.",Rien,10,Hôtel,Paris," 8,5 "
Olivier51,France,0,2020-03-16 00:00:00,Fabuleux ,"Accueil très chaleureux, chambre calme...tout pour passer un agréable séjour..",None,"9,0",Hôtel,Paris," 8,5 "
Marc,France,0,2020-03-11 00:00:00,Exceptionnel,"Tout bié sauf le wifi catastrophiquement lent!
0,8 mega par seconde!!",None,"9,6",Hôtel,Paris," 8,5 "
Marie-claire,France,0,2020-03-08 00:00:00,Exceptionnel,None,Hôtel parfait. Quartier sympa.,10,Hôtel,Paris," 8,5 "
Pierre,France,0,2020-03-06 00:00:00,Fabuleux ,Excellent rapport qualité prix. Personnel très agréable.,None,"9,0",Hôtel,Paris," 8,5 "
Patricia,France,0,2020-03-02 00:00:00,Bien ,L emplacement le petit déjeuner la gentillesse du personnel,Chambre vraiment trop petite sdb exigüe attention si vous avez un peu d embonpoint vous serez ds l impossibilité de rentrer ds la cabine de douche 😜,"7,9",Hôtel,Paris," 8,5 "
Eric,France,0,2020-03-02 00:00:00,Superbe,"Petit hôtel propre , chaleureux calme
Simple, efficace 
Boissons chaudes à disposition",None,"8,8",Hôtel,Paris," 8,5 "
Carole,France,0,2020-02-23 00:00:00,Très bien,"Le quartier, la propreté, le calme....",None,"8,3",Hôtel,Paris," 8,5 "
Farid,Maroc,0,2020-02-22 00:00:00,Très bien,L'emplacement et le personnel,Chambre très petite,"8,0",Hôtel,Paris," 8,5 "
Tg,France,0,2020-02-22 00:00:00,Très bien,Acceuil agréable et le lit confortable. Le petit déjeuner est très bien. Nous avons eu la chance d'être surclassé.,Le bruit de l'ascenseur qui se situait juste en face de notre chambre.,"8,0",Hôtel,Paris," 8,5 "
Franck,France,0,2020-02-21 00:00:00,sympathique,emplacement,"chambre vraiment ""cosy"" très petite et ascenseur que pour 1 personne.","8,0",Hôtel,Paris," 8,5 "
Odile,France,1,2020-02-17 00:00:00,Très bien,"Localisation de l'hôtel.
Le personnel est charmant.
L'hôtel propose des boissons chaudes à tout moment de la journée.
Le petit déjeuner est accessible dès 6h30","La chambre est petit avec un accès difficile.
Elle était peu insonorisée par rapport aux bruits de la rue.
LA salle de bains était microscopique.","8,0",Hôtel,Paris," 8,5 "
Elisabeth,France,0,2020-02-17 00:00:00,Fabuleux ,"hôtel très bien situé au centre de paris. literie particulièrement confortable. J'ai demandé une chambre coté cours, du coup très calme.",None,"9,0",Hôtel,Paris," 8,5 "
Nathalie,France,0,2020-02-10 00:00:00,Très bien,"excellente situation, quartier animé mais hotel calme, équipe sympa et disponible.",None,"8,0",Hôtel,Paris," 8,5 "
Jules,France,0,2020-02-10 00:00:00,Nous avons adoré visiter Paris,La personne de l'accueil était très accueillante et nous a donné de nombreux conseils pour que notre séjour se passe au mieux.,"La taille de la chambre était un peu juste, surtout au niveau de la douche et des toilettes.","9,0",Hôtel,Paris," 8,5 "
