nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Laura,Italie,1,2019-08-31,Séjour parfait,"L'hôtel est très proche du centre ville de Cannes, la position et le parking sont ses points forts car c'est presque impossible de garer sa voiture dans la rue. La chambre était simple mais accuieillante et propre. Merci au staff de la réception et, en particulier, à Barrie qui sert le petit-déjeuner, super gentil! :)",None,10,Hôtel,Cannes," 8,9 "
Bart,France,0,2020-06-01,à recommander,gentilesse du personnel,un peu de bruit pendant la nuit,"8,0",Hôtel,Cannes," 8,9 "
Nicolas,France,0,2020-06-01,Merci pour ce sejour !,"Propreté, super accueil et personnel très serviable !",None,"8,0",Hôtel,Cannes," 8,9 "
Bertrand,France,0,2020-03-09,Très bien,l'accueil du personnel,l'insonorisation,"8,0",Hôtel,Cannes," 8,9 "
Michel,France,0,2020-03-02,Exceptionnel,touttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt,None,10,Hôtel,Cannes," 8,9 "
Didier,France,0,2020-02-28,Certainement un endroit où je reviendrai si l'occasion de venir à Cannes se représente.,"Hôtel relativement central malgré sa position dans les hauts: la croisette n'est finalement pas si loin. La possibilité de parking est tellement appréciable dans cette ville que cela en fait un atout indéniable pour cet hôtel. Le très grand ""plus"" est sans doute la convivialité et la disponibilité du responsable et des personnels.",None,"9,0",Hôtel,Cannes," 8,9 "
Louhichi,Royaume-Uni,0,2020-02-25,Fort Agréable,le personnel fort sympathique et arrangeant le lieu était très propre lit confortable je recommande cet hôtel à 100%,Tout était nickel,10,Hôtel,Cannes," 8,9 "
Nels,France,0,2020-02-22,Exceptionnel,Monsieur Olivier et barill sont super et très agréable et d une gentillesse 👍je recommande cette hôtel vraiment top. Merci à vous de nous trois.,None,10,Hôtel,Cannes," 8,9 "
Hervé,France,0,2020-02-13,Hôtel agréable,"Nous avons occupé une chambre triple, surface un peu juste mais suffisante pour 1 nuit.
Bon petit déjeuner très complet. Mille mercis à Bari le veilleur de nuit qui a bien voulu préparer le petit déjeuner de notre fille 10minutes plus tôt.",Pas de cintres dans la penderie mais pour 1 nuot cela n'a pas été critique.,"8,0",Hôtel,Cannes," 8,9 "
Francoise,France,0,2020-02-07,"hôtel chaleureux, propre, bien situé, parfait.","Accueil très sympathique, personnel jovial et chaleureux très dévoué au moindre désir de ses clients, propreté irréprochable de l'établissement,petit déjeuner copieux, délicieux, hôtel au calme bien que très près du centre ville, nous reviendrons avec plaisir dès que nos affaires nous conduiront à Cannes. Merci encore à Olivier qui a su s'entourer d'une équipe jeune, tonique, et agréable","Peut être un distributeur d'eau, ou de jus de fruit lorsque l'on rentre un peu tard, mais à part çà tout était parfait",10,Hôtel,Cannes," 8,9 "
Roland,France,1,2020-01-05,Exceptionnel,"pour nous l'emplacement de l'hôtel était parfait et avec un parking trop bien, le personnel est très gentil et répond a nos demande ( le sourire de BARRY) au petit déjeuné sa aide a bien démarrer la journée .MERCI","Peut être comme nous qui étions a l'hôtel pendant cinq jour, d'avoir le même fromage ,les même confiture, et le même dessert , pourquoi pas diversifier un peut ? et sa ferait certainement plaisir aux clients.",10,Hôtel,Cannes," 8,9 "
Eliane,France,0,2019-12-09,"génial, très agréable.","Petit déjeuner très varié, emplacement idéal. M. Olivier aux petits soins, toujours souriant et de bons conseils. Nous reviendrons avec grand plaisir.",tout était parfait,10,Hôtel,Cannes," 8,9 "
Stéphane,France,0,2019-12-05,Exceptionnel,L accueil le confort,Douche étroite,"9,6",Hôtel,Cannes," 8,9 "
Sylvain,France,0,2019-11-27,Très bien,"Petit dejeuner très bien
Place de parking gardée comme demandé
1/4 d'heure à pied de la rue d'Antibes",None,"8,0",Hôtel,Cannes," 8,9 "
Valérie,France,0,2019-11-23,Très bon hôtel,Hôtel très calme et personnel extrêmement agréable.,None,"9,0",Hôtel,Cannes," 8,9 "
Eric,France,0,2019-11-07,Bien ,RAS,None,"7,9",Hôtel,Cannes," 8,9 "
Antony,France,0,2019-11-04,Séjour agréable dans un hôtel idéalement situé sur les hauts de Cannes,"Bon petit déjeuner, copieux, servi avec le sourire personnel très aimable, balcon bien exposé.",Chambre un peu petite pour 3 adultes,"7,9",Hôtel,Cannes," 8,9 "
Anthony,France,0,2019-10-30,PARFAIT,Excellent accueil tout au long du séjour. Parfait pour un week-end. Proche croisette.,None,10,Hôtel,Cannes," 8,9 "
Nathalie,France,0,2019-10-23,"C' était parfait, personnel, chambre, super emplacement à 150mètres de la croisette, le parking.",Le petit déjeuner était très satisfaisant.,None,10,Hôtel,Cannes," 8,9 "
Evelyne,France,0,2019-10-18,PARFAIT EN TOUT,PETIT DEJEUNER PARFAIT ET COPIEUX,RIEN,10,Hôtel,Cannes," 8,9 "
Marie-christine,France,0,2019-10-12,Excellent rapport qualité prix.,"Nous avons apprécié l'accueil, personnes très sympathiques. Très bon petit-déjeuner sous la terrasse.",None,10,Hôtel,Cannes," 8,9 "
Christele,France,0,2019-10-05,Superbe,"Personnel souriant et très agréable
Petit déjeuner parfait
Le parking est en grand +
Je recommande cet établissement",None,"8,8",Hôtel,Cannes," 8,9 "
Michel,France,0,2019-09-28,Exceptionnel,Accueil l'emplacement,Rien,"9,6",Hôtel,Cannes," 8,9 "
Thomas,France,0,2019-09-26,"Chouette hôtel, nous conseillons!",Hote très accueillant. Super chambre !,None,"9,6",Hôtel,Cannes," 8,9 "
Filis,Belgique,0,2019-09-21,"Si nous revenons à Cannes, se serait l’Esperanto sans hésitation ! Je recommande fortement!",L’hospitalité. Très familiale . Super propre. Petit déjeuner copieux. Très bien situé et parking privé . Niveau rapport/qualité/prix imbattable !,"Si je devrais vraiment trouver quelque chose , se serait le manque d’un petit frigo dans la chambe .","9,2",Hôtel,Cannes," 8,9 "
Gwenaëlle,France,0,2019-09-20,Je recommande ce lieu,L'accueil chaleureux et personnalisé.,Rien,10,Hôtel,Cannes," 8,9 "
Claire,France,0,2019-09-19,Exceptionnel,Le charme,None,10,Hôtel,Cannes," 8,9 "
Vero,France,0,2019-09-13,Exceptionnel,"Très bon emplacement, personnel et patron très sympathiques, décoration originale de la chambre, l’extérieur pour le petit déjeuner très agréable ...",None,10,Hôtel,Cannes," 8,9 "
Camille,France,0,2019-09-08,Exceptionnel,Le personnel est très agréable ! Chambre parfaitement propre,None,"9,6",Hôtel,Cannes," 8,9 "
Annick,France,0,2019-09-08,Bien ,L'accueil est formidable le personnel très serviable et à l'écoute du client. Propreté de l'établissement très correct.dans la simplicité de cet hôtel im i fais bon d'i séjourne. Nous le recommandons!!l'hôtel,None,"7,5",Hôtel,Cannes," 8,9 "
