nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Fabien,France,1,2018-06-30,Exceptionnel,"La situation 
La formule petit déjeuner express 
Le personnel 
Le parking",RAS,10,Hôtel,Lyon," 7,7 "
Sylvianne,Suisse,0,2020-05-10,Très bien,Pas loin de la gare. Le petit déjeuner bon rapport qualité prix. Le personnel serviable. Endroit Calme.,None,"8,0",Hôtel,Lyon," 7,7 "
Romina,France,0,2020-03-23,Merci de votre gentillesse,"Le personnel a vraiment été très gentille et surtout face à ce virus qui oblige beaucoup d’hôtel à fermé, tout le personnel est resté calme et souriant. Bravo et merci !",None,"8,0",Hôtel,Lyon," 7,7 "
Cyril,France,0,2020-03-09,Fabuleux ,Très bien,None,"9,0",Hôtel,Lyon," 7,7 "
Catry,France,0,2020-03-09,Bon séjour néanmoins je,"Accueil sympathique, propreté... literie impeccable...",Les chambres ne sont pas assez isolées... on entend toutes les paroles des gens de la chambre attenante ! Difficile donc de se concentrer sur un livre...,"9,0",Hôtel,Lyon," 7,7 "
Françoise,France,0,2020-03-08,Nous reviendrons si l'occasion se présente,.,.,"8,0",Hôtel,Lyon," 7,7 "
Brieuc,France,0,2020-03-08,Bien ,Petit déjeuner bien avec du choix. Parking souterrain en supplément.,Chambre très sombre,"7,1",Hôtel,Lyon," 7,7 "
Jjvermande,France,0,2020-03-07,Agréable,L'hôtel et le personnel,Quartier central mais pas très agréable.,"6,7",Hôtel,Lyon," 7,7 "
Christelle,France,0,2020-03-06,Bien ,Literie correcte et propreté,Manque d’éclairage dans la chambre et garage exiguë,"7,5",Hôtel,Lyon," 7,7 "
M,France,0,2020-03-06,"Hôtel bien placé pour découvrir Lyon, quartier calme.","Hôtel bien situé pour visiter Lyon, métro et bus à proximité. A pied, tous les soirs nous n'avions qu'à traverser le pont sur le Rhône, en 10 mn nous étions dans la rue des Marronniers où se trouve des ""petits bouchons"", vrai découverte pour les papilles.
Hôtel silencieux.","L'éclairage dans la chambre n'est pas confortable.
L'odeur dans la chambre a été fort désagréable (mélange de cigarette, de pied et poussière) à notre arrivé. Après aération l'odeur a été un peu plus supportable. Fort probablement dû à la moquette !!
La TV est trop basse, la hauteur n'est pas confortable lorsqu'on est allongé.
Salle de bain : la baignoire est un peu haute, il manque des portes manteaux pour accrocher les vêtements.","7,0",Hôtel,Lyon," 7,7 "
Mireille,Suisse,0,2020-03-05,Bien ,Le petit-déjeuner était parfait,La salle de bain n'était vraiment pas nickel au point de vue propreté,"7,0",Hôtel,Lyon," 7,7 "
Madeleine,France,1,2020-03-04,Très bien,Petit déjeuner très complet. Chambre très calme et propre,"Tout était bien, personnel aimable.","8,0",Hôtel,Lyon," 7,7 "
Isabelle,France,0,2020-03-02,Bien ,None,Petit déjeuner excessif,"7,0",Hôtel,Lyon," 7,7 "
Caroline,Suisse,0,2020-03-02,Très bon séjour de 2 nuits,L'emplacement et le calme de la chambre. Personnel très agréable.,"Chambre confortable, bien équipée, calme mais assez sombre","8,0",Hôtel,Lyon," 7,7 "
Isabelle,France,0,2020-03-02,Idéal pour un week-end,"L'emplacement, nous avons tout fait à pied.
Petit déjeuner copieux.
Personnel accueillant.",Petit bémol sur la literie,"8,0",Hôtel,Lyon," 7,7 "
Marie,France,0,2020-03-01,Nuitée agréable,"Personnel souriant et agréable.
Chambre double spatieuse.
Malgré un arking complet, le personnel nous a bien conseillé.
Petit déjeuner buffet correct.
Hôtel bien situé par rapport aux sites touristiques (les sites peuvent se faire à pieds).",Manque de mobiliers pour sécher les affaires de bain,"8,0",Hôtel,Lyon," 7,7 "
Charlotte,France,0,2020-03-01,Superbe,None,"Le bruit le vendredi soir (bar à chicha boite de nuit en face, musique à fond jusqu’à une heure du matin côté rue)","8,8",Hôtel,Lyon," 7,7 "
Yann,France,0,2020-03-01,Bon séjour,Hôtel très bien situé. Très bon accueil !,La faune du quartier autour de l’hôtel.,"7,9",Hôtel,Lyon," 7,7 "
Céline,Suisse,0,2020-02-29,Parfait pour 1 à 2 nuits,"Salade de fruits frais au petit dej et viennoiseries chaudes 
Très belle localisation avec un parking public à proximité",Taille de la chambre petite,"7,0",Hôtel,Lyon," 7,7 "
Anthony,France,0,2020-02-29,Très bien,La gentillesse et le professionnalisme des employés,None,"8,0",Hôtel,Lyon," 7,7 "
Marie,France,0,2020-02-29,Bon sejour,Tres bon emplacement de l hotel. le parking en sous sol. Nous mettons une mention spéciale pour amabilité et la réactivité du personnel.,None,"9,0",Hôtel,Lyon," 7,7 "
Na,France,0,2020-02-29,Bien ,Situation,La NON disponibilité du parking !!! Êt LE prix,"7,1",Hôtel,Lyon," 7,7 "
Jean-christophe,France,0,2020-02-28,Bien ,Bon emplacement. Personnel agréable. La literie est confortable.,"La chasse d’eau des toilettes, la télécommande ne fonctionnent pas ou mal.","7,9",Hôtel,Lyon," 7,7 "
Vincent,France,0,2020-02-27,Séjour très sympa,"L emplacement 
Garage 
Personnel sympa",R.A.S,"9,0",Hôtel,Lyon," 7,7 "
Olivier,France,0,2020-02-27,Bien ,Ras très bien,None,"7,9",Hôtel,Lyon," 7,7 "
Claude,France,0,2020-02-27,Très satisfait,"La situation, l'amabilité du personnel et la facilité de la réservation.",Pas de cloison de séparation entre douche et toilettes,"8,0",Hôtel,Lyon," 7,7 "
Barbotin,France,0,2020-02-26,Bien ,Sa situation géographique (proximité du centre),Le manque de stationnement,"7,5",Hôtel,Lyon," 7,7 "
Alexis,France,0,2020-02-26,Un séjour agréable passer a ce campanile,"les lits étaient confortable, avec un accès aux chambres et parking relativement facile. Le déjeuner était très copieux","Pas de prise dans la salle de bain et peu en général. 
Oublie de dentifrice et donc en manque a l’accueil.","9,0",Hôtel,Lyon," 7,7 "
Danielle,Belgique,0,2020-02-26,A refaire pour une étape ou un court séjour.,"Emplacement en centre ville très intéressant, proche des places Bellecour et Terreaux, ainsi que du vieux Lyon. Transports en commun proches aussi.Garage pour la voiture.Personnel attentionné.","Buffet du petit déjeuner sans saveur (et pas du tout local), pour un prix assez élevé.","8,0",Hôtel,Lyon," 7,7 "
Denis,Polynésie française,0,2020-02-25,Fabuleux ,"Personnel à l'écoute et très serviable
Propreté et service irréprochable
emplacement stratégique",None,"9,0",Hôtel,Lyon," 7,7 "
Myriam,France,0,2020-02-25,Très bien,"l'emplacement idéal proche de tout
le parking à un prix raisonnable
la propreté","Petit bémol car le moteur de la clim s'est mis en route toutes les deux minutes toute la nuit
impossible de dormir
Le lendemain nous avons obtenu une autre chambre mais le prix n'a pas été revu à la baisse... 
Et deux serviettes de toilette par personne seraient mieux qu'une seule","8,0",Hôtel,Lyon," 7,7 "
Claude,France,0,2020-02-24,Très bien,Petit déjeuner super très copieux avec beaucoup de choix,Pour la restauration du soir menu affiché ne correspond pas à ce qui est proposé (peut-être parce que c’était un dimanche soir),"8,3",Hôtel,Lyon," 7,7 "
Carine,Suisse,0,2020-02-24,Bien ,Emplacement idéal près du centre.,"Pas de parking à l'hôtel et pas de possibilité d'en réserver une dans un parking. Arrivée un samedi et tourner 1h30 avant d'en trouver une!
Personnel pas très réveillé pour nous aider.","7,0",Hôtel,Lyon," 7,7 "
Jean-luc,France,0,2020-02-24,Bien ,Proximité centre ville + petit déjeuner varié et de qualité + parking de la Fosse aux Ours très proche.,"Le quartier est mal fréquenté avec une certaine insécurité le soir (courses de voitures en ville, dealers ...).","7,0",Hôtel,Lyon," 7,7 "
Marion,France,0,2020-02-23,Superbe,Emplacement idéal pour rayonner dans Lyon,Quartier pas top,"8,8",Hôtel,Lyon," 7,7 "
Claude,France,0,2020-02-23,Très bien,L'amabilité exceptionnelle du personnel,Manque cloison de séparation entre douche et WC,"8,0",Hôtel,Lyon," 7,7 "
Catherine,France,0,2020-02-23,"Journée auprès de la famille, marche, diner, guitare, échecs, et retour à pied par le pont","accueil souriant et aimable, chambre et sdb plaisantes, fonctionnelles, propres
les voisins, peu bruyants, et après une longue demi-journée de marche, sommeil réparateur.","juste signalé une sorte de grincement se produisant tous les 1/4 d'heure .... téléphone ? électricité, mais pas trop gênant.","7,0",Hôtel,Lyon," 7,7 "
Dominique,France,0,2020-02-21,Bien,Tres bien,None,"8,0",Hôtel,Lyon," 7,7 "
Jean-pierre,France,0,2020-02-21,Bien situé et personnels agréables,Très bonne literie. Beaucoup de choix petit déjeuner. Bien situé,Douche au lieu de baignoire et moquette à changer,"8,0",Hôtel,Lyon," 7,7 "
Laurent,France,0,2020-02-20,Bien ,Le calme de la chambre,L’environnement proche de l’hôtel et l’accueil un peu bruyant.,"7,0",Hôtel,Lyon," 7,7 "
Sophie,France,0,2020-02-19,Bien ,"Emplacement super 
Qualité de la literie","Sèche cheveux ne fonctionnait pas 
Manque une prise dans la Sdb","7,5",Hôtel,Lyon," 7,7 "
Christophe,France,0,2020-02-18,Très satisfaits,La propreté de l'hotel sa situation géographique et le buffet du petit déjeuné,Le parking pour la voiture est hors de prix obligé de se garrer au parking souterrain public avec un tarif pour le week-end à près de70 €,"8,0",Hôtel,Lyon," 7,7 "
Claire-lise,Suisse,0,2020-02-18,Très bien,"la proximité de Lyon centre, le personnel attentif la literie qui malgré le prix plutôt bas est très bonne",rien,"8,0",Hôtel,Lyon," 7,7 "
Sylvie,France,0,2020-02-18,très bien,"la situation géographique, la propreté et la fonctionnalité.","l'espace salon, attente n'est pas suffisamment grand.
Il est vite plein.","9,0",Hôtel,Lyon," 7,7 "
