nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Nadera,France,1,2018-07-29,Exceptionnel,personnel super sympa très propre.,None,10,Appart'hôtel,Marseille," 7,1 "
Thierry,France,0,2020-05-27,Agréable,Son emplacement et l’accueil des équipes,Le manque de respect de quelques résidents trop bruyants,"6,0",Appart'hôtel,Marseille," 7,1 "
Joel,France,0,2020-05-18,Bien ,Etablissement bien situé - équipement correct,la chambre sentait le tabac,"7,0",Appart'hôtel,Marseille," 7,1 "
Michel,France,0,2020-05-18,Bien. Globalement au détail près.,Disponibilité d'accès au sortir du confinement,Propreté du sol un peu insuffisante. Matériel de cuisine et table au stict minimum,"8,0",Appart'hôtel,Marseille," 7,1 "
Elie,France,0,2020-05-16,Bien ,"L'emplacement, proximité centre-ville, plages et autoroute","Travaux en cours, parking non inclus dans le prix","7,0",Appart'hôtel,Marseille," 7,1 "
Petry,France,0,2020-05-13,Bien ,Grandeur de l appartement et propreté,Aucune isolation phonique des fenêtres. On entend toute la rue,"7,0",Appart'hôtel,Marseille," 7,1 "
Djeddou,France,0,2020-05-11,Agréable,None,Pas de parking le calme,"6,0",Appart'hôtel,Marseille," 7,1 "
Saw,France,0,2020-04-24,Agréable,"Le reste est bien, le lit confortable cuisine fonctionnelle, literie confortable et chambre propre.",La personne qui nous accueillie m'as mal parlé. Elle a levé les yeux au ciel et souffle alors que j'étais en déplacement pour un décès. La date du décès et ma date de séjour étaient trop éloignées selon elle. Je suis une cliente régulière mais soyez sûr que je reviendrai plus.,"6,0",Appart'hôtel,Marseille," 7,1 "
Khaled,France,0,2020-04-22,Très bien,Personnelles avenant et souriant,None,"8,0",Appart'hôtel,Marseille," 7,1 "
Helene,France,0,2020-04-07,Très bien,"L'accueil, la gentillesse et la disponibilité de l'agent d'accueil.",Il serait intéressant de penser à négocier les prix avec le parking souterrain. Une plus value pour le Residhotel.,"8,0",Appart'hôtel,Marseille," 7,1 "
Françoise,France,0,2020-04-04,Très bien,"Accueil sympathique, bien situé à proximité de métro et commerce , très bon rapport qualité prix.",None,"8,0",Appart'hôtel,Marseille," 7,1 "
Fabienne,France,0,2020-04-04,Bien,Bien place propre bien équipé,None,"7,0",Appart'hôtel,Marseille," 7,1 "
Khalid,Maroc,0,2020-03-13,Agréable,Très bon rapport qualité/prix,None,"6,0",Appart'hôtel,Marseille," 7,1 "
Geneviève,Belgique,0,2020-03-12,Logement fonctionnel et agréable permettant une chouette découverte de la ville,"Proximité avec la station de métro Perier qui permet un accès facile aux points principaux de la ville.
Belle réactivité du personnel durant la période de rénovation de la réception et de l'espace petit-déjeuner. Ils ont tout mis en place pour que nous ne subissions pas d'inconvénient. les ouvriers ont travaillé très vite et bien.
Petit déjeuner agréable et diversifié. Chouette formule la kitchinette.
Sympa le petit marché quotidien sur le boulevard, petit supermarché ouvert tard le soir.","Un peu de bruit au 6ème étage (visiblement travaux de rénovation d'autres chambres assez proches). 
Balcon agréable et fonctionnel mais peu exploitable en semaine car donnant sur la rue bruyante et sur les bureaux en face.
Restaurants et snacks à proximité fermés en soirée dans ce quartier de bureau","8,0",Appart'hôtel,Marseille," 7,1 "
Christophe,France,0,2020-03-07,Très bien,None,"Il n'y avait pas d'Alès sur les lits, et le parking de la ville assez cher","8,0",Appart'hôtel,Marseille," 7,1 "
Caroline,France,0,2020-03-07,Très bien pour une famille de 6 pour un court séjour,"L'agencement de l'appartement, la salle de bain, la déco sobre mais de bon goût, le lit de la chambre grand et confortable. Bien située, Station de métro très proche","La propreté, présence de poussière dans chambre, ça sentait beaucoup le tabac à notre arrivée","7,0",Appart'hôtel,Marseille," 7,1 "
Lyly,France,0,2020-03-05,Bon séjour mais assez cher pour ce que c’est...,"Parking sous terrain (en période creuse, ne pas prendre l’abonnement payant car des places gratuites sont dispo dans là parking, j’ai payé 54€ de parking payant et je ne m’en suis pas servis...)","Hôtel en travaux , nous n’avons pas été prévenu à l’avance c’est dommage... lits très bruyant mais assez confortable malgré tout, ne vaux quand même pas 102€ la nuit...","6,7",Appart'hôtel,Marseille," 7,1 "
Hicham,France,0,2020-03-04,Bien ,Emplacement,Bruit,"7,0",Appart'hôtel,Marseille," 7,1 "
Edwige,France,0,2020-03-01,Mitigé,Chambre propre et agréable avec terrasse.. Literie confortable.,Équipements salle de bain et kitchenette sommaires. Mobilier et matériaux vieillissants.,"6,0",Appart'hôtel,Marseille," 7,1 "
Karine,France,0,2020-02-24,Bien ,None,Parking payant assez cher,"7,0",Appart'hôtel,Marseille," 7,1 "
Sébastien,France,0,2020-02-23,Placement idéal dans Marseille,Accueil emplacement literie,Peut être la chaleur dans l'appart. (Trop chaud c'est rare),"8,0",Appart'hôtel,Marseille," 7,1 "
Abdou,France,0,2020-02-19,Agréable,Rien du tout,L'espace de l'hôtel,"6,2",Appart'hôtel,Marseille," 7,1 "
Edouard,France,0,2020-02-17,Bine,Emplacement et insonorisation,Pas de parking gratuit,"8,0",Appart'hôtel,Marseille," 7,1 "
Condé,France,0,2020-02-12,Agréable,Chambre réservée à la dernière minutes mais rapidement prête et sans souci.,J’ai oublié mes boucles d’oreilles sur la table de chevet le matin. J’ai appelé en vain pour pouvoir les récupérer mais personne n’a jamais décroché. C’est dommage...,"6,0",Appart'hôtel,Marseille," 7,1 "
Jacques,France,0,2020-02-09,emplacement idéal! équipement conforme au descriptif! personnel très agréable!,"l'emplacement est excellent : près de la station de métro, des commerces et services.
Le balcon et l'équipement de la chambre : super!","peut-être le fait que nous n'ayons pas été informés des gros travaux du rez de chaussée : on coulait le béton le jour de notre arrivée là où il y aura la réception dans 2 mois!
un SMS ou un mel auraient pu être envoyés par la direction 48h avant notre arrivée!","7,0",Appart'hôtel,Marseille," 7,1 "
Nora,France,0,2020-02-09,Agréable,"Chambre spacieuse ainsi que la terrasse
Personnel sympathique","Hôtel en travaux, évier de salle de bain bouché, abattant toilette cassé, bouilloire qui ne fonctionne pas, couette tachée, la cafetière les dosettes du commerce ne fonctionne pas","6,0",Appart'hôtel,Marseille," 7,1 "
Pierre,France,0,2020-02-08,Très bon séjour et excellent rapport qualité prix.,"Calme, propre, bien situé",None,"8,0",Appart'hôtel,Marseille," 7,1 "
Matthieu,France,0,2020-02-06,Très bien,"Chambre/studio confortable, propre, accueil sympathique, bien équipé !","Malheureusement la chambre proche de l'ascenseur était bruyante, l'on entend le bruit de ce dernier continuellement.","8,0",Appart'hôtel,Marseille," 7,1 "
Nathalie,Italie,0,2020-02-02,Très bien,None,Mauvaise insonorisation.,"8,0",Appart'hôtel,Marseille," 7,1 "
Voegtling,France,0,2020-01-30,Très bon rapport qualité prix,"Proximité métro
Petit déjeuner
Amabilité du personnel",None,"8,0",Appart'hôtel,Marseille," 7,1 "
Laly,France,0,2020-01-28,passé votre chemin !,"le personnel est très sympa , surtout le Mr du petit déjeuner, et le jeune homme en bas a l’accueille. 
très bien situé , facile a trouver.","les chambres ne sont pas bien nettoyées , le pire est la salle de bain (poils et cheveux sur les murs de la baignoire), la baignoire est trop petit ( je me demande comment font les personnes de forte corpulence), le meuble de la salle de bain tout abîmé , des taches sur les murs . il n'y a qu'une seul serviette ( petite ) par personnes, (hors dans tout les autres hôtels il y a toujours une grande et une petite) on ne peut donc pas se laver les cheveux et prendre une douche en même temps. Cette établissement ne mérite pas ses 3 étoiles. il vous vende une magnifique chambre en photo (sur le site booking) et quand vous arrivez c'est la douche froide. 
Faire payer 71.50€ la nuit pour une chambre pareil, c'est une honte ! 
Sans parler des ""plats préparés"" proposés a l'accueille dans une vitrine, enlever les ils ont l'aire moisies et ça ne fait pas vendeur du tout !
je pense que cette hôtel a besoin d'un bon rafraîchissement. Et surtout d'une personne qui le gère mieux que ça !","6,0",Appart'hôtel,Marseille," 7,1 "
Marina,France,0,2020-01-23,Bien mais peut mieux faire,"Ont avait demandé un balcon ont l'a eu.
Très calme.","L'entrée en travaux pas signalé.
La machine à café dans la chambre personne ne nous a dit qu'il fallait acheter les capsules à la réception.
Il y avait un cheveux dans les wc, une épingle à cheveux dans la chambre.
Pour un 3 étoiles le parquet des chambres et a revoir car il est tous décalé.","8,0",Appart'hôtel,Marseille," 7,1 "
Annie,France,1,2020-01-20,Globalement satisfaisant,Logement confortable. Personnel sympathique et à l'écoute. Proximité des transports en commun et des magasins.,"Les travaux au rez de chaussée, aussi nécessaires soient-ils, sont perturbants et ce serait bien de prévenir les clients avant leur arrivée","7,0",Appart'hôtel,Marseille," 7,1 "
Carole,France,0,2020-01-19,Bien ,"Appartement confortable et cuisine bien équipée. Bon emplacement, proche des métros et des magasins. Un accueil courtois, et aidant.","Le parking n'est pas compris dans le prix. Il est sécurisé, et se trouve juste sous l'hôtel, mais c'est cher.","7,0",Appart'hôtel,Marseille," 7,1 "
Catanzano,France,0,2020-01-19,Très bien,None,Pas de parking d et l hôtel uniquement payant,"8,0",Appart'hôtel,Marseille," 7,1 "
Alex,Guyane française,0,2020-01-10,Bien ,None,"la rigidité du personnel.
Très professionnel mais pas assez souriant.","7,0",Appart'hôtel,Marseille," 7,1 "
Abdelouahab,France,0,2020-01-08,Très bonne solution de voyage car on bénéficie du confort d'un hôtel avec celui de la location.,"propre et fonctionnel. La literie très confortable. Le frigo, le micro onde et la vaisselle un plus. Les cartes pour entrer et prendre l'ascenseur : très sécurisant. Le top : le petit déjeuner : beaucoup de choix et pour le prix, c'est excellent, tout le monde était ravis. On reprendra ce type de location.",Trop chaud dans les chambres. Très bruyant tard le soir (près de l'ascenseur) mais ce n'est pas la faute de l'hôtel.,"8,0",Appart'hôtel,Marseille," 7,1 "
Alain,France,0,2020-01-07,Très bien,"Bon emplacement dans Marseille
parking payant avec accès direct presque depuis l'hôtel
3 zones de couchage indépendantes idéal pour famille.",None,"8,0",Appart'hôtel,Marseille," 7,1 "
Constance,France,0,2020-01-04,Bien équipé mais bruyant,La propreté du logement,Le manque d'insonorisation +++,"6,0",Appart'hôtel,Marseille," 7,1 "
Abdennebi,France,0,2020-01-02,Bien ,Mais à part ce que je vais citer en bas tout était bien,"Les vieilles serviettes de bain. 
Il n'yavait pas assez de couverts","7,0",Appart'hôtel,Marseille," 7,1 "
Mohamed,Belgique,0,2020-01-02,Bonne localisation,"- le parking à proximité 
- la terrasse
- la kitchenette avec les équipements 
- la propreté","- le bruit de la tuyauterie d’eau lorsque le voisin ouvre son robinet 
- la porte d’entrée en bois de la chambre n’était pas rassurante , on dirait que quelqun avait essayé auparavant de la forcer.
- il faudrait mettre des avertissements d’interdiction de fumer dans les couloirs , c’est dommage de voir des mégots écrasés sur les tapis.","7,9",Appart'hôtel,Marseille," 7,1 "
Andrea,France,0,2019-12-22,Bien,La terrasse,"La chaleur, obligé de dormir la fenêtre ouverte. Impossibilité de régler le chauffage, il paraissait pourtant éteint.","7,0",Appart'hôtel,Marseille," 7,1 "
Stephane,France,0,2019-12-18,Très bien,"emplacement très bien, hôtel bien",le parking payant et trop chers (30€ la nuit),"8,0",Appart'hôtel,Marseille," 7,1 "
Nabil,France,0,2019-12-16,Très bien,Très bon accueil je recommande,None,"8,0",Appart'hôtel,Marseille," 7,1 "
Corinne,France,0,2019-11-25,Agréable,Proximité de notre lieu de rdv,Mal isolé bruit de la route,"6,0",Appart'hôtel,Marseille," 7,1 "
Jean-luc,France,0,2019-11-18,Très bien,Beau volume et bien équipé. Petite terrasse. Très bon petit déjeuner,La rue est passante mais fenêtres fermés ç'est plutôt bien insonorisé,"7,9",Appart'hôtel,Marseille," 7,1 "
Jaoued,France,0,2019-11-11,Idéale,"La situation géographique est idéale pour visiter Marseille avec les transports en commun
Proche de l orange vélodrome.",Pas de parking compliqué de se garer,"7,5",Appart'hôtel,Marseille," 7,1 "
Léna,France,0,2019-11-11,Agréable,La situation géographique,La propreté de la salle de bain ainsi que du sol de l’appartement était négligé. Voir juste aspirer et non laver,"6,7",Appart'hôtel,Marseille," 7,1 "
Christophe,France,1,2019-11-11,Avis krisprolls,"Son emplacement 
Superficie de la chambre","L’accueil du personnel (pas aimable voir dédaigneux
État général vieillissant 
Mauvais fonctionnement de la télévision","5,8",Appart'hôtel,Marseille," 7,1 "
