nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Monique,Belgique,1,2019-09-08 00:00:00,A conseiller,"Villa spacieuse, propre
Bonne literie","Manque un sèche cheveux
Et peut-être quelques fruits frais au petit déjeuner",10,Appart'hôtel,Nantes," 8,0 "
Jean,France,0,2020-05-29 00:00:00,très bien,"conforme à la description, parking sécurisé, studio correctement équipé, dommage qu'il n'y ait pas la clim, mais c'est précisé dans le descriptif","la clim serait un ""plus"" appréciable","9,0",Appart'hôtel,Nantes," 8,0 "
David,France,0,2020-05-28 00:00:00,Séjour professionnel,"Le confort, la terrasse et l’accueil...",La propreté de la cuisine et du sol...,"8,0",Appart'hôtel,Nantes," 8,0 "
Yoann,France,0,2020-05-24 00:00:00,Fabuleux ,Spacieux,Le rideaux de douche un peu vieux.,"9,0",Appart'hôtel,Nantes," 8,0 "
Kamel,France,0,2020-03-20 00:00:00,excellent,BON EMPLACEMENT,RAS,"9,0",Appart'hôtel,Nantes," 8,0 "
Cedrik,France,0,2020-03-14 00:00:00,agreable pour un court sejour,"Le logement était très bien, les pièces sont spacieuses et bien disposées.
Niveau équipements tout était parfait.
Bien situé.",RAS,"8,0",Appart'hôtel,Nantes," 8,0 "
Anthony8533,France,0,2020-03-14 00:00:00,Établissement très agréable,"Maison entièrement équipée et propre, tarif, piscine. Vraiment au top",None,"9,0",Appart'hôtel,Nantes," 8,0 "
Gino87,France,0,2020-03-11 00:00:00,Très bien,Très bonne résidence et surtout l accueil,Le radiateur ne fonctionnait pas !,"8,0",Appart'hôtel,Nantes," 8,0 "
Placide,France,0,2020-03-10 00:00:00,Impeccable,Super agréable cadre je vous le recommande,Le calme et la proprete,"7,0",Appart'hôtel,Nantes," 8,0 "
Isabelle,France,0,2020-03-08 00:00:00,Fabuleux ,L'accueil très chaleureux et professionnel L'emplacement de la résidence (très facile d'accès)Le calme La taille de l'appartement Le parking,Le ménage n'est pas fait correctement surtout dans la cuisine Pas assez de pression dans la salle de bain,"9,0",Appart'hôtel,Nantes," 8,0 "
Rahmani,France,0,2020-03-06 00:00:00,Très bien,la disposition des appartements,"les portes de la chambre à coucher, du couloir et des WC se télescopent.","8,0",Appart'hôtel,Nantes," 8,0 "
Coutault,France,0,2020-03-05 00:00:00,Presque parfait,"Tres propre
 comfortable 
spacieux 
Je recommande les yeux fermer","Il manque des couvertures et oreillers pour la personne qui dort sur le clic clac 
Et il manque des miroirs dans les chambre","9,0",Appart'hôtel,Nantes," 8,0 "
Yoann,France,0,2020-03-01 00:00:00,Très bien,"Appartement propre et spacieux, très bien équipé au niveau de la cuisine . Emplacement calme .",None,"8,0",Appart'hôtel,Nantes," 8,0 "
Hebibb,France,0,2020-02-27 00:00:00,Fabuleux ,Accueil cadre calme,A notre goût la literie était excessivement dure,"9,0",Appart'hôtel,Nantes," 8,0 "
Arnaud,France,0,2020-02-26 00:00:00,Fabuleux ,Le calme et les alentours du site.,None,"9,0",Appart'hôtel,Nantes," 8,0 "
Thierry,France,0,2020-02-24 00:00:00,nous reviendrons,"propreté, emplacement, calme et prix.",juste un peu de chauffage dans la chambre aurait rendu le séjour parfait......,"7,0",Appart'hôtel,Nantes," 8,0 "
Sébastien,France,0,2020-02-23 00:00:00,"tres bon hotel, facilité d acces de parking de commodites alentour. impeccable",maison vaste / cuisine fonctionnelle,wifi impossible à parametrer sur tablette / discfonctionnement lié à la fibre selon accueuil,"8,0",Appart'hôtel,Nantes," 8,0 "
Daniel,France,0,2020-02-19 00:00:00,trés pratique d'avoir un petit appartement pour faire sa cuisine et se sentir chez soi,"tout correspond, deja plusieurs fois reservé , pas de souci",Rien de spécial,"9,0",Appart'hôtel,Nantes," 8,0 "
Beatrice,France,0,2020-02-18 00:00:00,Très bien,equipement propreté calme,problème d'eau chaude le ballon est très long à se remplir,"8,0",Appart'hôtel,Nantes," 8,0 "
Sokhom,France,0,2020-02-18 00:00:00,Parfait !!!,"Calme, sécurisé, proche des commerces.
Appartement très spacieux et bien agencé. Bien insonorisé. 
Kitchenette très bien équipée (il y a tout sauf le grille pain)","Petit déjeuner cher (9€ par pers) et peu de choix malgré le côté continental.
Pas de changement de draps malgré plusieurs nuits de séjour.
Dommage qu'il n'y a pas de service restauration à côté.","8,0",Appart'hôtel,Nantes," 8,0 "
Denis,France,0,2020-02-17 00:00:00,un séjour de 3 nuits qui pourrait tout à fait se reconduire ultérieurement,"emplacement tout à fait correct
logement en rez de chaussée
emplacement voiture en face du logement
calme et tranquilité","la fourniture d'équipement de cuisine un peu juste et mal calibré: exemple une toute petite poële
un micro-ondes quelque peu défectueux
un équipement de cuisine lavé mais pas de manière très correcte qui a nécessité un nettoyage avant utilisation","8,0",Appart'hôtel,Nantes," 8,0 "
Isabelle,France,0,2020-02-16 00:00:00,Bien ,"ACCUEIL 
Rapport qualité/ prix","Wifi ko
Tv Ko","7,0",Appart'hôtel,Nantes," 8,0 "
Lionel,France,0,2020-02-16 00:00:00,Fabuleux ,None,La télé ne fonctionnait pas.,"9,0",Appart'hôtel,Nantes," 8,0 "
Jean-paul,France,0,2020-02-12 00:00:00,Appartement très bien,"L'espace de l'appartement et le rapport qualité prix. 
Accueil très agréable. 
Petit déjeuner continental copieux. 
Emplacement calme.
Parking gratuit et fermé.",None,"8,0",Appart'hôtel,Nantes," 8,0 "
Dominique,France,0,2020-02-03 00:00:00,Très bien,"La propreté, le calme, les équipements",Stationnement un peu anarchique de certains véhicules,"8,0",Appart'hôtel,Nantes," 8,0 "
Rideau,France,0,2020-02-03 00:00:00,Fabuleux ,Bon séjour calme logement avec de l espace propre de Nantes la beaujoir à refaire,None,"9,2",Appart'hôtel,Nantes," 8,0 "
Salah,France,0,2020-01-31 00:00:00,Très bien,None,Isolation nul pas d intimité le moindre de mouvement des voisins je l entend j ai pas dormi la nuit .petit déjeuner trop cher pour ce qu il y avais .l accueil pas chaleureux....,"8,3",Appart'hôtel,Nantes," 8,0 "
Eric,France,0,2020-01-30 00:00:00,Très bon séjour,"Très bon accueil, déjeuner complet (manque éventuellement les fruits frais).",None,"9,0",Appart'hôtel,Nantes," 8,0 "
