nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Patricia,Suisse,1,2018-07-11 00:00:00,Le rêve d'un week-end,"L'accueil et la gentillesse du personnel.
Les bons conseils des concierges.
Chambre avec vue mer, trop bien....
Hôtel en face de la plage, superbe séjour, bien trop court.",Un peu déçu de n'avoir pas eu de fruits de saison au petit déjeuner.,10,Hôtel,Nice," 8,0 "
Jean-marc,France,0,2020-03-14 00:00:00,Excellent séjour,"La gentillesse, le professionnalisme et la disponibilité de l'ensemble du personnel.
La qualité de la chambre avec balcon et vue sur mer.
Le restaurant en Roof Top.
Une attention toute particulière, à l'occasion de notre anniversaire de mariage, nous a été réservée. Un grand merci au manager général.",Rien,"9,0",Hôtel,Nice," 8,0 "
Stéphanie,France,0,2020-03-11 00:00:00,séjour sympathique,"chambre avec vue sur la mer et terrasse pour prendre un petit déjeuner très agréable, literie confortable",None,"9,0",Hôtel,Nice," 8,0 "
Frederic,France,0,2020-03-10 00:00:00,Fabuleux ,La vue,None,"9,0",Hôtel,Nice," 8,0 "
Alexandra,France,0,2020-03-07 00:00:00,Emplacement ideal et personnel au petit soin,La chambre était vaste et très bien meublé. La salle de bain également. L’hôtel donne sur la promenade des anglais idéal pour se mettre en appétit pour l’énorme petit déjeuner proposé avec un personnel au petit soin.,Une partie de l’hôtel est encore en travaux ce qui peut occasionner des bruits. Le parking de l’hôtel est payant ce qui n’était pas indiqué dans les critères de booking.,"9,0",Hôtel,Nice," 8,0 "
Cyril,France,0,2020-03-06 00:00:00,Fabuleux ,"La vue imprenable sur la mer.
Les chambres modernes.","La façade de l'établissement n'ai pas au standing de l'intérieur.
Il manque juste un jacuzzi.","9,0",Hôtel,Nice," 8,0 "
Leila,France,0,2020-03-03 00:00:00,Très bon séjour en amoureux !,"Personnel très agréable, chambre confortable ! un grand bonus pour le lit ! L'hôtel est bien situé et le petit déjeuner très bon et copieux !",Le bruit de l'extérieur..,"7,0",Hôtel,Nice," 8,0 "
Visie,France,0,2020-02-29 00:00:00,sympa,None,il n y avait ni peignoir ni chaussons ! pour une chambre avec balcon c est dommage !,"8,0",Hôtel,Nice," 8,0 "
Riad,France,0,2020-02-28 00:00:00,Bien ,L’emplacement,Équipement SB insuffisant pour 2 personnes,"7,9",Hôtel,Nice," 8,0 "
Valerie,France,0,2020-02-26 00:00:00,Fabuleux ,Le service,L’éloignement,"9,2",Hôtel,Nice," 8,0 "
