nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Jean,France,1,2018-07-30,Exceptionnel,"Accueil, lit confortable, choix au petit déjeuner",None,10,Hôtel,Paris," 8,0 "
Fabienne,France,0,2020-03-17,Très bien,"Très bonne localisation 
Personnel très agréable",Chambre très bruyante,"8,0",Hôtel,Paris," 8,0 "
Katarzyna,France,0,2020-03-15,Très agréable,Accueil très chaleureux et très pro. Très bien situé. Proche de la Gare Montparnasse. Moins de 10mn à pied. Je recommande.,"La chambre côté rue un peu de bruit. Le cadre sympathique, proche des restaurants et magasins.","9,0",Hôtel,Paris," 8,0 "
Guy,France,0,2020-03-13,bon séjour nous reviendrons,chambre très petite,calme pour Paris,"7,0",Hôtel,Paris," 8,0 "
Audrey,France,0,2020-03-12,Fabuleux ,None,Services très bien et très bien situé,"9,0",Hôtel,Paris," 8,0 "
Fatoumata,France,0,2020-03-12,Très bien,J’ai beaucoup aimé belle découverte,None,"8,0",Hôtel,Paris," 8,0 "
Hervé,France,0,2020-03-11,Hotel correspondant à mon attente en dehors du wifi,"Chambre propre et confortable, accueil parfait, petit déjeuné complet, copieux .",l'accès WIFI,"9,0",Hôtel,Paris," 8,0 "
Anthony86000,France,0,2020-03-11,Bien mais perfectionnable,"Hôtel proche de la Gare Montparnasse. 
Grande partie du personnel très professionnel. Je tiens à remercier le réceptionniste qui a tout mis en oeuvre pour que ma chambre soit prête plus tôt. 
Chambre confortable.","Petit déjeuné décevant. 
Personnel s'occupant du petit déjeuné constamment sur son portable et qui regarde des vidéos avec le volume maximum alors qu'on voudrait être au calme quand on déjeune.","7,0",Hôtel,Paris," 8,0 "
Pascal,France,0,2020-03-09,Bien ,None,Chambre spacieuse. Petit déjeuner copieux. Bon rapport qualité/prix,"7,0",Hôtel,Paris," 8,0 "
Fr11,Finlande,0,2020-03-06,Bon rapport qualité-prix pour 1 nuit à Paris,Bon rapport qualité-prix et bonne localisation (quartier et transport). Très bien lorsqu'il s'agit d'un court weekend sans volonté de rester à l'hôtel mis à part pour dormir. Les réceptionnistes étaient très sympathiques.,None,"7,0",Hôtel,Paris," 8,0 "
Anne,France,0,2020-03-06,Très bien,"Très bon emplacement
chambre toujours propre et agréable",rien,"8,0",Hôtel,Paris," 8,0 "
Juliette,France,0,2020-03-06,Très bien,"Un très bon accueil, comme d’habitude",None,"8,0",Hôtel,Paris," 8,0 "
Brigitte,France,0,2020-03-03,Très bien,"Chambre agréable, la bouilloire et sachets de thé, le quartier calme, la crêperie en face de l’hôtel.",None,"8,0",Hôtel,Paris," 8,0 "
Milous,France,0,2020-03-03,Fabuleux ,La proximité au métro et la gare Montparnasse,Il manquait juste le plateau avec le thé... mais la dame à l’acceuil très très gentille nous à offert le petit déjeuner en compensation,"9,2",Hôtel,Paris," 8,0 "
Regis,France,0,2020-03-01,Très bien,"Confort, vaste chambre
Désign
Accueil du matin","Une seule chaîne de television disponible
Personnel du soir peu accueillant","8,0",Hôtel,Paris," 8,0 "
Jacqueline,France,0,2020-03-01,Très bien,"Bon rapport qualité prix
Personnel accueillant et disponible",None,"8,0",Hôtel,Paris," 8,0 "
Sylvie,France,0,2020-02-28,Très bien,Proche du métro,Peu de chauffage,"8,3",Hôtel,Paris," 8,0 "
