nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Bernard,France,0,2020-05-28,Situation géographique ok parking à proximité mais très cher!!! 27€ de 19 h 00 à 7 h00 du matin !!!j,Insonorisation :0,Juste ça !!!,"3,0",Hôtel,Toulouse," 7,4 "
Leo,Royaume-Uni,0,2020-05-17,Peut mieux faire,Bon emplacement et bon accueil,"Séjour de 4 nuitées, femme de ménage n'est même pas passé pour vider les poubelles.
Établissement à besoin d'un bon rafraîchissement","3,0",Hôtel,Toulouse," 7,4 "
Stéphanie,France,0,2020-04-29,Passable,L’emplacement,Nous avons été relogé dans cet établissement alors que j’avais réservé dans l’autre ours blanc,"5,0",Hôtel,Toulouse," 7,4 "
Maeva,France,0,2020-03-05,Idéal emplacement mais à rénover,"Emplacement proche métros, centre ville, gare idéal pour sortir et visiter.
La personne de nuit du 3-4 mars vraiment très accueillante et serviable. Merci d avoir rendu ce séjour plus agréable 
Joli hall d entrée.
Literie confortable. Nécessaire de douche disponible ainsi que sèche cheveux (basique et vieux mais efficace). Drap et serviette propre.","Passé le hall d entrée l hôtel est vieillissant. Moquette dans les couloirs et chambre tachée. Il faisait froid dans la chambre en arrivant à 20h, vieux chauffage électrique à allumer. Dessus de lit taché. Ameublement basique, et vieillissant. Cet Ours Blanc (parmi les 3) est à côté des Halles et donc réveil très matinal avec les bips des camions. Même avec le prix booking seul l emplacement peut éventuellement le justifier.","5,0",Hôtel,Toulouse," 7,4 "
Valerie,France,0,2020-03-01,Passable,"Le personnel était très souriant, réactif et très agréable.","Il faisait très froid dans la chambre, impossible de régler la climatisation. La chambre n'était absolument pas pratique à son entrée.La chambre avait besoin dun bon rafraîchissement.","5,0",Hôtel,Toulouse," 7,4 "
Bruno,France,0,2020-02-16,Nullos - Bon pour un dépannage.,Lieux proche de Victor Hugo que je connais bien,"Chambre minuscule, 1 seul oreiller par personne, mou comme s’il avait 30 ans.
Deco digne d’un camp de colonie de vacances.
Lit suffisant mais petit. 
Pas de bouteille d’eau mis à disposition.
Salle d’eau indigente : moisissure dans le bac de douche, peinture écaillée au plafond, taille minuscule.
Ménage dans les couloirs vers 9h, compliqué pour dormir. Bruits extérieurs très mal contenus par le vitrage.
Un ibis budget fait 10 fois mieux dans tous les secteurs.","3,0",Hôtel,Toulouse," 7,4 "
Alexandre,France,0,2020-02-09,"Manque de propreté dommage, personnel accueillant",Situé au pied du marché dans l'extra centre rien a redire sur l'emplacement,"La salle de bain pas totalement propre et des serviettes tachées dommage.
Le simple vitrage est léger compte tenu de la proximité du marché.","5,0",Hôtel,Toulouse," 7,4 "
Gérard,France,0,2020-02-03,Décevant,"la couverture supplémentaire dans le placard était d une place alors que c était un lit deux places. La chambre n était pas agréable et ressemblait plutôt à un placard.
MAis personnel très agréable qui nous a fait une réduction au vu des inconvénients.
Nous reviendrons car l erreur est humaine.",None,"4,0",Hôtel,Toulouse," 7,4 "
Jean-paul,France,0,2020-02-02,Assez médiocre ,Compréhension et professionalisme de l'accueil.. mais ne rattrape pas la mauvaise nuit que nous avons passée.,"Chambre située côté rue avec 2 brasseries sous les fenêtres insuffisamment insonorisées. Impossible de dormir jusqu'à 3h00 du matin. Plus le bruit du matin, les poubelles, le marché d'en face qui se met en place.. bref une nuit sans sommeil 🙁. Il faut quand même noter la proposition de l'hôtesse d'accueil de nous offrir le petit déjeuner pour compenser.","3,0",Hôtel,Toulouse," 7,4 "
Florence,France,0,2020-02-01,"étant restées 1 seule nuit , passable",Le petit déjeuner était correcte et la plage horaire très satisfaisante jusqu'à 11h,"L'accueil, an arrivant, le réceptionniste était au fond de l'hôtel et n'a pas pris la peine de stopper sa communication téléphonique privée pour nous accueillir
La salle de bain et la moquette au sol étaient très ""vieillottes"" et les finitions de mauvaises qualité","5,0",Hôtel,Toulouse," 7,4 "
