nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Danielle,Canada,1,2019-07-30,Exceptionnel,"L'emplacement est fantastique avec vue sur la rivière ou la Baie. Belle terrasse ou l'on peut prendre le temps de relaxer, de prendre un apéro. La propriétaire est très gentille. Malgré la distance de nos langues, nous avons réussi a discuter. Pour ce qui est du déjeuner, l'omelette était trop cuite mais bon c'était acceptable quand même. La chambre était parfaite.",L'attente du petit déjeuner. Il n'y a avait pas de place pour nous 2 car tous les visiteurs avaient déja pris place et nous avons dû attendre près de 45 minutes pour avoir notre place. Nous avions prévu 8 h 00 AM pour pouvoir partir plus tôt.,10,B&B / Chambre d'hôtes,North Sydney," 9,4 "
Christian,France,0,2019-10-02,Très bien pour les personnes qui SUPPORTENT LE BRUIT.,"L'ambiance chaleureuse et cosy de la maison, des chambres. L'accueill parfait de la maïtresse de maison, les petits déjeuners copieux et variés.","La maison est situé sur une route qui conduit à l'embarquement du ferry. Il y a donc beaucoup de bruit venant de la route toute la journée et jusqu'à 1h du matin certains soirs, ce qui est très gênant pour les personnes qui aiment dormir dans le calme. 
C'est le gros défaut de cet hébergement.","8,0",B&B / Chambre d'hôtes,North Sydney," 9,4 "
Carmen,Canada,0,2019-08-30,Fabuleux ,"Très belle maison située sur l’eau , gentillesse de l
hôtesse et ses informations, excellent déjeuner.",J’aurais aimé rester plus longtemps,"9,2",B&B / Chambre d'hôtes,North Sydney," 9,4 "
Alain,Canada,0,2019-08-21,Un endroit de rêve et de paix.,Magnifique emplacement. Excellent déjeuner. Les chambres très propres et confortables. La propriétaire est chaleureuse et très sympathique.,None,10,B&B / Chambre d'hôtes,North Sydney," 9,4 "
Laurent,France,0,2019-08-12,Fabuleux ,excellent petit déjeuner et accueil parfait !,chambre un peu bruyante car donnant sur la rue,"9,2",B&B / Chambre d'hôtes,North Sydney," 9,4 "
Jerome,Suisse,0,2018-07-24,Très belle vue et joli jardin,"Hôte très chaleureuse, chambre spacieuse et confortable. Situation agréable proche du centre, très beau jardin les pieds dans l'eau, parking gratuit à disposition. Très bon petit déjeuner, copieux et fait maison.","Chambre mal insonorisée, très petite salle de bains à la propreté moyenne.","7,5",B&B / Chambre d'hôtes,North Sydney," 9,4 "
Sophie,Canada,0,2019-06-03,Exceptionnel,Ce client n'a pas laissé de commentaire.,None,10,B&B / Chambre d'hôtes,North Sydney," 9,4 "
Michel,Canada,0,2018-08-13,Exceptionnel,Ce client n'a pas laissé de commentaire.,None,10,B&B / Chambre d'hôtes,North Sydney," 9,4 "
Lynetremblay01,Canada,0,2018-06-15,Exceptionnel,Ce client n'a pas laissé de commentaire.,None,10,B&B / Chambre d'hôtes,North Sydney," 9,4 "
Paul,Canada,0,2019-09-03,Agréable,Ce client n'a pas laissé de commentaire.,None,"6,2",B&B / Chambre d'hôtes,North Sydney," 9,4 "
Yves,Canada,1,2018-09-10,Meilleures accueille,"Tous , l'accueil chaleureux et vous êtes a coté de tous les autoroutes et les sites touristiques",None,10,Village vacances,Big Bras d'Or," 8,1 "
Ginette,Canada,0,2019-08-20,Bien ,Le lit était confortable,None,"7,9",Village vacances,Big Bras d'Or," 8,1 "
Eric,France,0,2018-09-12,Super camping/cottage si vous n'avez pas d'horribles voisins!,"Le lieu incroyable ! Avec vue sur le Bras d'Or. Super aussi pour observer les étoiles si le ciel est dégagé. Il y a aussi des activités en mer proposées sur place.
Le cottage mignon.
La possibilité de se baigner à proximité (au lac ou à Groves Point - 15 minutes)","Notre cottage était divisé en 2, et l'insonorisation est inexistante. Si vous avez la malchance d'avoir des voisins irrespectueux, vous passerez une bien mauvaise nuit (comme nous...).
Le wifi est presque inutilisable/inexistant, mais c'est pardonnable vu l'emplacement isolé. On ne va pas là pour être connecté!","9,2",Village vacances,Big Bras d'Or," 8,1 "
Thierry,France,0,2019-08-04,Bon ,L'acceuil et l'emplacement,"Une chambre trop chère par rapport à la qualité
Elle correspondait à une autre chambre et on entendait tout
Pas de frigo","5,8",Village vacances,Big Bras d'Or," 8,1 "
Lucille,Canada,0,2018-09-19,Tres ordinaire,"Pres du lac, belle vue sur le lac",L'odeur de la chambre. Pas de cuisinette.,"5,4",Village vacances,Big Bras d'Or," 8,1 "
Anonyme,Canada,0,2019-09-29,Exceptionnel,Personnel sympathique et emplacement magnifique.,None,"9,6",Village vacances,Big Bras d'Or," 8,1 "
Lucie,Canada,0,2019-09-08,Bien ,Ce client n'a pas laissé de commentaire.,None,"7,9",Village vacances,Big Bras d'Or," 8,1 "
Michael,Canada,0,2019-08-13,Superbe,Ce client n'a pas laissé de commentaire.,None,"8,8",Village vacances,Big Bras d'Or," 8,1 "
