nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Marina,France,1,2018-06-25,Regroupement entre copines,"Les lieux sont très très proches, tout est pensé au détail prêt.
Le parking du nouveau siècle a 1 minute pour seulement 12€ les 24h.
La flexibilité des horaires est très pratique pour un séjour. 
Tout était parfait jusqu’a La literie, la crème pour les mains, le café bref je reviendrai",Rirn,10,Appart'hôtel,Lille," 8,7 "
Jean,France,0,2020-02-07,Appartement avec 2 chambres en étage super bien situé,"L'emplacement, la disposition en 2 étages",Un pommeau de douche bloqué,"8,0",Appart'hôtel,Lille," 8,7 "
Sandrine,France,0,2019-11-03,Fabuleux ,L’emplacement au cœur du centre de Lille.,Insonorisation des logements. Quelques prises électriques défectueuses à revoir.,"9,2",Appart'hôtel,Lille," 8,7 "
Lucie,France,0,2019-10-20,Exceptionnel,Lit très confortable,"Manque de thé, sol très froid lorsqu’on marche pieds nus",10,Appart'hôtel,Lille," 8,7 "
Paul,Chine,0,2019-07-11,The quality in city center !,"Très bien équipé 
Belle localisation
Très propre et moderne",Un petit peu cher,"9,2",Appart'hôtel,Lille," 8,7 "
Marvin,France,0,2019-07-04,Exceptionnel,La qualité de la chambre la déco l’hygiene,None,10,Appart'hôtel,Lille," 8,7 "
Mary77700,France,0,2019-07-01,Sublime !!,"La gentillesse du personnel, l'emplacement (au cœur du vieux Lille), l'appartement.. Waouuu quelle surprise !!! Nous avons adoré !! La déco est top !!! ( surtout la salle de bain au rez de chaussée).. Les chambres sont spacieuses et confortables (mention spéciale pour les lampes), le logement est entièrement climatisé, et pour couronner le tout : il y a une terrasse !! Le pied!! Nous avons trouvé une super adresse que nous ne sommes pas prêtes d'oublier... Nous reviendrons !!",Rien.. Tout était parfait !!,"9,6",Appart'hôtel,Lille," 8,7 "
David,France,0,2019-06-15,Excellent rapport qualité prix,Tout le reste,Horaire d arrive un peu tard,10,Appart'hôtel,Lille," 8,7 "
Antoine,France,0,2019-05-22,Très bonne nuit dans cet hôtel ou la qualité est au rendez-vous.,"L'ensemble de la prestation est de très bonne qualité. Lit, salle de bain, équipement, luminosité, calme. On s'y sent bien.",R.A.S.,"9,2",Appart'hôtel,Lille," 8,7 "
Alexis,France,0,2019-05-19,Fabuleux ,Situation géographique,None,"9,2",Appart'hôtel,Lille," 8,7 "
Carine,France,0,2019-04-22,Très bien,"Bel appart hôtel , design , fonctionnel 
Belle superficie
Bon emplacement
Très bien pour un court séjour , notamment pro",None,"8,3",Appart'hôtel,Lille," 8,7 "
Herve,France,0,2019-04-21,Exceptionnel,Magnifique appartement. Très bien agencé et avec de beaux espaces. Belle vue sur la ville. Belle situation.,Il faut dormir la fenêtre fermée car il y a un peu de bruit dehors (pas mal de restaurants aux alentours),"9,6",Appart'hôtel,Lille," 8,7 "
24nior,France,0,2019-04-14,Bien ,"L'appartement est très pratique, bien équipé, confortable surtout bien situé !",L'accès à la réception depuis l'appartement n'est pas accessible et si besoin de quelque chose il faut ressortir et faire le tour du quartier et passer par l'autre porte. Car pas de téléphone et in joignable par téléphone,"7,9",Appart'hôtel,Lille," 8,7 "
Claire,France,0,2019-03-28,Bien ,propreté et caractère fonctionnel,"pas du tout de service (je n'avais pas compris ça dans la formule présentée sur Booking), pas de petit déjeuner, lavabo bouché.","7,5",Appart'hôtel,Lille," 8,7 "
Frederig,France,0,2019-02-23,Exceptionnel,"Emplacement 
Grandeur de l’appartement 
Le design","Le bruit à l’extérieur ( mais bon, un vendredi soir en centre ville ...)","9,6",Appart'hôtel,Lille," 8,7 "
Alice,France,0,2019-01-21,Appart design en plein centre (mais manque de professionnalisme),"L'appartement était conforme au photo: design, très propre et pratique ! Coke est surtout très bien situé: à 10 min de la gare de Lille Flandres et en plein centre du vieux lille","L'accueil a été fait par un employé qui travaillait au restaurant et qui ne nous a pas expliqué comment se déroulait le check out. Nous avons donc eu toutes les peines à récupérer nos affaires que nous avions laissé le dernier jour pour nous ballader. Renseignez vous avant de laisser vos affaires à la ""bagagerie""","8,8",Appart'hôtel,Lille," 8,7 "
Antoine,France,0,2019-01-13,"L'ensemble de la prestation est à la hauteur et on se sent bien dans cet environnement sobre, épuré","L'ensemble de la prestation est à la hauteur et on se sent bien dans cet environnement sobre, épuré et chaleureux.",None,"9,6",Appart'hôtel,Lille," 8,7 "
Isabelle,France,0,2019-01-07,Exceptionnel,Très bien placé au cœur de Lille. Appartement fonctionnel idéal pour 4 personnes.,None,10,Appart'hôtel,Lille," 8,7 "
Philippe,France,0,2018-12-31,Fabuleux ,"La situation en plein centre-ville de Lille
L'appartement tres confortable et bien agencé.",Espace repas un peu petit.,"9,2",Appart'hôtel,Lille," 8,7 "
Pascal,France,0,2018-12-28,Exceptionnel,Bon emplacement au cœur de Lille . Confort. Tranquillité.,None,"9,6",Appart'hôtel,Lille," 8,7 "
Cannoletta,Belgique,0,2018-12-25,Superbe,"La proximité du centre ville et du parking 
La grandeur des chambres 
La propreté 
L’équipement de la cuisine .",None,"8,8",Appart'hôtel,Lille," 8,7 "
Katy,France,0,2018-12-09,Séjour agréable,"Appartement spacieux et agréable.
Localisation de l'hôtel très pratique",Propreté à revoir. Des réparations techniques par endroit sont à prévoir,"7,9",Appart'hôtel,Lille," 8,7 "
