nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Arnaud,"Abkhazie, Géorgie",1,2019-09-08,Parfait pour une seule nuit.,Très bon accueil. Excellent rapport qualité/prix. Emplacement bénéficiant d'un grand parking public : parfait. Petit déjeuner copieux et original par sa présentation.,Rien.,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
Jean,France,0,2020-05-25,Du bonheur,"J’ai tout aimé, la deco, l’odeur très agréable, la literie super confortable, propreté irréprochable , au top, surtout un très bon accueil et patron super gentil et agréable",None,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
Marie-line,France,0,2020-05-18,bien,bien,je ne sais pas,"8,0",Hôtel,Saint-Jean-de-Monts," 9,0 "
Christophe,France,0,2020-03-15,Séjour romantique parfait,"Le petit déjeuner était complet et diversifié. La chambre était parfaite avec une belle décoration, très propre et confortable avec tout le nécessaire. Nous avons été très bien accueilli par le gérant du fait de conditions particulières : covid19.",La connexion wifi serait à augmenter,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
Thomas,France,0,2020-03-10,A ne pas rater sur Saint Jean de monts ! Excellent,"Tout l'accueil la déco la qualité de la chambre des équipements et un super petit déjeuner 
'",Rien,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
Maryse,France,0,2020-03-09,Très bon week end reposant .,"La propreté de la chambre,la déco de la chambre et la gentillesse des propriétaires.
Le petit déjeuner qui est vraiment très bien,le pudding excellent.",None,"8,0",Hôtel,Saint-Jean-de-Monts," 9,0 "
David,France,0,2020-03-08,Excellentes prestations et hôtel très bien situé.,"Très bon accueil, belle décoration, chambre très propre et excellent petit déjeuner.",None,"9,0",Hôtel,Saint-Jean-de-Monts," 9,0 "
Hélène,France,0,2020-03-01,Exceptionnel,Tout,Rien,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
Véronique,France,0,2020-02-26,Très bien,"Calme, propreté, gentillesse des propriétaires toujours à l'écoute, petit-déjeuner copieux, proximité des commerces et de la mer",None,"8,0",Hôtel,Saint-Jean-de-Monts," 9,0 "
Martine-hélène,France,0,2020-02-26,Hotel bien situé avec un bon rapport qualité/prix.,"Petit déjeuner copieux avec proposition de produits maison (confitures et gâteaux).
Salle agréablement décorée.",None,"8,0",Hôtel,Saint-Jean-de-Monts," 9,0 "
Charles,France,0,2020-02-16,Très bon séjour,Accueil très aimable,None,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
Danielle,France,0,2020-02-16,Exceptionnel,Tout était parfait agréable propre accueillent,Rien,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
Camille,France,0,2020-02-12,Exceptionnel,Accueil très chaleureux ! L’hôtel était très propre. La chambre correspondait parfaitement à nos attentes. Nous reviendrons c’est sûr !,None,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
Tanguym40,France,0,2020-02-10,Exceptionnel,"Accueil très chaleureux et personnalisé, la chambre était refaite à neuf, propre et agréable. La procédure d'arrivée tardive était simple moyennant un petit coup de fil avant pour connaître les détails. Le petit déjeuner était sympa également, bref une adresse sûre sur Saint Jean de Monts.",RAS,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
Nathalie,France,0,2020-02-09,Très bien,Très bon accueil et super petit déjeuner,Rien,"8,0",Hôtel,Saint-Jean-de-Monts," 9,0 "
Audrey,France,0,2020-02-09,Audrey A sejour du 8 février,"La décoration ainsi que la douche qui est très spacieuse. L'accueil des propriétaires, le petits-déjeuners copieux ou il y avait beaucoup de choix.",None,"9,0",Hôtel,Saint-Jean-de-Monts," 9,0 "
Apero7,France,0,2020-02-09,"très bonne adresse que je conseille moi qui suis commercial, et qui voit beaucoup d'hôtel","J'ai passé très peu de temps à l’hôtel car du travail en extérieur, mais le responsable s'est très bien adapté.
Super accueil
je reviendrai mais en profitant plus
très belle déco marine dans la chambre","allez, pour dire quelque chose, l'espace de la salle de bain un peu petit","9,0",Hôtel,Saint-Jean-de-Monts," 9,0 "
Cali,France,0,2020-02-05,Exceptionnel,"Confort accueil et calme de l hôtel, très bon accueil merci je recommande petit déjeuner au top avec beaucoup de choix et pour tout les goûts merci !!!",None,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
Mathieu,France,0,2020-02-02,Simplement parfait,"Personnel vraiment là pour ces clients et l’hôtel est vraiment bien situé, bien décorer et confortable, on y manque de rien . A recommander",None,10,Hôtel,Saint-Jean-de-Monts," 9,0 "
