nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Gladys,La Réunion,1,2019-01-30,Très bel emplacement !,Paris intra muros près de toutes les commodités,Le 6ème étage sans ascensseur,10,Appartements,Paris," 6,7 "
Katia,France,0,2020-03-06,Bien ,"L'emplacement est idéal, dans un quartier exceptionnel. Les hôtes sont disponibles.",None,"7,0",Appartements,Paris," 6,7 "
Isabelle,France,0,2020-01-21,Agréable,"La personne ne parle pas français
Il manque des torchons dans le linge de maison annoncé.
La couette est très légère et même avec le chauffage on aurait apprécié d'avoir à disposition une couverture supplémentaire","La personne ne parle pas français
Il manque des torchons dans le linge de maison annoncé.
La couette est très légère et même avec le chauffage on aurait apprécié d'avoir à disposition une couverture supplémentaire","6,0",Appartements,Paris," 6,7 "
Too1,France,0,2020-01-05,Bon petit refuge,La proximité avec le réseau métro,Le vis à vis,"8,0",Appartements,Paris," 6,7 "
Gabrielle,France,0,2019-12-11,correct pour un séjour de courte durée,le calme,le confort du lit moyen,"8,0",Appartements,Paris," 6,7 "
Levassort,France,0,2019-10-25,Bien ,"Pièce principale sombre donnant sur cour et appartement qui a besoin de rénovation, un peu vétuste à certains endroits.","Pièce principale sombre donnant sur cour et appartement qui a besoin de rénovation, un peu vétuste à certains endroits.","7,1",Appartements,Paris," 6,7 "
Ariane,France,0,2019-10-13,Satisfaisant pour un court séjour.,lit confortable. Quartier agréable et Bien situé. Hôte ponctuel et répond à toutes questions.,"Vétusté des équipements et des murs/placards qui mériterait un bon coup de peinture et de nettoyage des coins. Odeur d’humidité :besoin d une vmc. le lavabo de la salle d eau est difficilement utilisable à cause du placard fixé juste au dessus, on se cogne ds le miroir de la porte du placard.","5,8",Appartements,Paris," 6,7 "
Jeremie,Luxembourg,0,2019-08-31,"Très bon emplacement, bon rapport qualité prix",Emplacement,Odeur à l'entrée du bâtiment,"7,1",Appartements,Paris," 6,7 "
Sabine,France,0,2019-08-17,Agréable et détendu.,Appartement correct pour un court séjour. Bien situé. Proximité gare et métro.,None,"7,1",Appartements,Paris," 6,7 "
Céline,France,0,2019-08-08,Bien ,"Réactivité, adaptabilité (j'ai notamment pu déposer mes bagages avant l'heure de début de location) et honnêteté des personnes qui gèrent la location.
Bon rapport qualité prix.",None,"7,5",Appartements,Paris," 6,7 "
Stephane,France,0,2019-04-26,"Appartement bien situé, au calme proche métro et commerces","Le calme, proximité du métro,commerces,","La literie, la machine à café","6,7",Appartements,Paris," 6,7 "
Yann,France,0,2019-04-22,Bien ,"Literie trop dure, absence de volets (pas tant dérangeante), insonorisation insuffisante","Literie trop dure, absence de volets (pas tant dérangeante), insonorisation insuffisante","7,5",Appartements,Paris," 6,7 "
Smouma,France,0,2019-03-01,Bien ,"La proximité de l’endroit où j’avais mes rendez vous c’était parfait moi . L’hôte Joey est super sympa et très accueillant , explication à votre arrivée nickel . La chambre est cozy mais va très bien pour des courts séjours .",Uniquement le lit,"7,1",Appartements,Paris," 6,7 "
Stéphanie,France,0,2019-03-01,Agréable,Emplacement du lieu.,L'hôte de parlait pas un mot de français. Il ne parlait qu' Anglais et on a eu des problèmes de compréhension. A Paris on est en France. La plaque de cuisson ne fonctionnait pas et on a pas eu plus d'explications.,"6,7",Appartements,Paris," 6,7 "
Céline,France,0,2019-02-19,Bien ,Paiement en espèce obligatoire… Le couchage de notre fille n'était pas fait. Aucune explication sur le quartier on nous a meme pas dit ou se trouvait le local poubelle. Juste qu'il fallait payer de suite et en espèce obligatoirement.,Paiement en espèce obligatoire… Le couchage de notre fille n'était pas fait. Aucune explication sur le quartier on nous a meme pas dit ou se trouvait le local poubelle. Juste qu'il fallait payer de suite et en espèce obligatoirement.,"7,9",Appartements,Paris," 6,7 "
Stéphane,Canada,0,2019-02-15,Agréable,Commodité plus que confort. Peu de charme mais très bien situé. Des problèmes avec l'accès au wifi durant la moitié de mon séjour. Communication facile avec l'hôte.,Commodité plus que confort. Peu de charme mais très bien situé. Des problèmes avec l'accès au wifi durant la moitié de mon séjour. Communication facile avec l'hôte.,"6,7",Appartements,Paris," 6,7 "
Pascal,France,0,2019-01-08,Agréable,"Emplacement TB
A 10mn des quais de la Seine sans voiture pour footing
Immeuble trés calme
Bien sécurisé","Des détails ... mais qui font une note moyenne. 
- pas de rideaux occultant
- cafetière qui laisse un goût désagréable
- pas assez de couverts
- le papier froissé scoché en guise de rideaux dans SdB ... bof !!
- serviette trouée ... on aurait pu éviter !!","6,7",Appartements,Paris," 6,7 "
Serge,Canada,0,2018-10-30,Appartement bien équipé bien siyué à Paris,"Sa situation géographique tout près de la gare de Lyon et du métro.
Appartement équipée pour cuisiner, plusieurs commerce à proximité.
Possibilité de visité facilement Paris tout simplement à pied (près de la Seine, Place de la Bastille…)
Une bouteille de vin pour nous souhaiter la bienvenue.",Appartement un peu petit mais on est à Paris et pour le prix c'est correct.,"7,9",Appartements,Paris," 6,7 "
