nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Michel,Belgique,1,2019-05-13,Exceptionnel,"Le petit déjeuner était correct, l'hôtel très bien situé.",La porte de la chambre laisse passé la lumière par le bas donc le bruit également.,10,Hôtel,Amiens," 7,3 "
Anthony,France,0,2020-03-21,Sympa et très Confortable,Ce qui était agréable c’était que le parking était gratuit j’ai pas très loin D’Amiens,Le petit petit bémol : je trouve que le prix du petit déjeuner est un peu trop cher,"7,0",Hôtel,Amiens," 7,3 "
Vincent,France,0,2020-03-09,juste bien pour dormir rapidement quelques heures et repartir,le petit dejeuner,aucune proprete,"6,0",Hôtel,Amiens," 7,3 "
Thierry,France,0,2020-03-07,Bien ,"l' accueil simpathique dès l entrée ,les consignes claires de la personne de l accueil.le parking au fond d une zone calme du coup ,le plateau de courtoisie dans la chambre qui peut nous faire évité le ti dej servi en bas de la hôtel!!","côté chambre:le matelas ,pas épais, très raide pas vraiment confortable , côté droit du lit( ampoule manquante de chevet ) et côté gauche ( inter HS).lumière faiblarde du miroir.et la porte d entrée qui frotte en la fermant ( doute aussi sur la serrure si elle es efficace une fois dans la chambre )
cote douche wc :le gel douche vide et celui de lavabo presque pareil ,joint pas très propre,baignoire usé au fond ,pomme douche a changé ( calcaire ,lourd ,rouille sur le manche ).ventile au dessus avec de la poussière dedans et pr finir bas de porte abîmé a l'intérieur de la salle de bain.
une bonne rénovation ,et surtt corrigé les détails seraient un moindre mal
bémol aussi sur le portail qui est soit disant fermé accessible par code a partir de 23h ,et il était complètement ouvert a notre retour","7,0",Hôtel,Amiens," 7,3 "
Celine,France,0,2020-03-01,Bon hotel Qualité prix,"la salle spacieuse du petit déjeuner, le confort des matelas et le plateau thé café dans la chambre",peut être l'isolation de la fenêtre,"8,0",Hôtel,Amiens," 7,3 "
Franck,France,0,2020-03-01,Agréable,Le parking privé sécurisant,"Le confort du lit, l’insonorisation, hygiène de la literie","6,0",Hôtel,Amiens," 7,3 "
Sandra,Belgique,0,2020-02-29,Très bien,Accueil,Manque d'insonorisation,"8,0",Hôtel,Amiens," 7,3 "
Pierre,France,0,2020-02-26,Agréable,Hotel bien situé et pratique.,None,"6,0",Hôtel,Amiens," 7,3 "
Gilles,France,0,2020-02-26,Très bien,None,éclairage de la chambre faible surtout quand on rentre dans la chambre,"8,0",Hôtel,Amiens," 7,3 "
Mehdi,France,0,2020-02-23,Bon sejour,Le lit etai bien,Rien,"7,0",Hôtel,Amiens," 7,3 "
Ludovic,France,0,2020-02-20,Agréable,None,L insonorisation des chambres à revoir,"6,2",Hôtel,Amiens," 7,3 "
Jean-pierre,France,0,2020-02-16,Mitige !,"Personnel aimable, chambre propre ms suivit ampoule ,entretien tuyauterie et securite ( Pas de tapis antiglisse ds la baignoire) sont decevants !
Tres bon petit dejeuner avec choix ,qualite et quantite !","Tapage nocturne par 4 individus subit ds la nuit de vendredi a samedi !
Nous savons que cela est independant de la volonte de l'etablissement , le personnel a d'ailleurs fait en sorte que cela ne se reproduise pas ms il nous semble tres important de le mentionner car une nuit blanche n'est jamais agreable ds ces conditions !!!","6,0",Hôtel,Amiens," 7,3 "
Catherine,France,0,2020-02-12,Agréable,Bonne situation géographique. Bonne literie. Accueil agréable. Bonnes viennoiseries et bon pain.,"Très mauvaise insonorisation, nous avons eu en direct la tv du voisin le 1er soir et les ébats amoureux des voisins le 2ème soir. Salle de bains très moyenne avec une lunette de wc non fixée et baignoire trop ancienne. Rideaux de porte fenêtre très sales. Petit déjeuner trop cher pour la qualité, avec des oeufs brouillés en poudre diluée et des produits très basiques.","6,0",Hôtel,Amiens," 7,3 "
Ingrid,France,0,2020-02-09,Moyen,La qualité du lit,Les Petites serviettes et le manque de sèche cheveux,"8,0",Hôtel,Amiens," 7,3 "
Alain,France,0,2020-02-07,Très bien,La tranquilité :bonne nuit de sommeil,None,"8,0",Hôtel,Amiens," 7,3 "
Christophe,France,0,2020-02-03,Très bien,très bon rapport qualité prix,None,"8,0",Hôtel,Amiens," 7,3 "
Myriam,France,0,2020-02-01,Juste pour un passage,Chambre propre,Les équipements et l'ambiance de la chambre,"6,0",Hôtel,Amiens," 7,3 "
Alice,France,0,2020-01-30,A recommander et recommencer à y séjourner,"Un séjour effectué afin d assister à un spectacle au zénith qui se trouve à 10 mn en voiture 
L emplacement à proximité d un grand axe et proche de la ville 
La tranquillité du voisinage ( le dimanche ) l'isolation phonique extérieur",None,"8,0",Hôtel,Amiens," 7,3 "
Xavier,France,0,2020-01-24,Satisgait,"Tout, je l'ai déjà écrit. Tout, je l'ai déjà écrit.",J'ai tout apprécié. J'ai tout apprécié (2 phrases),"8,0",Hôtel,Amiens," 7,3 "
Renee,France,0,2020-01-24,"A recommander, bon rapport qualité prix","Petit déjeuner varié ds un bel espace 
Chambre calme repos garanti 
Personnel agréable .",None,"8,0",Hôtel,Amiens," 7,3 "
Corentin,France,0,2020-01-22,Bien ,"La chambre est assez spacieuse , le lit est très confortable.","La baignoire est très petite , juste la place pour s’asseoir","7,5",Hôtel,Amiens," 7,3 "
Jean-pierre,Belgique,0,2020-01-20,Correct pour une étape.,La situation non loin du Shopping Promenade d'Amiens Nord. (restaurants divers) L'accueil est sympa. Les chambres sont correctes. Le petit déjeuner est très bien.,La mauvaise insonorisation entre les chambres du rez et les chambres de l'étage. J'ai été réveillé tôt le matin par le bruit de pas et de chutes d'objets venant de la chambre d'en haut.,"7,0",Hôtel,Amiens," 7,3 "
Fabienne,France,0,2020-01-20,Bon rapport qualité/prix,"Très bon café, des produits variés et de qualité.
Literie confortable
Plateau avec bouilloire","Réapro du petit déjeuner non fait
Tablette cassée dans la salle de bain","8,0",Hôtel,Amiens," 7,3 "
Bernadette,France,0,2020-01-13,Très bien,None,La chasse d'eau ne fonctionnait pas correctement,"8,0",Hôtel,Amiens," 7,3 "
Claude,France,0,2020-01-13,Agréable,"Emplacement, prix",Petit déjeuner moyen et très cher,"6,0",Hôtel,Amiens," 7,3 "
