nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Thomas,France,1,2018-07-17,Exceptionnel,"Situation, accueil, equipements, rien à redire.",RAS,10,Hôtel,Biarritz," 9,1 "
Mathilde,France,0,2020-03-12,Exceptionnel,"La décoration était super, le service au top et l’emplacement idéal !",La chambre est très petite et niveau sécurité c’est moyen. La porte s’ouvre pas entièrement à cause du lit et en cas de sinistre incendie je ne suis pas certaine que ce soit aux normes.,"9,6",Hôtel,Biarritz," 9,1 "
Hiverniau,France,0,2020-03-11,Exceptionnel,"Situation géographique (plein centre), authenticité de l’établissement, personnel très agréable, calme.",Pas de parking,10,Hôtel,Biarritz," 9,1 "
Luce,France,0,2020-03-06,"Agréable, hôtel bien situé","Le charme, la propreté,",Le petit déjeuner pas assez varié à notre goût,10,Hôtel,Biarritz," 9,1 "
Elisabeth,France,0,2020-03-04,Un hotel cosy et chaleureux comme je les aime,Tout. Petit dej agréable. Accueil réel.,???,10,Hôtel,Biarritz," 9,1 "
Olivier,France,0,2020-03-03,Très bon séjour,Tout et surtout l’accueil,Pas de parking,"9,0",Hôtel,Biarritz," 9,1 "
Magalie,France,0,2020-02-25,Exceptionnel,Très belle chambre et hôtel dans le centre de Biarritz,None,10,Hôtel,Biarritz," 9,1 "
Jackp09,France,0,2020-02-22,Magnifique,L'aspect historique de l'établissement,None,10,Hôtel,Biarritz," 9,1 "
Stéph,France,0,2020-02-20,Merci à l'hôtel Édouard VII,"Tout. Le personnel est très prévenant et agréable.
Les chambres sont très bien équipées, confortables et calmes.
Très bon petit déjeuner, varié et copieux.
L'emplacement de l'hôtel proche des halles et de la mer est parfait.
Un excellent séjour dans une très belle ville.",Rien,"9,0",Hôtel,Biarritz," 9,1 "
Millet,France,0,2020-02-20,Fabuleux ,Emplacement idéal au coeur de la ville.,None,"9,0",Hôtel,Biarritz," 9,1 "
Bruno,France,0,2020-02-17,mieux qu'à la maison,"le style général, l'accueil chaleureux et direct, la décoration et la véranda.",que ce soit si court !,10,Hôtel,Biarritz," 9,1 "
Florence,France,0,2020-02-17,L'endroit idéal pour se reposer dans les meilleures conditions possibles !,"Tout, le personnel aux petits soins, la décoration magnifique, l'emplacement, le petit déjeuner copieux et délicieux, la chambre belle et extrèmement propre ET un wifi qui fonctionne !!!",rien,10,Hôtel,Biarritz," 9,1 "
Brigitte,France,0,2020-02-15,"Bel hôtel, bien situé",La situation de l’hôtel et son charme. Un personnel souriant et efficace,Le petit déjeuner. Les boissons chaudes devraient être disponibles. Le prix du petit déjeuner est élevé compte tenu des produits proposés.,"9,6",Hôtel,Biarritz," 9,1 "
Dr,Guyane française,0,2020-02-14,Exceptionnel,"Jamais déçu 
Constance dans le service quelque soit le personnel 
Petit déjeuner incroyable",Rien à dire,10,Hôtel,Biarritz," 9,1 "
Cecile,France,0,2020-02-06,Exceptionnel,Tout! Très belle adresse à 2 pas du centre,Rien,"9,6",Hôtel,Biarritz," 9,1 "
Valerie,France,0,2020-02-06,L'envie de plus partir de cet endroit!!,"le cadre de cet hôtel ést splendide avec une décoration parfaite, la chambre confortable et joliment décorée, le personnel très disponible et accueillant.",None,10,Hôtel,Biarritz," 9,1 "
Jerome,France,0,2020-02-04,Exceptionnel,"Le style ,la déco le salon le coin petit-déjeuner(excellent et copieux). Le personnel top disponible et attentionné.",None,10,Hôtel,Biarritz," 9,1 "
Aurelie,France,0,2020-02-03,"Un séjour agréable , un bien être se dégage de cet hôtel ! On y reviendra c’est certain !","L’accueil était vraiment très bien , la propreté de la chambre également. 
La situation géographique parfaite 
Nous avons beaucoup aimé la décoration et le confort de la chambre",j’aurais aimé plus de produits de bains...,"8,0",Hôtel,Biarritz," 9,1 "
Laurent,France,0,2020-01-28,Excellent séjour,"Accueil très sympathique et chaleureux. 
Propreté 
Bien placé",None,10,Hôtel,Biarritz," 9,1 "
Michele,France,0,2020-01-28,Séjour fantastique et j'espère y retourner,"Ce style d'hôtel, on se croirait à la maison 
La petite quantité de chambres 
La situation de l'hôtel est fantastique : proche du centre ville
Les personnes qui nous ont accueillis (très agréables)
Tout était parfait","Pour le petit déjeuner j'aurai préféré un petit gâteau basque (à la place du gâteau au chocolat) 
Le café pourrait être un peu meilleur","9,0",Hôtel,Biarritz," 9,1 "
Remy,France,0,2020-01-26,Très bien,Personnel très accueillant. Hotel avec beaucoup de charme et très bien situé.,Confort du lit,"8,0",Hôtel,Biarritz," 9,1 "
Sabine,France,0,2020-01-24,"impeccable, charmant, dans un quartier fort sympathique","Hôtel calme avec personnel toujours charmant et souriant, on s'y sent bien, un bel effort de décoration, ai apprécié le thé avec son macaron sous la verrière, resto et bars à proximité",rien,"9,0",Hôtel,Biarritz," 9,1 "
Léa,France,0,2020-01-21,Hôtel charmant et très bien situé,L'hôtel est décoré avec beaucoup de goût. Le personnel est très avenant et serviable. Petit + : la nouvelle véranda où les petits déjeuners sont servis est sublime !,Le petit déjeuner pourrait proposer quelques produits locaux :),"9,0",Hôtel,Biarritz," 9,1 "
Jp,France,0,2020-01-13,Exceptionnel,"Séjour d'une nuit dans ce magnifique hôtel ! 
Mobilier et déco design, personnel sympathique et attentionné, chambre confortable, situation géographique avantageuse...
Ce magnifique hôtel propose un excellent rapport qualité / prix ! 
Je le recommande chaudement pour tout séjour Biarritz !",None,10,Hôtel,Biarritz," 9,1 "
Cecile,Espagne,0,2020-01-10,Très bien,"Esthétique, propre, bien situé, personnel charmant","L’une des deux chambres doubles était petite (on ne pouvait pas ouvrir la porte entièrement car le lit double la bloquait).
Le petit déjeuner est un peu cher pour la qualité des produits proposés.","8,3",Hôtel,Biarritz," 9,1 "
Bourneix,France,0,2020-01-06,Très bien !,"l'emplacement, le charme",pas de parking,"8,0",Hôtel,Biarritz," 9,1 "
Léa,France,0,2020-01-04,Super séjour !,"Nous avons séjourné dans cet hôtel deux nuits. La chambre était impeccable, la literie confortable. Une grande douche et du joli mobilier.
Le personnel était agréable, chaleureux et très serviable.
Nous avons passé un très bon séjour dans cet hôtel qui est idéalement placé dans Biarritz.
Mention spéciale pour le petit déjeuner au calme sous la véranda, un moment des plus agréables.
Nous reviendrons avec grand plaisir !",None,10,Hôtel,Biarritz," 9,1 "
David,Guyane française,0,2020-01-03,Exceptionnel,Moi qui voyage beaucoup j’ai été charmé par les chambres qui vous donne l’impression d’être dans une chambre d’ami!! Le staff est génial ! Je n’ai plus à chercher où aller quand je vais à Biarritz,None,10,Hôtel,Biarritz," 9,1 "
Renee,France,0,2020-01-03,Très bon séjour personne très sympathique et une attention pour les clients en cette période de fête,None,L évier de la salle de bain à repenser ainsi que les rangements,10,Hôtel,Biarritz," 9,1 "
Dollinger,France,0,2020-01-02,Si vous aimez le charme de l'ancie,"Le charme de l'hôtel, beaucoup de style",None,"8,0",Hôtel,Biarritz," 9,1 "
Simon,France,0,2020-01-01,Exceptionnel,Tout est très propre et l’emplacement est génial.,La chambre familiale manque un peu de lumière du fait que est au sous-sol.,"9,6",Hôtel,Biarritz," 9,1 "
Xavier,France,0,2019-12-12,Fabuleux ,"Le côté convivial et un personnel à l’écoute , le décor , et l’impression d’être chez soi ...","Peut-être une machine à expresso dans le salon ? , possible que je ne l’ai pas vu ...","9,0",Hôtel,Biarritz," 9,1 "
Michael,France,0,2019-12-07,confortable et relaxant,le petit dejeuner etait superbe,les Lumiere dans la chambre,10,Hôtel,Biarritz," 9,1 "
Alain,France,0,2019-12-07,Exceptionnel,"fabuleux, très beau séjour, le personnel est au petits soins, chambre très propre et petit déjeuner parfait. Merci",None,10,Hôtel,Biarritz," 9,1 "
Jean-pierre,France,0,2019-12-03,Exceptionnel,"L’emplacement très central, à deux pas à la fois de la côte des Basques et des Halles.
Le salon la véranda et le petit-déjeuner.",None,"9,6",Hôtel,Biarritz," 9,1 "
Marc,France,0,2019-12-02,Je reviendrai,"Le style de l'hôtel, l'accueil du personnel (surclassement proposé spontanément), petit déjeuner",Manque de parking,"9,0",Hôtel,Biarritz," 9,1 "
Amelie,France,0,2019-11-25,Très bien,"tres bon hôtel - bien placé - accueil charmant et chambre au dernier étage très confortable.
nous avons adoré notre séjour à l'hôtel Edouard VII ainsi que sa décoration
Petit déjeuner un peu cher...",None,"8,0",Hôtel,Biarritz," 9,1 "
Jean,France,0,2019-11-22,Très bien,"L’accueil est très agréable et sympathique. 
L’hôtel est à 5’ à pied du centre.",None,"8,3",Hôtel,Biarritz," 9,1 "
Jérôme,France,0,2019-11-21,"Très joli cadre, chambre très agréable, emplacement idéal.",None,"petit bémol pour l'absence de parking mais c'était signalé dans l'annonce, donc pas de surprise.","9,0",Hôtel,Biarritz," 9,1 "
Soraya,France,0,2019-11-19,Hôtel à recommander,L’accueil la disponibilité la propreté et le confort,Rien,10,Hôtel,Biarritz," 9,1 "
Elizabeth,France,0,2019-11-16,Exceptionnel,"Excellent accueil 
Des l’entrée dans l’hotel, le parfum d’ambiance exprime déjà le bien-être et la qualité 
Très bon séjour",None,10,Hôtel,Biarritz," 9,1 "
Jean,France,0,2019-11-13,Très agréable malgré le mauvais temps,Accueil très sympathique et en plus nous avons eu droit à une chambre supérieure,Rien,10,Hôtel,Biarritz," 9,1 "
Florent,France,0,2019-11-05,Trés bon séjour,"Le personnel est trés agréable de jour comme de nuit , le petit déjeuner est vraiment copieux . Malgré un petit souci d'organisation, le personnel a su être commercial et à l'écoute de nos besoins .",None,"9,2",Hôtel,Biarritz," 9,1 "
Vincent,France,0,2019-11-03,Fabuleux ,None,Peu mieux faire sur la déco de la chambre.,"9,2",Hôtel,Biarritz," 9,1 "
Charles,France,0,2019-10-31,Très joli petit hôtel,Le rapport qualité/prix et la situation dans Biarritz.,"Pas d'ascenseur..... Avec les bagages, Bof","9,2",Hôtel,Biarritz," 9,1 "
Sandrine,France,0,2019-10-31,Bien ,"Très bien situé pas loin du Centre ville. Pas de parking prévoir un budget supplémentaire pour la voiture ! Hôtel charmant avec ambiance feutrée. Mais gros bémol pour la 
Chambre familiale située à la cave, pas de luminosité et claustrophobe s abstenir ! Cher pour une chambre située en sous sol et bruit de la rue en sus.",Les chambres pour les familles situées au sous sol ! Pas de lumière et salle de bains très grande par rapport à la chambre.,"7,9",Hôtel,Biarritz," 9,1 "
Isabelle,France,0,2019-10-20,Fabuleux ,"Hôtel charmant, ambiance cocooning et cossue d’une jolie maison de famille, à deux pas de la Côte des Basques, on adore !!! Délicieux petit déjeuner sous la véranda...",Les huisseries de la chambre mériteraient peut-être d’être changées,"9,2",Hôtel,Biarritz," 9,1 "
