nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Jean,France,1,2018-06-27,Tres agreable,"Le lit très confortable, chambre très fonctionnelle.",Les places de parking non adaptées aux nouvelles voitures,10,Hôtel,Honfleur," 7,3 "
Fred,France,0,2020-03-31,Très bien,"Lieu agréable 
Personnel à l écoute 
Calme",None,"8,0",Hôtel,Honfleur," 7,3 "
Laurence,France,0,2020-03-16,Bonne nuit. Chambre qui ne peut pas accueillir une 3e personne. Trop peu de place,Le calme,Equipement un peu vieillot,"6,0",Hôtel,Honfleur," 7,3 "
Voya,France,0,2020-03-13,Bien ,Le personnel très sympathique,L hôtel est un peu vétuste,"7,0",Hôtel,Honfleur," 7,3 "
Sylvie,France,0,2020-03-12,Bon sejour,Le petit déjeuner était copieux et le personnel très sympathique je reviendrais,None,"8,0",Hôtel,Honfleur," 7,3 "
Eric,France,0,2020-03-11,Bien ,L’accueil et la courtoisie du personnel,None,"7,9",Hôtel,Honfleur," 7,3 "
Michel,France,0,2020-03-10,J.étais pas souvant dans ma chambe’ ???,Le lit était très bien. Bien dormi.👍,Salle de bain à renover.,"8,0",Hôtel,Honfleur," 7,3 "
Éric,France,0,2020-03-09,Bien ,petit déjeuner varié et très correct mais le mobilier du restaurant n'est plus d'actualité,"établissement daté mais bien dans l'ensemble hormis la salle de bains notamment au niveau des bondes et trop plein baignoire et lavabo, 
joint silicone baignoire nécessitant son remplacement, 
absence de brosse et cuvette wc nécessitant un nettoyage à l'acide ou son remplacement","7,0",Hôtel,Honfleur," 7,3 "
Claude,France,0,2020-03-08,Bien,Bien,None,"8,0",Hôtel,Honfleur," 7,3 "
Helen,France,0,2020-03-03,juste une 'stop-over',La localisation,Moisi sur les joints dans le salle de bain.,"7,0",Hôtel,Honfleur," 7,3 "
Jean,France,0,2020-03-02,Je n'y retournerai pas,Accueil très bien,"Propreté de la salle de bain bain à revoir joints du carrelage de la baignoire plein de moisissures, pas de brosses pour toilette","6,0",Hôtel,Honfleur," 7,3 "
David,France,0,2020-03-02,Agréable,"le petit déjeuner 
la propreté de la literie
vue sur le jardin","les joints de la baignoire moisie
Accueil un peu froid","6,0",Hôtel,Honfleur," 7,3 "
Fabien,France,0,2020-03-01,Bien ,"petit dejeuner impeccable, accueil correct","sanitaire à rénover
il serait préférable une douche
moisissures dans la baignoire","7,0",Hôtel,Honfleur," 7,3 "
Cecile,France,0,2020-03-01,Bien ,"Le calme
La proprete
Le petit dejeuner","Pas de brosse pour nettoyer le WC.
Seulement 2 serviettes de bain, 4 aurait été mieux.
Seulement 1 rouleau de papier toilette, il serait mieux d en avoir 2 au cas où l on soit malade","7,0",Hôtel,Honfleur," 7,3 "
Jennifer,France,0,2020-02-24,Super sachant situation personnelle périlleuse:),Le personnel adorable et disponible. Humain et compréhensif:),None,"7,0",Hôtel,Honfleur," 7,3 "
Sandrine,France,0,2020-02-23,Très bien,Calme,None,"8,0",Hôtel,Honfleur," 7,3 "
Anne,France,0,2020-02-22,Très bien,"Chambre propre 
Le café et le thé infusion dans la chambre avec la bouilloire 
Le cadre","L""aération de la salle de bain faiisait un peu de bruit la nuit","7,0",Hôtel,Honfleur," 7,3 "
Christelle,France,0,2020-02-20,"Très tranquille, vue jardin. Chambre spacieuse, un peu vieillot, mais bien équipée. Je recommande","Lit grand format. La petite attention du café, thé et bouloire pour le matin.
La vue sur le pont de Normandie, et la petite grille de sortie près de la réception, qui évite un grand détour.
Mention spéciale à la Directrice, sympa.","Il a fallu réclamer le bouchon de la baignoire..
Les portes des chambres que l on doit claquer pour fermer et verouiller.","8,0",Hôtel,Honfleur," 7,3 "
Herve,France,0,2020-02-18,Agréable,Les chambres mais vétustes,"Réservation de deux chambres avec petit déjeuner inclus mais le réceptionniste voulait rien savoir et voulait que je règle 52,50€ de petit déjeuner.","6,0",Hôtel,Honfleur," 7,3 "
Claude,France,0,2020-02-17,Bon rapport qualité,"L'emplacement est correct et c'est un bon rapport qualité prix.Le personnel est attentif à la moindre demande.Le petit déjeuner est correct et le service aussi.Comme tous le Campanile que j'ai pu séjourner, il est conforme à mes attentes.",None,"7,0",Hôtel,Honfleur," 7,3 "
Emmanuel,France,0,2020-02-17,Bien ,"restauration et accueil correct,",", chambre qui a besoin d'un sérieux coup de neuf, salle de bains avec moisissure vmc super bruyante, eclairage de la chambre","7,0",Hôtel,Honfleur," 7,3 "
Sandrine,France,0,2020-02-16,Agréable,"Bon emplacement à juste 1km du
Centre de Honfleur, parking voiture gratuit et privé juste devant les chambres, calme et agréable. 
Personnels très aimables.
Petite bouilloire avec thé, infusion et café offert dans la chambre très appréciable.","Un bon cou de jeune serait le bienvenue dans les chambres ainsi que pour les équipements...
Très peu de prises dans la chambre.
Une baignoire aux joints entièrement noir ... pas très engageant pour aller prendre un bain... 
Peu de Ménage...uniquement le stricte minimum...","6,7",Hôtel,Honfleur," 7,3 "
Cindy,France,0,2020-02-15,Weekend,"Lit très confortable ! Petit déjeuner copieux, personnel agréable.",Manque de prise dans la chambre. Dommage !,"8,0",Hôtel,Honfleur," 7,3 "
David,France,0,2020-02-14,Très bien,Établissement vieux besoin d’un bon rafraîchissement,None,"8,0",Hôtel,Honfleur," 7,3 "
Sabrina,France,0,2020-01-27,Bon rapport qualité/prix,"L'emplacement
Le prix 
Le personnel 
Le petit-déjeuner 
Le lit","La porte de la SDB qui ne fermait pas.
Oreillers trop plats.
Mauvaise isolation. 
Pas de brosse de toilettes","7,0",Hôtel,Honfleur," 7,3 "
Nadine,France,0,2020-01-19,8/10,PETIT DEJEUNE BIEN,QUIL NAVEZ PAR DE RESTAURENT PENDENT LES FETE,"7,0",Hôtel,Honfleur," 7,3 "
Mathieu,France,0,2020-01-19,Personnel très accueillant et souriant et surtout très à l’écoute des clients.,Le buffet du petit déjeuner. Et la gentillesse du personnel.,Petit bémol sur la distance entre l’hôtel et le centre ville obligé de prendre la voiture.,"7,9",Hôtel,Honfleur," 7,3 "
Michel,France,0,2020-01-12,Très bien,Le petit déjeuner,La baignoire,"8,0",Hôtel,Honfleur," 7,3 "
Patrick,France,0,2020-01-07,très bien personnelles agréables ménage des chambres à revoir (poussière sous les lits ect ),bien dans l ensemble petit déjeuner au top,l entretien des chambres et besoin d etre rénover un peu,"7,0",Hôtel,Honfleur," 7,3 "
Danielle,Belgique,0,2020-01-07,Très bien,Les lits on dort bien,La soufflerie dans la salle de bain qui fonctionne nuit et jour,"8,0",Hôtel,Honfleur," 7,3 "
Eloise,France,0,2020-01-05,Bien ,"Les lits sont confortables , l accueil sympathique mais il s agit d un vieil établissement qui mériterait bien un petit coup de jeune .",Les joints de baignoire étaient noirs et chambre aurait pu être plus propre.,"7,0",Hôtel,Honfleur," 7,3 "
David,France,0,2020-01-04,"ça depanne , bon rapport qualité/prix","Simple et pas trop cher
Il fait assez chaud dans la chambre, la temperature est correct
Parking juste devant
Petit dej' correct pour le prix et il a ete possible de mettre du lait sans surcout pour ma petite fille","Manque de serviettes dans la SDB
Un peu bruyant (on entend le bruit des voisins), ça reste acceptable neamoins","8,0",Hôtel,Honfleur," 7,3 "
Jean,France,0,2019-11-26,"Environnement agréable et confortable, Honfleur accessible à pied","Large choix pour le petit déjeuner
Hôtel entouré de verdure, dommage que la saison ne permettait pas de profiter de la terrasse
La ville de Honfleur est accessible à pied depuis l'hôtel",Dommage que la porte de la salle de bain ne fermait pas bien car on a entendu la ventilation de la salle de bain toute la nuit,"8,0",Hôtel,Honfleur," 7,3 "
Jeannine,France,0,2019-11-23,"Un peu déçus de ce Campanille , ayant pourtant l'habitude de les fréquenter !",Petit déjeuner assez copieux mais repas du soir décevant !,L'emplacement de l'hôtel pas facile à trouver même avec un GPS ! Difficile d'accès !,"7,0",Hôtel,Honfleur," 7,3 "
Jean,France,0,2019-11-14,Agréable,Personnel courtois faisant au mieux.,"Vétusté, heureusement compensé par le remboursement des pdj, il serait temps que cet hôtel devienne 2.0 pour revenir aux standards de chaîne.","6,2",Hôtel,Honfleur," 7,3 "
Patricia,France,0,2019-11-11,BIEN mais sans plus,"la localisation de l'hôtel, la propreté, le petit déjeuner plutôt copieux","la maintenance de l'établissement est à revoir. Les portes se ferment très difficilement. Sans mon mari, j'aurai du changer de chambre. Le personnel moyennement sympathique. 
Le support de douche ne tenait pas.... Quelques révisions à prévoir.","6,7",Hôtel,Honfleur," 7,3 "
Solange,France,0,2019-11-11,Hôtel bien situé et bon rapport qualité prix,"Très bien situé, à 5 min en voiture du centre ville de honfleur. Chambre agréable.","Le petit déjeuner est relativement limité : viennoiseries, céréales et laitages mais pas de plats chaud comme des œufs brouillés. C'est vraiment dommage pour un petit déjeuner à 9.90€.","8,8",Hôtel,Honfleur," 7,3 "
Mathilde,France,0,2019-11-11,Revoir la salle de bain,Lit confortable,"La moisissure sur les joints de la baignoire
Baignoire très petite","6,2",Hôtel,Honfleur," 7,3 "
Nicole,France,0,2019-11-09,Bien ,La chambre et personnel tres sympa.le cadre jardin.la situation geographique,Le repas le vin rose la salade de fruit l apéritif noyé ds les glaçons...a améliorer.en résumé améliorer le repas..tarte aux pommes bof!,"7,9",Hôtel,Honfleur," 7,3 "
Véronique,France,0,2019-11-07,Bien ,Établissement confortable très propre,Pas facile à régler le chauffage,"7,0",Hôtel,Honfleur," 7,3 "
Pierrick,France,0,2019-11-06,Bien ,None,Pas de détecteur de fumée. Chien qui aboie dans une chambre voisine.,"7,0",Hôtel,Honfleur," 7,3 "
Co,France,0,2019-11-06,Bon ,"Sinon l'emplacement est sympa, le patron agréable et la taille des chambres convenable.","Les joints de la baignoire sont moisis, les toilettes fuient, la lumière de la salle de bain est étrange. L'hôtel a besoin d'un sérieux coût de neuf.","5,8",Hôtel,Honfleur," 7,3 "
Pascal,France,0,2019-11-03,je reviendrai mais pas dans cette hôtel,Oui,la propreté nous avons réservé deux chambres et franchement au niveau du ménage y’a du laisser aller des poiles partout dans la salle de douche les poussières ni fait ni affaire et les deux chambres pareil des grands cheveux noir dans le lit et la peinture serait bon à refaire mais sa ce n’est qu’un détail pour un 3 étoiles bonjour cordialement,"6,2",Hôtel,Honfleur," 7,3 "
Laurentino,Royaume-Uni,0,2019-11-02,A part ces petites remarque le séjour reste agréable,Nous avons aimé la grande surface du lit ainsi que le nécessaire pour se faire un petit thé ou café,La soufflerie de la bouche d'aération un peu trop forte dommage de la moisissure dans les carreaux de la salle de bain,"8,0",Hôtel,Honfleur," 7,3 "
Tancev,France,0,2019-10-31,Agréable,None,"Le reveil brutal de l’alarme incendie a 10h du matin , c’etait un exercice tres bruyant","6,2",Hôtel,Honfleur," 7,3 "
Patrice,France,0,2019-10-31,Très bien,La situation géographique de l’établissement,Le système de chauffage ventilation est un peu bruyant surtout la nuit,"8,0",Hôtel,Honfleur," 7,3 "
Stephane,France,0,2019-10-30,Bien ,None,"Site appréciable pour la tarification émise. Proche du centre ville et des commodités.
Éclairage des accès à revoir à l'occasion.","7,1",Hôtel,Honfleur," 7,3 "
Stephanie,France,0,2019-10-29,trop court et agréable la ville d honfleur,le petit déjeuner avez assez de choix un plus car le prix de celui ci est élevé,le fait de ne pas pouvoir souper au campanile a notre arrivée car il manquait de produit pour les entrées et les desserts,"6,0",Hôtel,Honfleur," 7,3 "
Sandrine,France,0,2019-10-28,Agréable,Chambree spacieuses.. établissement au calme,"L'etat de la sdb etait limite 
Pas de brosse a wc dans les chambres.. le personnel dit que les femmes de ménage le font tous les jours . Ok.. mais lorsque l'on est a deux c'est bien de pouvoir nettoyer derriere soi...","6,2",Hôtel,Honfleur," 7,3 "
Aline,France,0,2019-10-25,Bien ,Accueillant,"Vieillissant sur certains points ( joints baignoires, sèche cheveux)","7,9",Hôtel,Honfleur," 7,3 "
Copirette,France,0,2019-10-20,adresse a retenir,"aucune deception
jolie décoration, literies confortables, bonne installation, propre
Personnel sympathique
situation géographique très pratique car bien repérable (la nuit)",rien,"8,0",Hôtel,Honfleur," 7,3 "
Philippe,France,0,2019-10-20,Séjour très court mais agréable,Établissement très très bien,La propreté du sol de la chambre,"8,0",Hôtel,Honfleur," 7,3 "
Jeanluc,France,0,2019-10-18,Agréable,Emplacement .de hôtel.,Matelas . Bruit de la vmc dans la salle de bain.Impossible de dormir.,"6,2",Hôtel,Honfleur," 7,3 "
Chantal,France,0,2019-10-14,Bon,"Bon petit déjeuner, varié et copieux.",Aspect extérieur très vétuste,"6,2",Hôtel,Honfleur," 7,3 "
Dejan,France,0,2019-10-10,"trop cher pour une si petite chambre avec lit d'appoint, et la propreté est a revoir...","le petit dejeuner, tres varié et complet (sucré et salé) , sous forme de BUFFET. J'adooore le riz au lait et là il y en avait, c'est si rare ! un bonheur. Personnel sympathique. Bouilloire avec thés, dommage qu'il n'y ai pas eu de sachet de café","la chambre toute petite pour 3 personnes. Lorsque nous sommes arrivés (3 personnes je précise) nous n'avons vu que 2 LITS. J'ai dû retourner à l'accueil pour demander pourquoi 2 lits pour 3 personnes, et la personne à l'accueil avait donc oublié de me dire que le 3ème lit était un lit d'appoint que l'on devait tirer de sous un lit… Très moyen je trouve surtout pour le prix d'une nuit!
De la toile d'araignée (et pas toute neuve visiblement) derrière une porte, ce qui prouve un ménage très ""léger"".
Une chose ma choqué, et un peu dégouté, c'est sur le sol juste a coté du lit de mon fils (qui dormait quasiment à même le sol) des ""traces"" ou de ""réels"" cafard incrusté/aplati dans le sol/parquet","5,8",Hôtel,Honfleur," 7,3 "
Dominique,France,0,2019-10-08,Agréable,Le calme de l établissement,Qu ils n acceptent pas notre petit chien dans la salle de restaurant alors que nous avons payé un supplément pour la nuit,"6,2",Hôtel,Honfleur," 7,3 "
Delphine,France,0,2019-10-04,Très bien,"Le calme, le confort, le petit déjeuner",None,"8,0",Hôtel,Honfleur," 7,3 "
Pierre,France,0,2019-09-30,Très bien,Petit déjeuner très bien. Bel emplacement à proximité de Honfleur.,"Restauration limité, Absence de produits locaux.","8,0",Hôtel,Honfleur," 7,3 "
Claude,France,0,2019-09-27,Étape agreable,Lit ok.bon petit déjeuner.grande chambre.,Remplacer la baignoire par une douche.,"7,9",Hôtel,Honfleur," 7,3 "
Jocelyne,France,0,2019-09-26,Bien ,Chambre vraiment calme et propre,Un peu difficile à trouver,"7,5",Hôtel,Honfleur," 7,3 "
