nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Valerie,Suisse,1,2018-09-11,Exceptionnel,Le Spa et l’immense piscine extérieure. Les oeufs brouillés du petit déjeuner.,None,10,Hôtel,Lyon," 8,5 "
Herve,France,0,2020-05-25,Séjour de détente tout en étant proche du centre historique de Lyon,"Très beau complexe sportif, piscine, hammam, massages...",None,"8,0",Hôtel,Lyon," 8,5 "
Alexandra,France,0,2020-04-07,Nous reviendrons certainement à nouveau!,"Le spa, la propreté des lieux, le petit déjeuner buffet très varié et de qualité!","Le parking qui est de l'autre côté de la route... avec les valises, c'est un peu désagréable!
Au final, le séjour reste cher car même si les prestations sont de qualité, un tarif si onéreux ne se justifie pas!!!","8,0",Hôtel,Lyon," 8,5 "
Annie65,France,0,2020-03-15,Fabuleux ,"Un petit dèjeuner fabuleux.
Confort des chambres",None,"9,0",Hôtel,Lyon," 8,5 "
Jean,France,0,2020-03-12,super sejour,la gentillesse du personnel la proprete de l hotel les equipements la beaute de l hotel nous avons deja ete dans beaucoups d hotel c est la premiere fois que nous sommes tres tres satisfait a 100 pour100,aucune choses a dire de non satisfaisant pour nous tous etaient parfais,10,Hôtel,Lyon," 8,5 "
Solene,France,0,2020-03-12,Excellent séjour,"Nous avons beaucoup aimé l'accueil et le service.
Hotel grand proposant pas mal d'activités, parfait pour un week-end détente en amoureux ou en famille. Excellent rapport qualité prix, peu chère pour ce que vaux l'hôtel, merci beaucoup !",None,10,Hôtel,Lyon," 8,5 "
Viviane,France,0,2020-03-12,"Très bon séjour, un peu trop de monde au spa","Petit déjeuner très sympa, belle chambre, vue très sympa.","Un peu étonnant le spa car beaucoup de monde, cela est le seul problème, assez bruyant avec les enfants et le nbre de personnes","8,0",Hôtel,Lyon," 8,5 "
Yves,Maroc,0,2020-03-09,Un hôtel qui apporte une qualité de plus au week end,"Equipements spa très bons. Un peu de monde en WE, sans doute des clients venant de l'extérieur. Chambre très correcte. Restaurant agréable et bon, service de qualité, personnel arrangeant et disponible.",None,"9,0",Hôtel,Lyon," 8,5 "
Céline,France,0,2020-03-09,Fabuleux ,"Le confort de la chambre, la disponibilité du personnel, leurs gentillesses...
Le SPA très agréable après les visites 
Le petit déjeuner...",Rien,"9,2",Hôtel,Lyon," 8,5 "
Anthony,France,0,2020-03-09,Séjour sur Lyon,"Comme d’habitude, le Spa a la grandeur des chambres .","Nous avions l’évier et la douche qui commençais à être boucher . 
Pour le prix de 20€ par personnes , le petit déjeuner buffet n’est pas du tout qualitatif pour le prix .","8,3",Hôtel,Lyon," 8,5 "
Arthur,France,0,2020-03-09,Bien ,"Bonne accueil, petite terrasse pour les fumeur 
Bon sejour",Le bruit de 3h30 a 6h... Music meuble déplacé ect et beaucoup trop de monde dans l espace bien etre pour la capacité et l ascenseur,"7,0",Hôtel,Lyon," 8,5 "
Elodie,France,0,2020-03-08,Mon sejour etait excellent,Tt etait nikel je conseil mm le restaurant de l etablissement qui etait excellent,Rien,"9,0",Hôtel,Lyon," 8,5 "
Marlène,France,0,2020-03-08,Exceptionnel,Tout autant au niveau des soins que du personnel de l'hôtel très bonne adresse,None,10,Hôtel,Lyon," 8,5 "
Nelly,France,0,2020-03-08,Très bien,"Le spa 
la rapidité du personnel 
le calme",None,"8,0",Hôtel,Lyon," 8,5 "
