nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Pascale,Belgique,1,2019-07-18,Excellente expérience,"Accueil plus que sympa, chambre parfaite... nous n'avons pas testé le petit-déjeuner",None,10,Hôtel,Montpellier," 9,0 "
Simon,France,0,2020-03-15,Confort et qualité,"La disponibilité et la qualité du personnel, agréable et serviable. La propreté. Et la chambre dans son ensemble.",Absolument rien.,"8,0",Hôtel,Montpellier," 9,0 "
Maurice,France,0,2020-03-15,Très agréable,Le calme et surtout l'accueil,Rien,"9,0",Hôtel,Montpellier," 9,0 "
Dominique,France,0,2020-03-11,Parfait !,"Rien à dire. Tout était parfait. De plus, c'était très calme et le personnel est aux petits soins",rien,"9,0",Hôtel,Montpellier," 9,0 "
Kevin,France,0,2020-03-08,Exceptionnel,"L’accueil du personnel est irréprochable, l’appartement pour 6 personnes était lui aussi parfait en tout point.",None,10,Hôtel,Montpellier," 9,0 "
Lamalouinière,France,0,2020-03-08,Exceptionnel,"Nous avons apprécié l'accueil, et la bienveillance de chaque personne. 
Notre demande de chambre située en étage élevé a été respectée.
Les lieux sont bien entretenus. 
La proximité de la place de la Comédie nous a facilité les visites.
Le petit déjeuner est varié et de bonne qualité.
La terrasse au 3 ième étage est agréable.
Le parking est facile d' accès.
Le tram a proximité est sans nuisance.
Excellent rapport qualité prix.",None,10,Hôtel,Montpellier," 9,0 "
Bruno,Suisse,0,2020-03-06,Exceptionnel,"Nous avons eu un super accueil et chaleureux, un service impeccable, que l'hôtel était sans faille.",None,10,Hôtel,Montpellier," 9,0 "
Karine,France,0,2020-03-01,Tout simplement parfait !!!,"Nous venons de séjourner dans cet hôtel. Acceuil avec un grand sourire. Le personnel à votre écoute. La chambre très propre et literie impeccable... très calme pour une bonne nuit de sommeil. Petit déjeuner copieux et un grand plus pour le parking et la situation géographique. N hésitez pas !!!
Merci pour votre accueil...Nous reviendrons.",Rien à dire...parfait,10,Hôtel,Montpellier," 9,0 "
Sonia,France,0,2020-02-29,Très bel hôtel central,Chambre très agréable et au calme. Hôtel situé à 5 min du centre et de la gare. Je recommande,None,"9,0",Hôtel,Montpellier," 9,0 "
Nazim,France,0,2020-02-29,Un hotel comme on les aimes :-),"Le personnels est aux petits soins, le patron vous accueil avec le sourire et la situation idéale de l’hôtel. 
Tout était vraiment parfait",None,10,Hôtel,Montpellier," 9,0 "
Aicha,France,0,2020-02-26,Bonne situation,"Propreté literie chambre lumineuse 
Proximité tramway place comédie à pied",Absence coton tige coton dans la salle de bains petit déjeuner très basique dans salle sombre pain viennoiseries surgelées et insuffisants le samedi du probablement carnaval antillais lit petit 80 cm,"8,0",Hôtel,Montpellier," 9,0 "
Ariane,France,0,2020-02-23,Impeccable globalement,"Nous avons séjourné en couple et nous avons eu un accueil sympathique du personnel .L hôtel est très bien situé ,à proximité du Polygone et à quelques minutes de la rue de la Loge .La possibilité d'avoir une place de parking est génial ,l'insonorisation correcte car nous étions à côté du tram . Le logement est propre ,il y a le nécessaire . Le petit déjeuner est complet","Si j'avais une remarque à faire :je suis sensible à la lumière du jour et le rideau de la fenêtre n'est pas assez occultant ,donc vous pouvez être réveillé tôt ,voire très tôt en été .","8,0",Hôtel,Montpellier," 9,0 "
Véronique,France,0,2020-02-23,Fabuleux ,"Le personnel est très agréable, l'emplacement est excellent, proche de la comédie.
La chambre est spacieuse et le petit déjeuner est très bien.",None,"9,0",Hôtel,Montpellier," 9,0 "
Veronique,France,0,2020-02-21,Fabuleux ,"La proximité du centre, à 2 pas de l'espace polygone. L'aménagement de la Suite, très fonctionnelle avec une belle cuisine, beau design, très bien agencée et le plus de la chambre mezzanine. La gentillesse du personnel, l'accueil et les services 🔝. Un grand merci pour ce beau séjour",None,"9,0",Hôtel,Montpellier," 9,0 "
Philippe,France,0,2020-02-19,Exceptionnel,"Personnel très accueillant, propreté impeccable",None,10,Hôtel,Montpellier," 9,0 "
Ana,France,0,2020-02-18,Très bien,"Très Bon accueil.
Bon hôtel pour un séjour de courte durée.",None,"8,0",Hôtel,Montpellier," 9,0 "
Jean-christian,France,0,2020-02-17,Très bien,Bonne literie très bon petit déjeuner,Lle lit non fait le 2e jour les gobelets salle de bain non changés ni nettoyés par contre bon geste commercial en ne facturant pas les petits déjeuners,"8,0",Hôtel,Montpellier," 9,0 "
Karin,France,0,2020-02-17,"Situation, accueil et confort parfaits !","L'hôtel est idéalement situé, nous avons tout fait à pied et le parking est un plus. Le personnel est très agréable et très serviable. L'hôtel est irréprochable en confort et propreté. Seul léger bémol, la connexion pour la tv était très médiocre, elle sautait beaucoup, mais nous n'étions pas là pour ça donc nous valoriserons tout le reste. Merci",None,"8,0",Hôtel,Montpellier," 9,0 "
Jean-pierre,Suisse,0,2020-02-14,Excellent,"Emplacement au cœur de la ville et parking voiture à disposition; petit déjeuner au choix généreux, d’excellente qualité.",None,10,Hôtel,Montpellier," 9,0 "
Bouthayna,Maroc,0,2020-02-09,Très bien,"L emplacement etait top, personnel a la hauteur ainsi ke la proprete rien a dire",None,"8,0",Hôtel,Montpellier," 9,0 "
Mohamed,France,0,2020-02-03,Exceptionnel,"Tout est top
À refaire 
Et merci pour le propriétaire qui nous a jien accueilli et bien parler",None,10,Hôtel,Montpellier," 9,0 "
Mounir,France,0,2020-02-03,Exceptionnel,Le patio au 3ème étage,...,10,Hôtel,Montpellier," 9,0 "
Remy,France,0,2020-01-27,Un séjour parfait,"Nous avons séjourné à cet hôtel dans le cadre de notre venue à Montpellier pour un concert au Rockstore qui était juste à côté. 
Personnel très accueillant 
Chambre propre, confortable et très bien équipé. 
Petit déjeuner et parking fermé très bien. 
Je recommande vivement cet hôtel. Très bon rapport qualité/prix.","Rien du tout, mais si on va chercher la petite bête, il y avait une petite tâche sur une des serviettes de toilette mais étant donné que nous y étions pour 1 nuit nous avons pas voulu embêter la réception pour si peu sachant qu'il y avait bien assez de serviette.",10,Hôtel,Montpellier," 9,0 "
Julie,France,0,2020-01-27,"Une bonne option, propre et abordable, pour un court séjour à Montpellier !","- C'est un hôtel pratique et confortable pour séjourner à Montpellier. Il se situe à quelques minutes à pied du centre historique (entre 5 et 10 minutes) et à peine à 5 minutes de marche de la gare Saint-Roch. 
- La chambre était propre, le lit confortable et la salle de bain fonctionnelle. Une bouilloire est à disposition dans la chambre, ainsi que des thés/tisanes. 
- La personne qui nous a accueillis était souriante et sympathique.",None,"8,0",Hôtel,Montpellier," 9,0 "
Catherine,France,0,2020-01-26,Très bien,"L'emplacement avec possibilité de parking.
Le confort de la literie.
Une équipe souriante et agréable.","Téléviseur en panne et une seule dosette de café pour deux. 
Le prix du petit déjeuner.","8,0",Hôtel,Montpellier," 9,0 "
Jacqueline,France,0,2020-01-23,"Hôtel à réserver sans hésiter, proche de la gare et centre ville, avec des prestations de qualité","Hôtel situé à proximité de la gare et très proche, à pied ou en tram, du centre ville de Montpellier. Personnel très professionnel et très accueillant. Logement tout à fait adapté avec un service en plus (mise à disposition d'une Nexpresso et bouilloire, et d'un mini bar), terrasse et local à bagages. Très calme même si proximité de la ligne de Tram 1 qui est en même temps un atout car station (Du Guesclin) à 2 minutes de l'hôtel. Par ailleurs, publicité présentée sur les sites conforme. Je recommande cet hôtel car présente de nombreux atouts.",None,"8,0",Hôtel,Montpellier," 9,0 "
Sebastien,France,0,2020-01-23,Très bien,Très proche du centre-ville nous avons pu laisser la voiture dans le parking même après le check out,None,"8,3",Hôtel,Montpellier," 9,0 "
Isabelle,France,0,2020-01-19,Fabuleux ,Idéalement placé pour nous . Parking réservé payant très pratique . Personnel à l écoute .,RAS,"9,2",Hôtel,Montpellier," 9,0 "
Robin,France,1,2020-01-13,Super,"Appartement super bien équipé, lave vaisselle, machine Nespresso. Très spacieux. 
Parking et excellent petit déjeuner. Tout est parfait de l’arrivée au départ.",Rien,10,Hôtel,Montpellier," 9,0 "
Johann,France,0,2020-01-12,"Reposant, merci!","Accueil chaleureux et souriant par romain,
Hôtels très élégant et parfait pour ceux et celles qui apprécient les voyages et la détente, de part sa logique, chaque étage et donc chaque chambre correspond à un pays, avec la décoration adéquate, magnifique!
Chambre single très bien agencée, et spacieuse, de la salle de bain à la partie du lit.
Cerise sur le gâteau, lorsque l'on rentre dans la chambre, un message à notre intention est affiché sur l'écran de télévision nous souhaitant de passer un agréable séjour.
Bonus: être à deux pas de la place de la comédie et du tram.
Service parfait pour mon séjour, je recommande vivement cet établissement!
Merci à toute l'équipe de l'hotel Eurociel.",None,10,Hôtel,Montpellier," 9,0 "
Kevin,France,0,2020-01-12,Exceptionnel,"Personnel au top.
La chambre était grande, salle de bain spacieuse, propreté irréprochable.
Je me suis régalé au petit-déjeuner au réveil.
Je conseil cet hôtel sans soucis.",None,10,Hôtel,Montpellier," 9,0 "
Nico,France,0,2020-01-12,Petit week-end à Montpellier,"L'accueil et la disponibilité du personnel
Le parking sécurisé
L'emplacement à 2 pas du centre ville",On entends parfois les trains de la gare toute proche mais la nuit tout est très calme,10,Hôtel,Montpellier," 9,0 "
Jerome,France,0,2020-01-11,Tiptopissime,Personnel au top gentillesse et professionnalisme. Chambre très bien équipée et propre ! Pdj copieux et varié ! (Rare pour un 3*). Parking pratique et centre ville à 5mn.,Rien,10,Hôtel,Montpellier," 9,0 "
Philippe,France,0,2020-01-10,Très bien,trés bon petit déjeuner avec beaucoup de choix,None,"8,0",Hôtel,Montpellier," 9,0 "
Schella,La Réunion,0,2020-01-05,Superbe,"Le personnel, chaleureux et toujours prêt à aider.",None,"8,8",Hôtel,Montpellier," 9,0 "
Bruno,France,0,2020-01-05,On reviendra sans conteste !,"Hôtel confortable, calme très bien situé. Il est facile de se déplacer à pied et ainsi rejoindre le centre ville historique en à peine 5 mn. 
Personnel disponible. Les espaces de vie sont bien pensés. 
Nous avons à disposition de quoi se désaltérer. 
Je recommande sans conteste.",RAS,"9,0",Hôtel,Montpellier," 9,0 "
Guillaume,France,0,2020-01-03,Impeccable,"Propreté
Sympathie du gérant et des employés
Proximité tram gare place de la comédie",Rien,10,Hôtel,Montpellier," 9,0 "
Chloé,France,0,2020-01-01,Amazing,Alors on est arrivé par le tram donc quand on voit l’hôtel de l’extérieur on pense juste que c’est très coloré mais après l’environnement quand on descend l’escalier pas terrible venant du tram pour aller à l’hôtel mais quand on rentre à l’hôtel on se sent privilégié . Hôtesse super accueillante et agréable . On avait une suite qui est de l’autre côté de l’hotel que dire à part amazing . Superbe deco on se sent chez soi . Je n’ai pas de mot et j’ai déjà fait beaucoup d’hôtels franchement et celui là est parmi mes préférés. A retenir à mon prochain passage à montpellier,Ras pour chipoter un peu peut être le fait qu’on est la commande du volet du velux qui soit bloqué mais bon ça m’a plus dérangé que ça,10,Hôtel,Montpellier," 9,0 "
Maria0804,France,0,2019-12-22,Exceptionnel,"Très bon emplacement.
Très bon accueil.
Petit-déjeuner copieux.
Que dire de plus ???
Que nous reviendrons",Rien,10,Hôtel,Montpellier," 9,0 "
Juliette,France,0,2019-12-22,Exceptionnel,Très bon accueil et excellent rapport qualité prix pour cet hôtel bien situé. Petit déjeuner au top!,None,10,Hôtel,Montpellier," 9,0 "
Sandrine,France,0,2019-12-17,Très bien,Appartement confortable et bien équipé. Personnel accueillant et très à l'écoute pour faciliter le quotidien de notre séjour.,"Le léger bruit (vibration) au moment du passage des tramways mais on ne peut pas demander d'être proche des transports sans en avoir les inconvénients. Cela était donc supportable, cela ne nous a pas empêché de dormir ni de passer un bon séjour.","8,0",Hôtel,Montpellier," 9,0 "
Nadia,France,0,2019-12-16,"Idéal et pratique, très bon rapport qualité prix, je recommande vivement !","Établissement très fonctionnel, grand parking, centre ville accessible à pieds",None,10,Hôtel,Montpellier," 9,0 "
Sebastien,France,0,2019-12-15,Bon petit week-end.,"A plus ou moins 5 minutes à pied de la place de la comédie. Hôtel très propre, au calme, parking privé. Restaurant Marocain en face de l'hôtel. Possibilité de laisser sa voiture au parking la journée du départ si l'on souhaite se balader une dernière fois en ville.",None,"8,0",Hôtel,Montpellier," 9,0 "
Patrice,France,0,2019-12-15,Exceptionnel,"tout était parfait,personnel tres sympa.",None,10,Hôtel,Montpellier," 9,0 "
Hakan,France,0,2019-12-15,Hotel sympa au cœur de la ville avec parking,"Le personnel est top, le patron très agréable",Le sol salle de bain en lino,"9,0",Hôtel,Montpellier," 9,0 "
Aurele17,France,0,2019-12-14,Une bonne adresse,"Personnel très agréable, chambre confortable, bien situé",None,"9,0",Hôtel,Montpellier," 9,0 "
Jean,France,0,2019-12-13,"très sympa, très correct.","L'accueil et l'amabilité exceptionnelle du réceptionniste, le buffet du petit dejeuenr, la chambre, le prix, la proximité de la place de la comédie, les restos conseillé par l’hôtel.","Il n'est indiqué nulle part que nous sommes accolé à une ligne de chemin de fer, le trafic reprend à 4h20 du matin et se termine à 1H ? dur pour les insomniaques dans mon genre, mon épouse a bien dormi, c'est l'essentiel..
Petit dejeuner exceptionnel sauf le petit pain surgelé ou dur ? 
Le parking à 13 euros est un peu cher.",10,Hôtel,Montpellier," 9,0 "
Véronique,France,0,2019-12-09,Exceptionnel,"Une belle surprise. La suite est très confortable, spacieuse et belle décoration. Nous recommandons pour son emplacement parfait à côté du polygone et de la place de la comédie, pour la qualité de l'accueil et des prestations.",None,10,Hôtel,Montpellier," 9,0 "
Julie,France,0,2019-12-09,Fabuleux ,"L’accueil du personnel, très à l’écoute et aux petits soins !",Aucun point majeur à signaler !,"9,0",Hôtel,Montpellier," 9,0 "
Anne,France,0,2019-12-03,Très bien,"Le grand coin douche ; le tableau du paysage grec au dessus du lit
Le calme dans l'hotel
Le buffet à volonté du petit déjeuner ainsi que le choix
La gentillesse des personnes à l'accueil",None,"8,0",Hôtel,Montpellier," 9,0 "
Pauline,France,0,2019-11-28,Super séjour et le personnel très gentil,La propreté c’était super,None,10,Hôtel,Montpellier," 9,0 "
Lisa,France,0,2019-11-24,Fabuleux ,Tout,Rien,"9,2",Hôtel,Montpellier," 9,0 "
Veronique,France,0,2019-11-22,tres bien situé et tres confortable,tres bien,None,"9,0",Hôtel,Montpellier," 9,0 "
Laurylene,France,0,2019-11-15,Exceptionnel,"Accueil chaleureux, chambre propre et spacieuse. Emplacement idéal et petit déjeuner copieux. Un hôtel avec du personnel au top !",None,10,Hôtel,Montpellier," 9,0 "
Fabrice,France,0,2019-11-10,Fabuleux ,"Un personnel professionnel et incroyablement accueillant!
Hotel bien situé, très propre!
Pdj agréable.",None,"9,2",Hôtel,Montpellier," 9,0 "
Eddy,France,0,2019-11-07,"Hôtel moderne, propre mais cher pour ce que c’est.","Calme. Petit mais moderne, fonctionnel, confortable, propre.",Un peu cher pour la taille de la chambre. Le lavabo dans la chambre. Le sol de la douche fait un peu hopital. Lumière automatique dans les WC pas agréable la nuit.,"8,0",Hôtel,Montpellier," 9,0 "
Laurent,France,0,2019-11-07,Fabuleux ,Accueil de haute qualité,None,"9,0",Hôtel,Montpellier," 9,0 "
Mohamed,Côte-d'Ivoire,0,2019-11-07,Satisfaction totale,Le personnel est très accueillant et disponibles pour les clients.,None,"9,2",Hôtel,Montpellier," 9,0 "
Daniel,France,0,2019-11-07,RECOMMANDER CET HOTEL ET SURTOUT ESSAYER D'Y REVENIR,ACCUEIL CHALEUREUX / SOURIRES / SERVICE AU TOP / PROPRETE / LA DIVERSITE DU CHOIX AU PETIT DEJEUNER / DES INFORMATIONS DISTILLEES AVEC ENORMEMENT DE TACT,RAS,10,Hôtel,Montpellier," 9,0 "
Helene,France,0,2019-11-06,Bien dommage que la chambre étit vraiment petite. Seul bémol.,"Personnel très à l'écoute, très sympa. Très bien placé à 2' du centre ville et des Trams et du TGV.",Chambre vraiment petite,"7,5",Hôtel,Montpellier," 9,0 "
Pierre,France,0,2019-11-06,Très bien,Sympathie du personnel,None,"8,0",Hôtel,Montpellier," 9,0 "
Frédéric,France,0,2019-11-05,Super rapport qualité prix.,"Collé à la gare mais excellente isolation. Donc pas de problème.
A 5 minutes à pieds de la place de la Comédie.
Personnel de l'hôtel hyper super gentil.","Il vaut mieux se garer en sous-sol à cause des pigeons.
Mais il y a des pigeons dans toutes les villes. 
Et nous avons été tellement bien accueilli ... :)","9,0",Hôtel,Montpellier," 9,0 "
Didier,Portugal,0,2019-11-02,Fabuleux ,"Le buffet du pdj est fabuleux et l'hotesse charmante et efficace.
Le personnel très agréable",Un prix qui pourrait être révisé à la baisse pour les week ends de basse fréquentation,"9,2",Hôtel,Montpellier," 9,0 "
Engie,France,0,2019-11-02,Exceptionnel,"Appartement très spacieux 
Personnel compétent et très sympathique",Rien ! Tout était parfait,10,Hôtel,Montpellier," 9,0 "
Robert,France,1,2019-10-31,Hôtel bien placé,Gentillesse du personnel. Parking pas cher. Bon petit déjeuner varié.,None,10,Hôtel,Montpellier," 9,0 "
Marie,France,0,2019-10-28,Exceptionnel,tres bien excelllent accueil,néant,10,Hôtel,Montpellier," 9,0 "
Sylvain,France,0,2019-10-24,Super accueil en plein centre de Montpellier !,Personnel très sympathique. En plein centre. L'hôtel a pu me garder mes deux grosses valises toute la journée.,None,"9,6",Hôtel,Montpellier," 9,0 "
Henri,France,0,2019-10-23,Exceptionnel,"Emplacement idéal deux pas de la gare saint roch et centre ville. Personnel très accueillant. Equipement de la chambre au top (machine nexpresso et dosette, minibar ...). Petit déj parfait, et tout çà pour un prix correct, je RECOMMANDE !",None,10,Hôtel,Montpellier," 9,0 "
Corinne,France,0,2019-10-22,Parfait !,"Hôtel super ! Très bon emplacement.
Personnel très gentil.",None,10,Hôtel,Montpellier," 9,0 "
Lucile,France,0,2019-10-19,Séjour très agréable,"Propreté
Confort 
Proximité du centre ville
Sympathie du personnel",None,"9,2",Hôtel,Montpellier," 9,0 "
Sophie,France,0,2019-10-17,Parfait,"Tout était parfait.
Le personnel est sympathique.
J'ai aimé la thématique de l hôtel..une invitation au voyage.",None,"9,2",Hôtel,Montpellier," 9,0 "
Le-savoyard,France,1,2019-10-15,Fan de sport. Allez u,"Chambre spacieuse, très bien insonorisée. petit déjeuner complet et varié. Possibilité de voir Rmc Sport au salon de la réception.",None,10,Hôtel,Montpellier," 9,0 "
Pierre,France,0,2019-10-15,Superbe,Très bien situé. Le personnel est charmant.,Environnement un peu bruyant mais c’est le prix à payer pour être dans le centre de Montpellier.,"8,8",Hôtel,Montpellier," 9,0 "
Jean,France,0,2019-10-14,excellent séjour,"Tout, ma réservation en suite très agréable,en passant par le personnel hyper sympa, le petit déjeuner, la disponibilité et la réactivité sur mes demandes de prolongation de séjour , je reviendrais à coup sûr dans cet hôtel",None,10,Hôtel,Montpellier," 9,0 "
Francoise,France,0,2019-10-13,Très bien,"le personnel tres à l'ecoute
chambre bien insonorisée",None,"8,3",Hôtel,Montpellier," 9,0 "
Isabelle,France,0,2019-10-11,Bien ,"Situation centrale proche de la gare( doubles fenêtres , on n’entend ni le tram ni le train). Personnel souriant et accueillant. Chambre simple et pas très grande mais fonctionnelle et propre . Petit déjeuner buffet copieux.",None,"7,9",Hôtel,Montpellier," 9,0 "
Max,France,0,2019-10-10,Exceptionnel,Excellent établissement à conseiller dans le centre de Montpellier. L’équipe est très sympa et le patron particulièrement investi et accueillant,Tout a été parfait !,10,Hôtel,Montpellier," 9,0 "
Samuel,France,0,2019-10-09,Exceptionnel,"La localisation, la propreté et l’accueil du personnel",None,"9,6",Hôtel,Montpellier," 9,0 "
Rene,France,0,2019-10-08,tres bon,l 'accueil,None,"8,0",Hôtel,Montpellier," 9,0 "
Marie,France,0,2019-10-08,Je recommande cet hôtel !!proche de la place de la comédie et de la gare!!parfait.,Tout,None,10,Hôtel,Montpellier," 9,0 "
Mila,France,0,2019-10-07,Exceptionnel,"chambre super, très confortable et propre
Accueil chaleureux tant à la réception qu'au petit déjeuner. Petit déjeuner très copieux et avec un large choix de produits.
Je reviendrai sans hésiter.",RAS,10,Hôtel,Montpellier," 9,0 "
Luigi,France,0,2019-10-06,Exceptionnel,"Emplacement, personnel très agréable, excellent rapport qualité prix",None,"9,6",Hôtel,Montpellier," 9,0 "
Luigi,France,0,2019-10-05,Exceptionnel,Le design moderne et gai de l'hôtel et de la chambre. Le petit déjeuner copieux et varié.,Un très leger bruit de train,10,Hôtel,Montpellier," 9,0 "
Caroline,France,0,2019-10-05,très bien,"très bon hotel, pratique car a coté de la gare saint roch et centre ville
Mini bar, theiere et machine a café dans la chambre. Terrasse pour les fumeurs
restauration non testée",rien de particulier,"9,0",Hôtel,Montpellier," 9,0 "
Stephanie,France,0,2019-10-04,Confortable et central,"Taille chambre idéale, confortable pour 1 personne. Hotel Central. Petit déjeuné copieux et bon.",None,"9,6",Hôtel,Montpellier," 9,0 "
Salah,Maroc,0,2019-10-02,Agréable,Spacieux,Localisation agréable,"8,0",Hôtel,Montpellier," 9,0 "
