nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Gines,Espagne,1,2019-04-26,Exceptionnel,"Très bon hôtel avec un excellent service, nous avons été très satisfaits de notre séjour. Merci!",None,10,Hôtel,Perpignan," 8,2 "
Cyril,France,0,2020-03-14,Hotel 2**. Très bon rapport qualité/ prix,"L'accueil, la taille de la chambre, la propreté, la mise à disposition de serviettes, de savons, de gobelets...situé en plein centre ville et des stationnements gratuits dans la rue.",L'insonorisation avec le couloir et les autres chambres,"8,0",Hôtel,Perpignan," 8,2 "
Eric,France,0,2020-03-12,Fabuleux ,"chambre bien agencée
salle de bain propre et agréable
petit déjeuné bien il y a tous ce qui faut 
le double vitrage agréable pas de bruit venant de la rue",None,"9,0",Hôtel,Perpignan," 8,2 "
Vincent,France,0,2020-02-23,Très bien,"Très bon établissement, chambre confortable, accueil sympathique. Possibilité de se garer gratuitement à proximité (ce qui n'est pas toujours simple à Perpignan).",None,"8,0",Hôtel,Perpignan," 8,2 "
Jean,France,0,2020-01-11,Bien ,"La situation près du centre, l'amabilite du personnel.",Petit déjeuner un peu simpliste.,"7,0",Hôtel,Perpignan," 8,2 "
Hugo,Suisse,0,2020-01-05,bien,le confort de la chambre,"les murs ne sont pas assez insonorisés, ont entend les personnes qui sont dans la chambre voisine.","8,0",Hôtel,Perpignan," 8,2 "
Vincent,France,0,2020-01-01,"Très bon accueil, très bon emplacement, propreté impeccable. À recommander !","Accueil, emplacement, propreté, gentillesse des hôtes, les chats",None,"9,0",Hôtel,Perpignan," 8,2 "
Raoul,France,0,2019-12-28,Satisfaits,La propreté le calme la gentillesse des gestionnaires,Le rapport qualité prix nous convient,"8,0",Hôtel,Perpignan," 8,2 "
Sylvie,France,0,2019-12-08,Très bien,Literie impeccable. Accueil chaleureux.,Un peu plus de porte serviette ou patere.,"9,0",Hôtel,Perpignan," 8,2 "
Karine,France,0,2019-11-15,Très bien,None,Super rapport qualité/ prix,"8,3",Hôtel,Perpignan," 8,2 "
Michel,France,0,2019-10-13,Très bon rapport qualité prix,la propreté et la gentillesse du personnel,le bruit de la rue,"9,2",Hôtel,Perpignan," 8,2 "
Romain,Luxembourg,0,2019-10-07,établissement sympa,"Quartier calme, le centre est accessible à pieds. La réception n'est pas toujours ouverte, mais le système d'accès à l'hôtel fonctionne très bien.",None,"8,5",Hôtel,Perpignan," 8,2 "
Eric,France,0,2019-09-19,"Séjour calme, agtéable.","Chambre et salle de bain de taille modeste, mais bien agencées, bien équipées.
Lit confortable.
La clim marchait bien
Quartier calme.",Rien,"9,2",Hôtel,Perpignan," 8,2 "
