nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Laura,Italie,1.0,2019-08-31,Séjour parfait,"L'hôtel est très proche du centre ville de Cannes, la position et le parking sont ses points forts car c'est presque impossible de garer sa voiture dans la rue. La chambre était simple mais accuieillante et propre. Merci au staff de la réception et, en particulier, à Barrie qui sert le petit-déjeuner, super gentil! :)",None,10,Hôtel,Cannes," 8,9 "
Bart,France,0.0,2020-06-01,à recommander,gentilesse du personnel,un peu de bruit pendant la nuit,"8,0",Hôtel,Cannes," 8,9 "
Nicolas,France,0.0,2020-06-01,Merci pour ce sejour !,"Propreté, super accueil et personnel très serviable !",None,"8,0",Hôtel,Cannes," 8,9 "
Bertrand,France,0.0,2020-03-09,Très bien,l'accueil du personnel,l'insonorisation,"8,0",Hôtel,Cannes," 8,9 "
Michel,France,0.0,2020-03-02,Exceptionnel,touttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt,None,10,Hôtel,Cannes," 8,9 "
Didier,France,0.0,2020-02-28,Certainement un endroit où je reviendrai si l'occasion de venir à Cannes se représente.,"Hôtel relativement central malgré sa position dans les hauts: la croisette n'est finalement pas si loin. La possibilité de parking est tellement appréciable dans cette ville que cela en fait un atout indéniable pour cet hôtel. Le très grand ""plus"" est sans doute la convivialité et la disponibilité du responsable et des personnels.",None,"9,0",Hôtel,Cannes," 8,9 "
Louhichi,Royaume-Uni,0.0,2020-02-25,Fort Agréable,le personnel fort sympathique et arrangeant le lieu était très propre lit confortable je recommande cet hôtel à 100%,Tout était nickel,10,Hôtel,Cannes," 8,9 "
Nels,France,0.0,2020-02-22,Exceptionnel,Monsieur Olivier et barill sont super et très agréable et d une gentillesse 👍je recommande cette hôtel vraiment top. Merci à vous de nous trois.,None,10,Hôtel,Cannes," 8,9 "
Hervé,France,0.0,2020-02-13,Hôtel agréable,"Nous avons occupé une chambre triple, surface un peu juste mais suffisante pour 1 nuit.
Bon petit déjeuner très complet. Mille mercis à Bari le veilleur de nuit qui a bien voulu préparer le petit déjeuner de notre fille 10minutes plus tôt.",Pas de cintres dans la penderie mais pour 1 nuot cela n'a pas été critique.,"8,0",Hôtel,Cannes," 8,9 "
Francoise,France,0.0,2020-02-07,"hôtel chaleureux, propre, bien situé, parfait.","Accueil très sympathique, personnel jovial et chaleureux très dévoué au moindre désir de ses clients, propreté irréprochable de l'établissement,petit déjeuner copieux, délicieux, hôtel au calme bien que très près du centre ville, nous reviendrons avec plaisir dès que nos affaires nous conduiront à Cannes. Merci encore à Olivier qui a su s'entourer d'une équipe jeune, tonique, et agréable","Peut être un distributeur d'eau, ou de jus de fruit lorsque l'on rentre un peu tard, mais à part çà tout était parfait",10,Hôtel,Cannes," 8,9 "
