nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Fabien,France,1.0,2018-06-30,Exceptionnel,"La situation 
La formule petit déjeuner express 
Le personnel 
Le parking",RAS,10,Hôtel,Lyon," 7,7 "
Sylvianne,Suisse,0.0,2020-05-10,Très bien,Pas loin de la gare. Le petit déjeuner bon rapport qualité prix. Le personnel serviable. Endroit Calme.,None,"8,0",Hôtel,Lyon," 7,7 "
Romina,France,0.0,2020-03-23,Merci de votre gentillesse,"Le personnel a vraiment été très gentille et surtout face à ce virus qui oblige beaucoup d’hôtel à fermé, tout le personnel est resté calme et souriant. Bravo et merci !",None,"8,0",Hôtel,Lyon," 7,7 "
Cyril,France,0.0,2020-03-09,Fabuleux ,Très bien,None,"9,0",Hôtel,Lyon," 7,7 "
Catry,France,0.0,2020-03-09,Bon séjour néanmoins je,"Accueil sympathique, propreté... literie impeccable...",Les chambres ne sont pas assez isolées... on entend toutes les paroles des gens de la chambre attenante ! Difficile donc de se concentrer sur un livre...,"9,0",Hôtel,Lyon," 7,7 "
Françoise,France,0.0,2020-03-08,Nous reviendrons si l'occasion se présente,.,.,"8,0",Hôtel,Lyon," 7,7 "
Brieuc,France,0.0,2020-03-08,Bien ,Petit déjeuner bien avec du choix. Parking souterrain en supplément.,Chambre très sombre,"7,1",Hôtel,Lyon," 7,7 "
Jjvermande,France,0.0,2020-03-07,Agréable,L'hôtel et le personnel,Quartier central mais pas très agréable.,"6,7",Hôtel,Lyon," 7,7 "
Christelle,France,0.0,2020-03-06,Bien ,Literie correcte et propreté,Manque d’éclairage dans la chambre et garage exiguë,"7,5",Hôtel,Lyon," 7,7 "
M,France,0.0,2020-03-06,"Hôtel bien placé pour découvrir Lyon, quartier calme.","Hôtel bien situé pour visiter Lyon, métro et bus à proximité. A pied, tous les soirs nous n'avions qu'à traverser le pont sur le Rhône, en 10 mn nous étions dans la rue des Marronniers où se trouve des ""petits bouchons"", vrai découverte pour les papilles.
Hôtel silencieux.","L'éclairage dans la chambre n'est pas confortable.
L'odeur dans la chambre a été fort désagréable (mélange de cigarette, de pied et poussière) à notre arrivé. Après aération l'odeur a été un peu plus supportable. Fort probablement dû à la moquette !!
La TV est trop basse, la hauteur n'est pas confortable lorsqu'on est allongé.
Salle de bain : la baignoire est un peu haute, il manque des portes manteaux pour accrocher les vêtements.","7,0",Hôtel,Lyon," 7,7 "
Mireille,Suisse,0.0,2020-03-05,Bien ,Le petit-déjeuner était parfait,La salle de bain n'était vraiment pas nickel au point de vue propreté,"7,0",Hôtel,Lyon," 7,7 "
Madeleine,France,1.0,2020-03-04,Très bien,Petit déjeuner très complet. Chambre très calme et propre,"Tout était bien, personnel aimable.","8,0",Hôtel,Lyon," 7,7 "
Isabelle,France,0.0,2020-03-02,Bien ,None,Petit déjeuner excessif,"7,0",Hôtel,Lyon," 7,7 "
Caroline,Suisse,0.0,2020-03-02,Très bon séjour de 2 nuits,L'emplacement et le calme de la chambre. Personnel très agréable.,"Chambre confortable, bien équipée, calme mais assez sombre","8,0",Hôtel,Lyon," 7,7 "
Isabelle,France,0.0,2020-03-02,Idéal pour un week-end,"L'emplacement, nous avons tout fait à pied.
Petit déjeuner copieux.
Personnel accueillant.",Petit bémol sur la literie,"8,0",Hôtel,Lyon," 7,7 "
Marie,France,0.0,2020-03-01,Nuitée agréable,"Personnel souriant et agréable.
Chambre double spatieuse.
Malgré un arking complet, le personnel nous a bien conseillé.
Petit déjeuner buffet correct.
Hôtel bien situé par rapport aux sites touristiques (les sites peuvent se faire à pieds).",Manque de mobiliers pour sécher les affaires de bain,"8,0",Hôtel,Lyon," 7,7 "
