nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Nadera,France,1.0,2018-07-29,Exceptionnel,personnel super sympa très propre.,None,10,Appart'hôtel,Marseille," 7,1 "
Thierry,France,0.0,2020-05-27,Agréable,Son emplacement et l’accueil des équipes,Le manque de respect de quelques résidents trop bruyants,"6,0",Appart'hôtel,Marseille," 7,1 "
Joel,France,0.0,2020-05-18,Bien ,Etablissement bien situé - équipement correct,la chambre sentait le tabac,"7,0",Appart'hôtel,Marseille," 7,1 "
Michel,France,0.0,2020-05-18,Bien. Globalement au détail près.,Disponibilité d'accès au sortir du confinement,Propreté du sol un peu insuffisante. Matériel de cuisine et table au stict minimum,"8,0",Appart'hôtel,Marseille," 7,1 "
Elie,France,0.0,2020-05-16,Bien ,"L'emplacement, proximité centre-ville, plages et autoroute","Travaux en cours, parking non inclus dans le prix","7,0",Appart'hôtel,Marseille," 7,1 "
Petry,France,0.0,2020-05-13,Bien ,Grandeur de l appartement et propreté,Aucune isolation phonique des fenêtres. On entend toute la rue,"7,0",Appart'hôtel,Marseille," 7,1 "
Djeddou,France,0.0,2020-05-11,Agréable,None,Pas de parking le calme,"6,0",Appart'hôtel,Marseille," 7,1 "
Saw,France,0.0,2020-04-24,Agréable,"Le reste est bien, le lit confortable cuisine fonctionnelle, literie confortable et chambre propre.",La personne qui nous accueillie m'as mal parlé. Elle a levé les yeux au ciel et souffle alors que j'étais en déplacement pour un décès. La date du décès et ma date de séjour étaient trop éloignées selon elle. Je suis une cliente régulière mais soyez sûr que je reviendrai plus.,"6,0",Appart'hôtel,Marseille," 7,1 "
Khaled,France,0.0,2020-04-22,Très bien,Personnelles avenant et souriant,None,"8,0",Appart'hôtel,Marseille," 7,1 "
Helene,France,0.0,2020-04-07,Très bien,"L'accueil, la gentillesse et la disponibilité de l'agent d'accueil.",Il serait intéressant de penser à négocier les prix avec le parking souterrain. Une plus value pour le Residhotel.,"8,0",Appart'hôtel,Marseille," 7,1 "
Françoise,France,0.0,2020-04-04,Très bien,"Accueil sympathique, bien situé à proximité de métro et commerce , très bon rapport qualité prix.",None,"8,0",Appart'hôtel,Marseille," 7,1 "
Fabienne,France,0.0,2020-04-04,Bien,Bien place propre bien équipé,None,"7,0",Appart'hôtel,Marseille," 7,1 "
Khalid,Maroc,0.0,2020-03-13,Agréable,Très bon rapport qualité/prix,None,"6,0",Appart'hôtel,Marseille," 7,1 "
Geneviève,Belgique,0.0,2020-03-12,Logement fonctionnel et agréable permettant une chouette découverte de la ville,"Proximité avec la station de métro Perier qui permet un accès facile aux points principaux de la ville.
Belle réactivité du personnel durant la période de rénovation de la réception et de l'espace petit-déjeuner. Ils ont tout mis en place pour que nous ne subissions pas d'inconvénient. les ouvriers ont travaillé très vite et bien.
Petit déjeuner agréable et diversifié. Chouette formule la kitchinette.
Sympa le petit marché quotidien sur le boulevard, petit supermarché ouvert tard le soir.","Un peu de bruit au 6ème étage (visiblement travaux de rénovation d'autres chambres assez proches). 
Balcon agréable et fonctionnel mais peu exploitable en semaine car donnant sur la rue bruyante et sur les bureaux en face.
Restaurants et snacks à proximité fermés en soirée dans ce quartier de bureau","8,0",Appart'hôtel,Marseille," 7,1 "
Christophe,France,0.0,2020-03-07,Très bien,None,"Il n'y avait pas d'Alès sur les lits, et le parking de la ville assez cher","8,0",Appart'hôtel,Marseille," 7,1 "
Caroline,France,0.0,2020-03-07,Très bien pour une famille de 6 pour un court séjour,"L'agencement de l'appartement, la salle de bain, la déco sobre mais de bon goût, le lit de la chambre grand et confortable. Bien située, Station de métro très proche","La propreté, présence de poussière dans chambre, ça sentait beaucoup le tabac à notre arrivée","7,0",Appart'hôtel,Marseille," 7,1 "
