nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Margaux,France,0,2020-01-14,Décevant,None,"pas de clés : une entrée à code via une application d'usage complexe. Il nous a fallu trois smart phones pour y arriver. 
un peu anxiogène. au point que nous avons laissé ouvert dans la journée !!!","4,0",Appartements,Nantes," 8,2 "
Mustapha,France,0,2020-03-13 00:00:00,Passable,"Le lit été dur 
Le petit déjeuner est trop cher",Les tarifs,"5,0",Hôtel,Nantes," 8,0 "
Sophie,France,0,2020-02-18 00:00:00,Assez médiocre ,"Literie horrible je pense qu’il faut changer le matelas
Et du bruit toute la nuit des portes qui claquaient",None,"3,0",Hôtel,Nantes," 8,0 "
Guillaume,France,0,2019-11-26 00:00:00,Passable,L emplacement,Taille des chambres. Pas de chauffage salle de bain,"5,0",Hôtel,Nantes," 8,0 "
Gérard,France,0,2019-11-21 00:00:00,Passable,Le petit déjeuner l’accueil,Chambre et salle d’eau froides,"5,0",Hôtel,Nantes," 8,0 "
Grégory,France,0,2019-11-20 00:00:00,Tres Moyen,"bien placé, personnel sympathique","difficile de se garer, chambre bruyante bruit de l'exterieur, SDB douche attente avant eau chaude","4,0",Hôtel,Nantes," 8,0 "
Braunstein,France,0,2019-11-03 00:00:00,Passable,literie de bonne qualité +++,"pas d'ascenseur, et logés au 4° et dernier etage dans la seule chambre restante. Parking faisant partie des criteres de choix, mais en fait seulement 2 places déjà occupées...donc difficultées majeures a se garer , loin de l'hotel+++","5,0",Hôtel,Nantes," 8,0 "
Dimitri,France,0,2019-10-16 00:00:00,Passable,None,Le gérant propose des places de parkings mais en fait il n'y en a pas assez du coup j' ai du trouver une place a 1 km de l hôtel,"5,0",Hôtel,Nantes," 8,0 "
Catherine,France,0,2019-09-12 00:00:00,Décevant,None,chambre extrêmement petite! moquette sale et usagée,"4,6",Hôtel,Nantes," 8,0 "
Isabelle,France,0,2019-09-09 00:00:00,Déçu par rapport aux descriptifs je ne recommanderai pas cet établissemet,petit déjeuner très peu de choix et servis jusqu'à 9h30 un peu tôt pour un dimanche .,"Dans la chambre un éclairage plus tamisé,dans la salle de bain bien que très propre une déco plus chaleureuse ,l'eau chaude met du temps à venir la VMC se met en fonction quand on allume la lumière","5,0",Hôtel,Nantes," 8,0 "
Sabine,France,0,2019-09-02 00:00:00,Décevant,L'emplacement en centre ville.,"4ème étage sans ascenseur, sous les combles avec plus de 30 degrés dehors et dedans, et le bruit de la rue si on ouvre la fenêtre....
Booking annonçait ""Parking"", en fait il fallait appeler pour réserver une place...","4,6",Hôtel,Nantes," 8,0 "
Claudine,France,0,2019-08-19 00:00:00,Passable,proximite du centre ville,rien,"5,0",Hôtel,Nantes," 8,0 "
Jean-philippe,France,0,2019-08-14 00:00:00,Assez médiocre ,None,"Hotel en piteux état, tâches sur le sol et les murs, déco immonde, vmc très bruyante, insonorisation nulle... le propriétaire de l'établissement ferait mieux d'investir... ou revendre.","3,3",Hôtel,Nantes," 8,0 "
Sandy,France,0,2019-07-07 00:00:00,Passable,"Hôtel un peu gloque, excentré du centre ville",None,"5,0",Hôtel,Nantes," 8,0 "
Daniel,France,0,2019-06-26 00:00:00,la chambre m'a convenu car je n'y étais que pour dormir.,Déjeuner copieux,l'isolation phonique dans la chambre,"4,2",Hôtel,Nantes," 8,0 "
Michel,France,0,2019-05-09 00:00:00,Exécrable ! Honteux !,None,Pas de table de chevet. Pas étagère salle de bains .Trousse de toilette restée au sol.Gobelet salle de bain : le même pendant 3 jours. Annoncé chaînes satellite TV : mensonge. 3 étages sans ascenseur hôtel inaccessible si locomotion réduite.,"4,6",Hôtel,Nantes," 8,0 "
Catherine,France,0,2019-04-23 00:00:00,Séjour agréable mais pas côté hôtel,La salle de bain,"Manque de confort dans le lit(pas de sommier)p
La chaleur dans la chambre (le chauffage était au maximum...or il faisait chaud dehors
Pas de climatisation..
Manque de balayette pour WC
Pas de rideau de douche
Pas de coffre fort pour les appareils 
L'étroitesse de la chambre
Difficile de circuler a deux
Cette chambre est plus un single
Et le comble pas d'ascenseur !","4,6",Hôtel,Nantes," 8,0 "
Freddy,France,0,2019-03-25 00:00:00,Je n’etais là que pour une nuit! Heureusement,None,Absence d’ascenDeir au 3ème étage parking complet et donc pas utilisable paiements en espèces seulement ???,"4,6",Hôtel,Nantes," 8,0 "
Paquin,France,0,2019-03-21 00:00:00,décevant,"gros problèmes de wifi
manque d'insonorisation",None,"5,0",Hôtel,Nantes," 8,0 "
Valérie,France,0,2019-03-16 00:00:00,Assez médiocre ,Le calme,"M'étant trompée d'établissement pour réserver (compliqué car comme c'est une chaine c'est quasi le même nom ""the originals "" du grand Monarque ""gare Nantes )et celui où ma collègue ""the originals novela gare nantes"" le délai de rétractation étant passé j'ai demandé à changer d'hôtel et j'ai bien compris que la chose était ""compliqué""car indépendant mais un geste commerçant aurait été le bienvenu et je pense possible ! 
Il était situé plus éloigné que celui que nous avions prévu! 
Pas d'ascenseur !","3,8",Hôtel,Nantes," 8,0 "
Bernard,France,0,2019-01-26 00:00:00,Horrible,None,Le propriétaire a été exécrable. Il a mm encaissé le montant bloqué sur la carte par booking alors que personne ne procède comme cela. Il nous a écouté a ala porte pendant plus de une heure le dernier jour... une honte. Pour ensuite me menacer avec un baton et me dire de degager...,"4,6",Hôtel,Nantes," 8,0 "
