nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Fernand,France,0,2020-06-05,Décevant,"Le séjour n'a pas eu lieu, confinement oblige .....",None,"4,0",Hôtel,Nice," 7,8 "
Romain,France,0,2020-03-13,Passable,"Chambre vetuste. 
Pas de chauffage
Plaque de cuisson datant de 20 ANS
Frigideraire faisant enormement de bruit",None,"5,0",Hôtel,Nice," 7,8 "
Jean,France,0,2020-02-29,A éviter.,Les petits déjeuners.,"Pas de parking contrairement à ce qui était annoncé.
Obligation de se trouver un parking à la dernière minute er de rapporter nos bagages à travers les trottoirs et la circulation.
La propreté laisse à désirer au niveau des chambres.","3,0",Hôtel,Nice," 7,8 "
Tonnellier,France,0,2020-02-17,Réservation trompeuse,Emplacement,"Nous avions réservé une chambre avec un lit double et nous avions 2 lits simples, l'hôtel étant soit disant complet nous n'avons pas pu changer de chambre, très déçu par booking ainsi que par l'hôtel.","3,0",Hôtel,Nice," 7,8 "
Jérôme,France,0,2020-02-09,Un séjour médiocre,La localisation et le personnel,"Nous sommes très déçu du matelas qui était plus quand bout de vie !
Ainsi que le petit déjeuner en buffet pour 10euros il n'y avais plus rien pas de buffet anglais et le petit déjeuner français médiocre !","4,0",Hôtel,Nice," 7,8 "
Francois,France,0,2019-11-04,Passable,presence d'une cuisinette dans la chambre,"etat d'usure avancé de la chambre
standing hotel n'est pas à la hauteur du prix
photos trompeuses
taille petite par rapport aux photos
poubelle à descendre soi-meme au matin du départ
réception fermée à certaines heures
frigo éteint (donc chaud) à l'arrivée
bruit clim genant
rideau de douche pénible pour se laver
bruit des voisins
je ne reviendrai pas","5,0",Hôtel,Nice," 7,8 "
Remy,France,0,2019-11-03,Passable,"Accueil chaleureux, bonne situation géographique.",La chambre située juste au-dessus de la porte d'entrée donc très bruyante. Comme toutes les chambres côte rue sans double vitrage.,"5,0",Hôtel,Nice," 7,8 "
Arnoux,France,0,2019-10-31,Assez médiocre ,None,"Odeurs.froideur
Carrelage","3,0",Hôtel,Nice," 7,8 "
Carole-laure,France,0,2019-10-05,Passable,"Proche du centre-ville
Personnel souriant et accueillant","Matelas et oreillers pas du tous confortable 
réveil matinal car les femmes de ménage vont énormément de bruit dans les couloirs","5,0",Hôtel,Nice," 7,8 "
Valerie,France,0,2019-08-22,Décevant,None,Le personnel de réception pas très aimable il faut pas demander des renseignements sur Nice car elle n a pas le temps débordé !!!!!!!,"4,6",Hôtel,Nice," 7,8 "
Licia,Suisse,0,2019-08-03,Décevant,L’emplacement et le fait de pouvoir parquer la voiture était bien,"Un peu tout 
Chambre minuscule 
Couloirs bruyants
Ascenseur tjs occupé et lent 
Pas de nettoyage au delà d’un séjour de 8 jours ...","4,2",Hôtel,Nice," 7,8 "
Patrick,Suisse,0,2019-07-23,NOUS NE VIENDRONS PLUS DANS DE TELS ETABLISSEMENTS,Rien. Petit déjeuner NUL. pour le PRIX.,"TOUT. Chambre négligée, Petit déjeuner trop cher en rapport a ce qu'il y avait de proposer. 
Prix chambre a revoir. Pas de changement de drap, de serviette,
Le parking aberrant le prix d e10 euros et encore il fallait mettre 1 jour la voiture en ville","4,2",Hôtel,Nice," 7,8 "
Frederic,France,0,2019-07-16,"bon compromis pour dormir au centre de Nice, avec piscine.","la réception 24h/24
la piscine au 7è étage, qui ouvre à 9h
parking pour véhicules de toutes tailles dispo sur l'esplanade Kennedy, à 300 mètres. (Il était gratuit, mais cela doit dépendre des activités du Palais des Congrès)","odeur indéterminée, vomi froid ou eau de javel, désagréable / chambre 219, 
2 petits lits simples alors que j'avais mis une préférence lit double 
le balcon c'est bien mais les clims sont bruyantes même avec la fenêtre fermée","5,0",Hôtel,Nice," 7,8 "
Murad,France,0,2019-07-14,None,Ce commentaire n'apparaît pas car il ne respecte pas notre charte.,None,"4,2",Hôtel,Nice," 7,8 "
Patrick,France,0,2019-07-07,Passable,Personnel sympathique. Proximité du centre. Wifi. Petit déjeuner correct.,Appartement impersonnel. Trop cher pour la qualité. Mal équipé. Vétuste et manque d'entretien.,"5,0",Hôtel,Nice," 7,8 "
Bruno,France,0,2019-06-30,Décevant,None,Que le ménage ne soit pas compris dans le forfait... que l'information ne soit pas mise en évidence lors de la réservation,"4,6",Hôtel,Nice," 7,8 "
Cedric,France,0,2019-06-23,Décevant,l'emplacement et la proximité avec mon lieu de RDV,"j'ai trouvé l'état de la chambre très basique par rapport à l'emplacement très bien placé de l'hotel.
piscine très petite et horaires restrictif
coût de parking abusé","4,2",Hôtel,Nice," 7,8 "
Kyrios75,France,0,2019-03-07,Passable,L emplacement très proche du centre ville. Le calme de la chambre. Le petit dej au soleil,L’oubli volontaire d’un réceptionniste en attribuant un parking sans bip d accès nous empêchant de rentrer dans le parking en dehors des horaires d ouvertures. Obtention d un Bip en insistant malgré l’argument (il n’y en a pas assez). Le prix un peu élevé au regard qu’une petite rehabilitation de la chambre est nécessaire.,"5,0",Hôtel,Nice," 7,8 "
Robert,France,0,2019-03-05,"Lorsqu’on propose un hôtel avec parking, on ne compte pas de supplément pour la place",Tout,Le manque de choix,"4,6",Hôtel,Nice," 7,8 "
Aurelie,France,0,2019-03-03,Décevant,rien,tout,"4,2",Hôtel,Nice," 7,8 "
Aurelie,France,0,2019-03-03,Décevant,rien,tout,"4,2",Hôtel,Nice," 7,8 "
Laetitia-marie,France,0,2018-12-01,Passable,Son emplacement face à acropolis,"La
Douche et les Wc casses 
La climatisation sensée faire le chauffage et qu’il faut pousser à fond... pas de chauffage dans la Sdb. Propreté limites !!!","5,0",Hôtel,Nice," 7,8 "
Ornella,France,0,2018-08-07,Séjour moyen,"Personnel accueillant, la climatisation","Chambre pas prête à notre arrivé, nous avons du attendre que les femmes de ménage finissent leur travail. Chasse ne fonctionnant pas nous avons du nous débrouiller avec des marmites d eau en attendant que l on nous change de chambre. Nous avions droit a 1 jour de ménage car séjour de + de 10 jours, il n a jamais été fait. Nous avons dormi dans les mêmes draps pendant tout notre séjour, de même que les serviettes de toilettes non jamais été changées. Prestations supplémentaires si nous voulions des draps et serviettes propres à 900 € le séjour de 9 nuits + 100 € de parking sans comptet 36 € pour 4 petits déjeuners cela fait cher et les prestations auraient pu être fournies sans supplément. Salle de bain trop petite. Manque de table de nuit ce qui oblige à recharger son portable sur une chaise et l autre dans la salle de bains. Manque de prise. Plaque électrique vieillotte et trop longue a chauffer. Manque de porte manteau dans salle de bain, rideau de douche sale. Manque miroir pour se voir en pied. 1 seule machine à laver et 1 seul sèche linge pour tout l'hôtel ce qui oblige comme cela m est arrivé à demander un sac à l accueil pour mettre le linge d une personne qui semble avoir oublier le sien afin de mettre le mien. Ascenseur trop long on arrête pas d'attendre y a ceux qui montent et ceux qui descendent, un deuxième serait le bienvenu. Manque de chaise et de table sur le balcon pour prendre l apéro ou manger dehors. Le prêt d un séchoir de balcon serait le bienvenu pour ceux qui ne veulent pas utiliser le sèche linge. Oubli par le personnel de l accueil de me communiquer le changement de code chaque 1er du mois pour le parking, l accès à l'hôtel et le wifi, ce qui m'a valu de me retrouver enfermer dans le parking en sous sol en attendant que je joigne mon mari par téléphone afin qu'il prévienne l accueil et que l on me délivre.","5,0",Hôtel,Nice," 7,8 "
Frédéric,France,0,2018-08-06,Décevant,None,Canapé taché sur la housse et le matelas pas propre,"4,6",Hôtel,Nice," 7,8 "
Alexandra,France,0,2018-06-08,Passable,Proximité du centre Acropolis,Installation tres basique même pas un miroir dans la chambre !!!,"5,0",Hôtel,Nice," 7,8 "
Anonyme,France,0,2020-03-09,"hotel bien situé, facile d'acces garage bien literie correcte, impossible cuisiner !!meme le minimu","pris dans l'appartement
mais plaques electriques obsolètes !
pas de prises de courant : la bouilloire,, le grille pain branchés loin de la cuisine !!!",toute la kitchinette est périmée !!!,"5,0",Hôtel,Nice," 7,8 "
