nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Marie,France,0,2020-01-01,Passable,None,Chambre très petite. Matelas trop mou. Mauvaise isolation sonore . Ça ne vaut pas 231 euros,"5,0",Hôtel,Paris," 8,6 "
Anonyme,France,0,2018-10-06,Rapport qualité prix insuffisant,Situation géographique,Le personnel est indifférent et peu aimable.,"5,0",Hôtel,Paris," 8,6 "
Olivier,France,0,2020-02-03,Passable,Ce client n'a pas laissé de commentaire.,None,"5,0",Hôtel,Paris," 8,6 "
Edgar,France,0,2020-01-26,Décevant,Ce client n'a pas laissé de commentaire.,None,"4,6",Hôtel,Paris," 8,6 "
Anonyme,France,0,2019-10-06,Passable,Ce client n'a pas laissé de commentaire.,None,"5,0",Hôtel,Paris," 8,6 "
Anonyme,Suisse,0,2018-09-03,Passable,Ce client n'a pas laissé de commentaire.,None,"5,0",Hôtel,Paris," 8,6 "
Nicolas,France,0,2020-05-26 00:00:00,Chambre vraiment trop petite,Le personnel très agréable et très accueillant,"La chambre est vraiment trop petite 
Je n’arrive même pas à me laver les mains tellement l’espace est étroit","5,0",Hôtel,Paris," 7,9 "
Marie,France,0,2020-02-11 00:00:00,Passable,l'emplacement,le bruit,"5,0",Hôtel,Paris," 7,9 "
Fabienne,France,0,2020-02-08 00:00:00,Décevant,Emplacement,Très bruyant et chambre extrêmement petite,"4,0",Hôtel,Paris," 7,9 "
Vivi,France,0,2020-02-02 00:00:00,"déçue par l'accueil, la chambre, le confort, le bruit ...",l'emplacement uniquement,"l'accueil très médiocre, la chambre qui doit être la pire e l'hôtel vu les photos, le bruit, la lumière du couloir qui est restée allumée toute la nuit... bref grosse déception","4,0",Hôtel,Paris," 7,9 "
Jacques,France,0,2020-01-22 00:00:00,non recommandable.,le lit et la surface de la chambre,Le bruit épouvantable des tuyauteries et de la plomberie de la chambre d'à coté + un bruit intermittant venant du couloir (un genre de bruit d'hélicoptère).,"3,0",Hôtel,Paris," 7,9 "
Marianne,France,0,2019-10-21 00:00:00,Bof,None,"Chambre très petite
Dégâts des eaux dans l entrée","5,0",Hôtel,Paris," 7,9 "
Jean-yves,France,0,2019-09-28 00:00:00,Passable,None,Le bruit très matinal du poissonnier dans la rue!! Et l’isolation phonique Très moyenne entre les chambres,"5,0",Hôtel,Paris," 7,9 "
Isa,France,0,2019-03-09 00:00:00,Hôtel 3 étoiles mais ne les vaut pas,Le quartier,"Très mauvaise isolation. Souci de bruits dans la chambre deux soirs de suite, la personne du soir devait communiquer cette info à la personne du jour mais pas fait .","5,0",Hôtel,Paris," 7,9 "
Pascal,France,0,2018-09-14 00:00:00,Passable,None,prix excessif pour une chambre de taille et d'aspect plutôt limité à un 2 étoiles,"5,0",Hôtel,Paris," 7,9 "
Serge,France,0,2018-07-17 00:00:00,A éviter,"Rien
Heureusement que je n’y ai passé que 6h...","L’ascenseur trop petit pour une personne et une grande valise
Le lit trop petit
La salle de bains? Ridicule! 1m2 wc compris et un rideau de douche transformant ce placard en piscine 
Et même pas de bar pour se consoler...","3,8",Hôtel,Paris," 7,9 "
Philippe,France,0,2018-07-01 00:00:00,très déçu,None,bruit e canalisation pendant la nuit impossible de dormir coin toilette très petit,"4,2",Hôtel,Paris," 7,9 "
Anonyme,France,0,2020-03-08 00:00:00,Assez médiocre ,Emplacement,"Chambre minuscule, odeur de moisi, moisissure sur les murs.","3,0",Hôtel,Paris," 7,9 "
Alexis,France,0,2020-06-03 00:00:00,Assez médiocre ,Ce client n'a pas laissé de commentaire.,None,"3,0",Hôtel,Paris," 7,9 "
Yoann,France,0,2020-02-11 00:00:00,Passable,Ce client n'a pas laissé de commentaire.,None,"5,0",Hôtel,Paris," 7,9 "
Olivier,Thaïlande,0,2020-01-15 00:00:00,Assez médiocre ,Ce client n'a pas laissé de commentaire.,None,"3,0",Hôtel,Paris," 7,9 "
David,France,0,2019-09-18 00:00:00,Assez médiocre ,Ce client n'a pas laissé de commentaire.,None,"3,8",Hôtel,Paris," 7,9 "
Galile,France,0,2019-01-23 00:00:00,Assez médiocre ,Ce client n'a pas laissé de commentaire.,None,"3,8",Hôtel,Paris," 7,9 "
Anonyme,France,0,2020-02-26 00:00:00,Passable,Ce client n'a pas laissé de commentaire.,None,"5,0",Hôtel,Paris," 7,9 "
Anonyme,Pays-Bas,0,2019-11-08 00:00:00,Décevant,Ce client n'a pas laissé de commentaire.,None,"4,2",Hôtel,Paris," 7,9 "
Anonyme,Maroc,0,2018-10-15 00:00:00,Décevant,Ce client n'a pas laissé de commentaire.,None,"4,6",Hôtel,Paris," 7,9 "
Anonyme,France,0,2019-09-26 00:00:00,Décevant,Ce client n'a pas laissé de commentaire.,None,"4,2",Hôtel,Paris," 8,6 "
Sylvia,France,0,2020-03-09 00:00:00,Passable,None,Trop de bruit à toutes heures de la nuit.,"5,0",Hôtel,Paris," 7,4 "
Bruno,France,0,2020-03-03 00:00:00,Très moyen,Près de la gare de Lyon,"Odeur forte dans la chambre
Lit pas très confortable","4,0",Hôtel,Paris," 7,4 "
Mathilde,France,0,2020-02-27 00:00:00,Rapport qualité prix moyen,"Rue calme, proche de la gare",Juste une prise disponible pour 4. Manque ampoules dans toutes les appliques. Pas de possibilité de petit déjeuner,"5,0",Hôtel,Paris," 7,4 "
Benoit,France,0,2020-02-24 00:00:00,Pas terrible...,Près de la Gare de Lyon. Commerces proches. Transports en commun proches. Literie ok.,"Isolation phonique absente (rue, passants etc...)
De nombreuses choses étaient détériorée dans la chambre : robinets, porte de douche, rideaux, armoire etc... le confort est au minimum. 
Consigne à bagage = 5€/bagage !!! Argh !!!","5,0",Hôtel,Paris," 7,4 "
