nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Jo,Canada,1,2018-09-24,Exceptionnel,L’accueil et l’emplacement.🌼,Pas de commentaires négatifs,10,Hôtel,Paris," 7,7 "
Briantais,France,0,2020-03-09,Bien ,Propreté,"Salle de bain, douche très petite, c est une douche 2 etoiles","7,0",Hôtel,Paris," 7,7 "
Christian,France,0,2020-03-02,Bien ,Le silence et la qualité du lit,RAS,"7,5",Hôtel,Paris," 7,7 "
Gregoire,France,0,2020-02-29,Bien ,Charme de l'hôtel.,Rien,"7,0",Hôtel,Paris," 7,7 "
Nadine,France,0,2020-02-23,Très bien,"Séjour passé ce samedi 22 février, le personnel est très sympathique, l’hôtel a un beau cachet. 
Très satisfait !",Pas de commentaires négatifs,"8,3",Hôtel,Paris," 7,7 "
Anne-laure,France,0,2020-02-17,Très bien,"Chambre calme (5e étage), propre, dans un quartier agréable, à deux pas du métro. Accueil très sympathique.","Tapisserie un peu décollée par endroits, déco à moderniser mais, à nouveau, propre.","8,0",Hôtel,Paris," 7,7 "
Marie-françoise,France,0,2020-02-16,Bien,J'ai aimé l'ambiance de la salle du petit-déjeuner et l'accueil.,Pas de commentaires négatifs,"8,0",Hôtel,Paris," 7,7 "
Chloé,France,0,2020-02-12,Agréable,Le calme et l'accueil.,J'ai eu la sensation qu'on était rentré dans ma chambre pendant mon absence.,"7,0",Hôtel,Paris," 7,7 "
Jean,France,0,2020-02-12,Hotel a recommander,Le buffet du petit dejeuner etait excellent. Tout etait bon.,Rien,"7,0",Hôtel,Paris," 7,7 "
Soumia,Algérie,0,2020-02-09,Excellent séjour ! a refaire !,"chambre spacieuse et très propre , établissement calme , excellente assistance du personnel , emplacement idéal au coeur de Lisbonne.",Seul bémol c'est l'humidité avec absence de chauffage car climatiseur vétuste et n'élimine pas l'humidité .,"8,0",Hôtel,Paris," 7,7 "
